UNITID,FTE12MN,UNDUP,UNDUPUG,E12FT,E12PT,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12GRADFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,E12GRADPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON
482468,586,800,782,622,178,29,446,307,0,18,608,28,410,170,0,14,174,1,36,137,0,4,1,1,63,6,0,17,2,8,2,61,1,1,64,6,0,18,2,8,1,61,0,0,39,0,0,0,0,11,50,44,87,12,1,88,12,0,39,28,33
482477,28258,45987,41400,22380,23607,3620,18054,19482,244,4587,18658,1641,8879,8079,59,3722,22742,1979,9175,11403,185,865,1,2,32,15,0,38,3,8,0,67,1,2,32,15,0,39,3,7,0,67,0,6,31,15,0,29,2,14,2,61,96,4,0,96,3,0,89,9,1
482547,3,6,6,3,3,0,0,6,0,0,3,0,0,3,0,0,3,0,0,3,0,0,0,0,17,33,0,50,0,0,0,50,0,0,17,33,0,50,0,0,0,50,,,,,,,,,,,83,17,0,83,17,0,,,
482556,85,106,100,80,26,3,32,65,0,6,74,3,29,42,0,6,26,0,3,23,0,0,0,8,35,21,0,20,0,7,9,48,0,8,37,22,0,21,0,7,5,49,0,17,0,0,0,0,0,0,83,33,72,24,5,76,22,2,0,50,50
482574,222,316,310,184,132,16,153,141,0,6,179,9,106,64,0,5,131,7,47,77,0,1,0,2,31,4,0,53,3,7,1,64,0,1,31,5,0,53,3,7,1,64,0,50,0,0,0,33,0,0,17,67,94,6,0,95,5,0,50,33,17
482635,36,63,44,38,25,0,5,39,0,19,26,0,5,21,0,12,18,0,0,18,0,7,0,5,19,22,0,30,2,2,21,37,0,2,16,27,0,39,2,2,11,27,0,11,26,11,0,11,0,0,42,58,57,33,10,68,32,0,32,37,32
482653,34,43,31,34,9,0,5,26,0,12,23,0,4,19,0,11,8,0,1,7,0,1,0,0,51,5,0,21,2,2,19,47,0,0,58,3,0,23,3,3,10,42,0,0,33,8,0,17,0,0,42,58,65,26,9,71,29,0,50,17,33
482680,14925,21448,20391,12858,8590,4339,1099,12430,2523,1057,12583,3965,824,7650,144,275,7808,374,275,4780,2379,782,0,4,4,15,0,70,3,2,1,57,0,4,4,16,0,70,4,2,1,56,0,3,10,7,0,74,3,1,2,67,20,54,25,18,56,26,61,24,14
482699,1484,2360,2360,1198,1162,599,140,1194,427,0,1198,472,73,634,19,0,1162,127,67,560,408,0,0,1,22,11,0,60,2,3,1,68,0,1,22,11,0,60,2,3,1,68,,,,,,,,,,,39,53,8,39,53,8,,,
482705,5833,11336,4649,2785,8551,0,882,1448,2319,6687,2488,0,325,281,1882,297,2161,0,557,1167,437,6390,0,8,6,6,0,27,3,6,44,58,0,15,8,9,0,33,4,7,24,57,0,4,5,4,0,23,2,5,58,59,33,39,29,31,38,30,33,39,28
482936,1467,1751,1688,1561,190,448,114,1113,13,63,1517,402,103,1011,1,44,171,46,11,102,12,19,0,6,6,25,0,54,5,1,3,20,0,6,6,25,0,55,5,1,2,19,2,6,3,22,0,33,0,3,30,33,2,35,63,2,36,62,13,11,76
482963,445,679,679,427,252,373,0,306,0,0,427,217,0,210,0,0,252,156,0,96,0,0,0,1,26,24,0,42,5,1,0,73,0,1,26,24,0,42,5,1,0,73,,,,,,,,,,,0,90,10,0,90,10,,,
482981,172,257,257,194,63,93,0,164,0,0,194,78,0,116,0,0,63,15,0,48,0,0,0,1,14,76,0,5,3,0,0,22,0,1,14,76,0,5,3,0,0,22,,,,,,,,,,,0,0,100,0,0,100,,,
482990,360,445,445,445,0,277,0,168,0,0,445,277,0,168,0,0,0,0,0,0,0,0,11,1,24,37,2,20,6,0,0,89,11,1,24,37,2,20,6,0,0,89,,,,,,,,,,,0,100,0,0,100,0,,,
483009,244,244,244,244,0,112,0,132,0,0,244,112,0,132,0,0,0,0,0,0,0,0,0,1,7,88,0,2,0,2,0,80,0,1,7,88,0,2,0,2,0,80,,,,,,,,,,,0,0,100,0,0,100,,,
483018,112,157,157,157,0,42,8,107,0,0,157,42,8,107,0,0,0,0,0,0,0,0,1,4,14,16,1,48,5,10,1,65,1,4,14,16,1,48,5,10,1,65,,,,,,,,,,,0,0,100,0,0,100,,,
483036,1793,3165,2325,1465,1700,90,971,1246,18,840,1119,59,447,611,2,346,1206,31,524,635,16,494,0,4,25,28,1,36,2,2,0,61,1,4,24,30,1,36,3,2,0,60,0,4,28,22,1,38,2,3,1,64,50,34,17,54,33,13,38,35,27
483045,6082,14868,14868,2562,12306,2139,1292,5525,5912,0,2562,574,347,1401,240,0,12306,1565,945,4124,5672,0,0,2,49,7,0,36,4,0,0,62,0,2,49,7,0,36,4,0,0,62,,,,,,,,,,,38,15,47,38,15,47,,,
483054,95,112,112,112,0,35,0,77,0,0,112,35,0,77,0,0,0,0,0,0,0,0,0,3,35,3,0,47,5,7,0,13,0,3,35,3,0,47,5,7,0,13,,,,,,,,,,,0,0,100,0,0,100,,,
483106,251,428,428,284,144,102,0,326,0,0,284,75,0,209,0,0,144,27,0,117,0,0,0,3,19,51,0,22,4,1,0,83,0,3,19,51,0,22,4,1,0,83,,,,,,,,,,,0,0,100,0,0,100,,,
483124,54519,98316,73419,29907,68409,6259,22249,42979,1932,24897,23432,31,6479,16899,23,6475,49987,6228,15770,26080,1909,18422,1,5,8,22,0,49,4,9,1,63,1,5,8,24,0,50,5,7,0,62,1,6,9,18,0,47,3,14,2,69,100,0,0,100,0,0,100,0,0
483212,2548,5337,5337,2288,3049,840,697,2448,1352,0,2288,529,385,1250,124,0,3049,311,312,1198,1228,0,0,1,40,3,0,47,2,6,0,59,0,1,40,3,0,47,2,6,0,59,,,,,,,,,,,42,27,32,42,27,32,,,
483230,130,290,290,230,60,148,0,142,0,0,230,117,0,113,0,0,60,31,0,29,0,0,2,3,3,36,0,44,11,1,0,3,2,3,3,36,0,44,11,1,0,3,,,,,,,,,,,0,0,100,0,0,100,,,
483258,56,77,77,77,0,64,0,13,0,0,77,64,0,13,0,0,0,0,0,0,0,0,0,0,97,3,0,0,0,0,0,17,0,0,97,3,0,0,0,0,0,17,,,,,,,,,,,0,0,100,0,0,100,,,
483276,50,85,85,85,0,40,0,45,0,0,85,40,0,45,0,0,0,0,0,0,0,0,4,0,68,14,1,13,0,0,0,29,4,0,68,14,1,13,0,0,0,29,,,,,,,,,,,0,0,100,0,0,100,,,
