UNITID,GRRTTOT,GRRTM,GRRTW,GRRTAN,GRRTAP,GRRTAS,GRRTNH,GRRTBK,GRRTHS,GRRTWH,GRRT2M,GRRTUN,GRRTNR,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTAN,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTBK,GBA6RTHS,GBA6RTWH,GBA6RT2M,GBA6RTUN,GBA6RTNR,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT
101295,51,57,47,43,33,50,0,35,47,53,55,100,71,12,,,,,,,,,,,,,,,,,45,,44,,59,
101301,41,39,43,,0,0,,42,60,40,25,0,,14,,,,,,,,,,,,,,,,,41,,,,38,
101365,13,0,13,,,,,10,,0,,50,,,25,25,25,,25,,,,,0,,0,,100,,,13,33,,,0,0
101435,48,42,57,0,67,67,,37,25,59,7,25,0,,40,47,48,42,57,0,67,67,,37,25,59,7,25,0,,39,39,54,54,59,59
101453,67,67,,,,,,0,,100,,,,,33,67,67,67,,,,,,0,,100,,,,,100,100,,,0,0
101462,14,13,15,,,,,8,50,20,50,,0,16,,,,,,,,,,,,,,,,,15,,,,13,
101471,21,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,33,,,,15,
101480,55,48,59,20,70,67,100,43,39,59,44,57,62,26,36,50,55,48,59,20,70,67,100,43,39,59,44,57,62,26,49,49,56,56,61,61
101505,26,21,29,33,42,42,,17,18,28,29,0,,37,,,,,,,,,,,,,,,,,18,,18,,35,
101514,41,40,43,64,35,35,,21,47,45,34,83,33,17,,,,,,,,,,,,,,,,,34,,59,,47,
101569,27,32,22,,100,100,,24,38,35,25,,0,7,,,,,,,,,,,,,,,,,24,,,,36,
101587,35,28,39,25,50,100,0,30,38,39,29,57,50,34,14,24,28,24,31,33,0,0,0,24,38,30,29,57,50,35,30,24,36,30,48,42
101602,41,42,40,,67,67,,29,50,46,26,,,19,,,,,,,,,,,,,,,,,32,,,,56,
101648,36,36,36,100,0,0,0,30,25,42,14,75,,53,,,,,,,,,,,,,,,,,10,,14,,54,
101675,16,18,14,0,,,,16,0,20,0,,,,10,16,16,18,14,0,,,,16,0,20,0,,,,10,10,71,71,,
101693,57,50,61,57,75,75,,29,50,63,50,50,43,,43,55,57,50,61,57,75,75,,29,50,63,50,50,43,,35,35,85,85,0,0
101709,54,45,59,50,60,75,0,49,55,56,40,57,50,27,38,52,54,45,59,50,60,75,0,49,55,56,40,57,50,27,51,51,48,48,59,59
101736,39,46,33,67,50,100,0,28,28,41,43,,,13,,,,,,,,,,,,,,,,,34,,22,,47,
101879,55,49,58,100,100,100,,41,52,58,60,100,35,26,35,51,55,49,58,100,100,100,,41,52,58,60,100,35,26,42,42,62,62,65,65
101897,56,55,57,67,100,100,,38,60,55,58,100,,5,,,,,,,,,,,,,,,,,48,,57,,70,
101912,45,41,48,,0,,0,45,55,,17,7,67,,30,42,45,41,47,,0,,0,45,55,,17,7,71,,38,38,45,44,58,59
101994,59,59,59,,100,100,,50,0,68,50,,,0,,,,,,,,,,,,,,,,,54,,,,70,
102030,36,48,26,0,33,20,100,38,8,36,13,50,50,30,,,,,,,,,,,,,,,,,21,,,,70,
102049,77,70,81,100,58,58,,69,74,78,67,100,57,,68,76,77,70,81,100,58,58,,69,74,78,67,100,57,,66,66,72,72,80,80
102058,6,9,4,,,,,6,0,0,,,,88,0,6,6,9,4,,,,,6,0,0,,,,88,100,100,,,0,0
102067,30,34,26,0,20,25,0,23,24,34,25,0,33,19,,,,,,,,,,,,,,,,,15,,,,45,
102076,49,52,47,,33,100,0,35,45,51,42,67,100,14,,,,,,,,,,,,,,,,,41,,25,,65,
102094,53,47,56,60,57,57,67,48,45,54,56,63,36,26,37,49,52,47,56,60,57,57,67,48,44,53,56,63,36,26,43,43,57,57,61,61
102234,52,40,61,0,67,67,,26,40,64,22,45,44,28,45,52,52,40,61,0,67,67,,26,40,64,22,45,44,28,42,42,60,60,60,60
102270,25,18,34,0,,,,26,100,0,,18,,1,13,25,25,18,34,0,,,,26,100,0,,18,,1,25,25,45,45,0,0
102298,31,25,36,0,100,100,,29,33,43,43,100,100,,20,31,31,25,36,0,100,100,,29,33,43,43,100,100,,39,39,,,9,9
102313,16,19,14,,50,50,,15,40,17,0,0,,18,,,,,,,,,,,,,,,,,17,,,,14,
102368,50,41,56,33,70,75,50,37,52,58,35,47,55,26,28,46,49,41,55,33,60,63,50,36,52,57,36,47,55,26,40,39,54,52,60,59
102377,55,49,58,0,50,100,33,58,0,50,21,38,,,26,45,55,49,58,0,50,100,33,58,0,50,21,38,,,98,98,97,97,26,26
102429,38,39,37,,67,67,,30,43,40,15,17,,19,,,,,,,,,,,,,,,,,32,,,,45,
102553,30,30,30,5,29,28,29,23,29,34,27,38,54,21,14,25,28,29,27,7,20,18,24,19,30,32,30,38,47,24,20,17,30,30,36,34
102580,38,75,0,,,,,,,38,,,,,0,33,33,67,0,,,,,,,33,,,,,0,0,0,0,75,100
102614,38,42,34,16,62,75,40,14,20,43,47,33,50,22,25,35,39,43,35,10,62,75,40,25,18,42,50,22,50,26,28,25,36,42,43,44
102632,28,30,26,4,43,0,60,0,11,35,24,33,,26,7,20,21,23,19,0,20,0,25,0,25,22,27,67,,34,15,13,24,20,34,25
102669,47,63,43,20,0,0,,0,83,43,100,100,,17,36,42,42,63,36,0,0,0,,0,83,43,100,100,,17,40,35,67,67,54,46
102711,100,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,100,,100,,100,
102845,56,50,58,40,53,100,52,45,60,62,55,54,50,0,,,,,,,,,,,,,,,,,56,,57,,63,
103501,69,61,70,63,64,63,75,60,58,77,82,71,,0,,,,,,,,,,,,,,,,,75,,60,,62,
103741,83,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,83,,90,,80,
103893,62,63,62,47,60,50,100,40,68,50,0,57,100,1,,,,,,,,,,,,,,,,,65,,93,,52,
103909,54,38,57,48,25,33,0,47,57,53,67,53,,0,,,,,,,,,,,,,,,,,57,,57,,46,
103927,66,57,69,75,67,0,100,58,70,52,50,50,,0,,,,,,,,,,,,,,,,,66,,78,,66,
103954,71,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,70,,50,,100,
103963,61,62,53,54,100,100,,44,66,65,42,50,,0,,,,,,,,,,,,,,,,,61,,100,,54,
104090,53,41,55,50,83,100,0,37,61,44,0,60,,,38,38,38,,38,,,,,100,0,100,,,,,52,29,64,100,50,
104151,68,65,71,41,81,81,58,52,61,71,66,100,77,18,56,66,68,65,71,41,81,81,58,52,61,71,66,100,77,18,60,60,61,61,74,74
104160,20,18,22,50,0,0,,0,21,31,0,12,14,9,,,,,,,,,,,,,,,,,19,,,,23,
104179,68,64,71,57,76,76,91,43,64,70,66,68,69,17,50,65,68,64,71,57,76,76,91,43,64,70,66,68,69,17,60,60,63,63,71,71
104346,27,26,28,33,30,25,50,26,26,27,27,0,40,20,,,,,,,,,,,,,,,,,24,,0,,29,
104391,74,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,100,,100,,19,
104425,30,24,36,50,14,20,0,31,30,34,36,25,12,18,,,,,,,,,,,,,,,,,30,,25,,32,
104443,71,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,70,,100,,50,
104568,84,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,99,,100,,4,
104577,42,45,37,47,20,100,14,29,44,43,44,64,25,16,,,,,,,,,,,,,,,,,24,,,,52,
104586,68,64,77,100,67,72,0,67,61,69,67,72,73,,46,63,68,64,77,100,67,72,0,67,61,69,67,72,73,,66,66,69,69,68,68
104708,16,12,20,5,17,18,0,12,14,20,17,18,6,20,,,,,,,,,,,,,,,,,14,,11,,18,
104717,43,37,48,21,42,43,40,36,39,48,43,43,56,,37,42,43,37,48,21,42,43,40,36,39,48,43,43,56,,33,33,44,44,53,53
105145,29,32,25,0,67,67,,11,31,26,20,33,50,24,,,,,,,,,,,,,,,,,26,,20,,33,
105154,16,14,18,9,23,23,20,9,15,18,12,14,19,21,,,,,,,,,,,,,,,,,13,,9,,19,
105206,38,51,19,67,,,,100,50,32,50,33,0,7,,,,,,,,,,,,,,,,,39,,100,,36,
105215,69,70,47,100,100,,100,62,76,68,63,65,,0,,,,,,,,,,,,,,,,,63,,76,,75,
105297,13,7,17,13,,,,0,0,,,,,18,0,0,13,10,17,13,,,,0,,,,,,13,14,15,,,8,0
105330,61,57,64,37,68,71,45,49,58,64,54,57,76,,48,59,61,57,64,37,68,71,45,49,58,64,54,57,76,,53,53,58,58,68,68
105349,22,13,29,31,100,,100,,0,13,0,0,,9,,,,,,,,,,,,,,,,,,,,,22,
105428,14,11,16,9,42,42,,11,13,15,8,20,11,23,,,,,,,,,,,,,,,,,13,,7,,16,
105525,28,26,29,18,47,50,0,23,25,29,38,0,70,16,,,,,,,,,,,,,,,,,26,,26,,30,
105534,72,62,74,87,40,38,50,75,73,73,67,50,,,,,,,,,,,,,,,,,,,77,,77,,59,
105543,68,60,69,63,83,100,50,57,70,65,68,,,0,,,,,,,,,,,,,,,,,68,,80,,62,
105589,56,53,58,0,,,,,33,65,25,,,24,36,53,56,53,58,0,,,,,33,65,25,,,24,43,43,50,50,91,91
105659,76,76,71,64,100,100,100,61,80,80,,75,,0,,,,,,,,,,,,,,,,,71,,93,,82,
105668,9,11,7,0,0,0,,0,10,12,20,0,,16,,,,,,,,,,,,,,,,,6,,0,,14,
105677,100,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,100,,100,,100,
105747,17,14,21,0,10,17,0,21,14,21,19,12,27,31,,,,,,,,,,,,,,,,,11,,27,,20,
105792,16,17,16,0,30,33,0,20,14,24,13,25,50,18,,,,,,,,,,,,,,,,,14,,40,,20,
105899,40,38,41,0,60,75,0,17,28,52,36,40,50,29,31,39,40,38,41,0,60,75,0,17,28,52,36,40,50,29,36,36,38,38,45,45
106041,70,71,58,61,70,71,68,60,73,74,66,25,,1,,,,,,,,,,,,,,,,,67,,76,,75,
106148,34,37,30,11,43,50,33,22,36,33,38,38,0,20,,,,,,,,,,,,,,,,,29,,43,,39,
106245,42,36,46,33,82,82,,29,32,44,43,50,77,23,25,34,37,33,40,33,71,71,,24,26,40,41,50,73,23,35,30,41,31,54,51
106306,7,6,18,0,0,0,,7,0,14,,,0,22,1,2,5,4,16,0,0,0,,6,0,0,,,0,23,2,2,0,0,30,25
106315,100,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,100,,,,,
106324,50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,100,,,,11,
106342,47,37,62,50,67,60,100,32,53,55,25,39,100,,38,46,47,37,62,50,67,60,100,32,53,55,25,39,100,,39,39,,,53,53
106351,58,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,58,,,,,
106397,71,65,75,57,73,76,29,46,65,72,67,80,84,,56,68,71,65,75,57,73,76,29,46,65,72,67,80,84,,55,55,69,69,75,75
106412,40,35,45,100,0,0,,41,33,36,27,,43,24,23,36,40,35,45,100,0,0,,41,33,36,27,,43,24,36,36,53,53,53,53
106449,42,43,41,25,67,100,0,45,41,43,28,0,,14,,,,,,,,,,,,,,,,,41,,47,,44,
106458,55,48,61,50,80,80,,37,51,59,49,38,46,23,41,50,53,46,58,50,79,79,,34,46,56,48,38,46,23,45,41,57,55,64,63
106467,49,44,52,63,59,59,,16,50,52,38,,61,19,32,41,44,39,49,80,42,42,,15,44,47,40,,61,21,43,37,48,45,58,54
106485,49,47,50,67,100,100,,34,70,54,54,,0,10,28,38,38,37,39,,100,100,,21,58,41,40,,0,13,46,34,55,39,51,43
106494,79,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,88,,100,,0,
106625,55,61,49,,50,100,0,60,67,55,33,25,,3,,,,,,,,,,,,,,,,,48,,43,,66,
106704,54,48,57,75,72,71,100,36,44,58,47,100,65,25,42,51,53,48,56,63,72,71,100,36,44,58,47,100,65,25,42,42,51,51,66,66
106713,34,32,38,100,,,,12,15,41,33,0,33,35,26,35,35,33,38,100,,,,13,17,42,33,0,33,34,16,16,40,40,66,74
106795,54,58,51,,100,100,100,30,66,49,33,,,0,,,,,,,,,,,,,,,,,52,,,,58,
106810,36,32,41,,0,0,,0,0,40,,100,,38,23,32,32,29,36,,0,0,,0,0,36,,100,,38,35,35,25,25,45,27
106883,51,57,48,100,0,,0,49,40,53,60,,,2,,,,,,,,,,,,,,,,,45,,0,,70,
106908,71,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,63,,89,,78,
106980,35,39,32,36,56,56,,16,34,37,,42,,10,,,,,,,,,,,,,,,,,32,,40,,42,
106999,66,68,64,50,0,,0,25,65,67,75,,100,2,,,,,,,,,,,,,,,,,71,,,,54,
107044,69,63,73,100,70,70,,61,35,72,53,,70,21,52,66,69,63,73,100,70,70,,61,35,72,53,,70,21,57,57,68,68,74,74
107071,37,35,39,75,86,86,,23,41,43,32,11,57,9,27,35,37,35,38,75,86,86,,22,41,42,32,11,57,9,30,30,31,31,51,51
107080,72,69,75,100,88,88,,65,79,72,60,71,,28,63,71,72,69,75,100,88,88,,65,79,72,60,71,,28,67,67,68,68,77,77
107099,48,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,39,,,,80,
107141,72,67,75,60,33,40,0,33,68,73,88,40,83,19,67,71,72,67,75,60,33,40,0,33,68,73,88,40,83,19,57,57,76,76,78,78
107220,73,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,71,,89,,75,
107293,80,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,79,,100,,80,
107318,58,73,52,,,,,58,50,58,75,,0,9,,,,,,,,,,,,,,,,,58,,,,56,
107327,49,40,58,,50,50,,34,40,54,,,,7,,,,,,,,,,,,,,,,,51,,,,47,
107442,20,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,29,,,,0,
107460,42,45,39,,33,33,,0,37,45,38,0,0,13,,,,,,,,,,,,,,,,,34,,40,,52,
107488,74,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,92,,100,,36,
107512,61,54,67,25,67,67,,31,46,66,25,,86,,57,63,64,56,70,25,67,67,,31,46,69,30,,86,,51,51,60,60,68,73
107521,26,22,29,,0,0,,13,17,35,17,,,11,,,,,,,,,,,,,,,,,7,,60,,43,
107549,47,56,44,50,0,0,,0,33,48,,,,3,,,,,,,,,,,,,,,,,38,,,,100,
107558,51,48,55,50,0,0,,32,40,47,25,60,83,25,42,49,51,48,55,50,0,0,,32,40,47,25,60,83,25,39,39,41,41,67,67
107585,42,43,40,0,0,0,,22,30,47,21,0,,9,,,,,,,,,,,,,,,,,36,,38,,49,
107600,30,32,30,,50,,50,29,50,,20,,78,37,20,28,30,32,30,,50,,50,29,50,,20,,78,37,28,28,32,32,52,52
107619,55,59,51,0,,,,52,88,54,,,,19,,,,,,,,,,,,,,,,,51,,,,65,
107637,28,38,22,,0,0,,22,14,46,,,,5,,,,,,,,,,,,,,,,,24,,67,,29,
107655,50,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,25,,67,,100,
107664,36,35,37,100,43,33,100,26,51,37,29,44,45,15,,,,,,,,,,,,,,,,,35,,28,,39,
107725,57,61,54,,100,100,,59,67,52,80,0,100,12,,,,,,,,,,,,,,,,,53,,,,64,
107743,55,49,61,50,,,,50,50,55,50,,65,6,,,,,,,,,,,,,,,,,57,,33,,55,
107789,68,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,56,,92,,75,
107831,55,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,46,,0,,83,
107840,13,16,11,,,,,11,0,22,0,,,0,,,,,,,,,,,,,,,,,10,,0,,100,
107877,26,20,33,25,0,,0,12,11,32,,,13,43,18,25,26,20,33,25,0,,0,12,11,32,,,13,43,26,26,23,23,29,29
107974,30,31,29,,,,,21,18,35,29,100,50,23,,,,,,,,,,,,,,,,,28,,50,,33,
107983,49,42,55,0,78,78,,37,42,53,44,,65,28,34,42,44,38,50,0,67,67,,32,39,49,33,,62,28,41,37,44,40,63,57
107992,62,72,55,,100,,100,53,80,68,69,0,50,5,,,,,,,,,,,,,,,,,57,,100,,71,
108065,64,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,75,,,,0,
108092,38,34,41,18,62,62,,24,33,38,36,,80,9,25,34,38,33,40,20,68,68,,23,35,37,37,,80,8,35,35,34,33,43,44
108232,34,24,43,0,45,50,25,6,31,29,40,26,45,22,6,21,34,23,43,0,45,50,25,7,32,28,40,23,47,22,23,22,17,15,44,45
108667,33,34,33,,56,56,,0,28,27,30,50,,11,,,,,,,,,,,,,,,,,31,,,,36,
108807,26,24,29,0,24,21,27,15,27,26,14,25,40,5,,,,,,,,,,,,,,,,,26,,0,,26,
108852,78,72,83,0,100,100,,56,67,88,60,,84,0,,,,,,,,,,,,,,,,,73,,64,,88,
108977,69,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,64,,100,,100,
109040,75,69,77,0,88,87,100,53,78,68,78,100,,0,,,,,,,,,,,,,,,,,74,,80,,87,
109208,37,36,37,67,35,38,22,26,33,39,38,45,67,11,,,,,,,,,,,,,,,,,37,,0,,37,
109350,34,32,36,0,52,57,0,21,33,45,35,33,67,6,,,,,,,,,,,,,,,,,33,,0,,37,
109651,79,75,81,0,84,85,0,50,63,64,57,,85,,35,68,79,75,81,0,84,85,0,50,63,64,57,,85,,74,74,67,67,83,83
109721,90,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,97,,,,51,
109785,62,53,67,33,73,78,27,48,55,68,65,53,62,,49,60,62,53,67,33,73,78,27,48,55,68,65,53,62,,49,49,62,62,76,76
109819,21,19,22,13,29,28,50,14,20,24,26,,17,8,50,50,50,50,,,100,100,,,33,,,,,,21,100,,,20,33
109907,39,43,36,,29,40,0,17,38,50,44,50,67,8,,,,,,,,,,,,,,,,,37,,40,,42,
109934,68,67,68,0,60,75,0,67,72,33,62,100,,5,,,,,,,,,,,,,,,,,71,,80,,56,
110060,11,5,27,,0,0,,0,0,0,0,0,18,13,2,4,8,5,17,,,,,0,0,0,0,0,13,14,0,0,0,0,15,11
110097,68,69,67,0,76,76,75,75,55,71,67,66,60,,54,65,68,69,67,0,76,76,75,75,55,71,67,66,60,,61,61,68,68,71,71
110194,89,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,90,,85,,92,
110219,41,46,37,33,0,0,0,22,14,47,50,47,,2,,,,,,,,,,,,,,,,,38,,57,,55,
110246,45,46,44,23,49,48,67,22,40,48,43,100,67,9,,,,,,,,,,,,,,,,,40,,75,,50,
110334,38,36,40,100,67,75,40,20,33,43,47,0,43,10,,,,,,,,,,,,,,,,,38,,0,,38,
110361,62,59,64,62,58,60,45,44,55,71,68,59,63,25,44,59,62,59,64,62,58,60,45,44,55,71,68,59,63,25,53,53,71,71,67,67
110370,61,57,63,0,71,73,0,40,50,48,100,67,71,,48,59,61,57,63,0,71,73,0,40,50,48,100,67,71,,47,47,56,56,68,68
110404,94,93,96,,98,98,,75,90,94,91,,100,3,77,90,94,93,96,,98,98,,75,90,94,91,,100,3,96,96,100,100,94,94
110413,70,64,74,100,77,81,63,50,74,70,65,62,47,27,62,69,70,64,74,100,77,81,63,50,74,70,65,62,47,27,70,70,67,67,72,72
110422,86,84,88,86,89,89,100,61,83,88,82,85,81,1,61,83,86,84,88,86,89,89,100,61,83,88,82,85,81,1,80,80,87,87,88,88
110486,50,44,53,50,53,53,50,26,48,57,45,60,66,3,29,44,50,44,53,50,53,53,50,26,48,57,45,60,66,3,47,47,52,52,58,58
110495,53,49,56,0,64,63,78,34,52,58,42,70,40,2,25,46,53,49,56,0,64,63,78,34,52,58,42,70,40,2,53,53,55,55,54,54
110510,55,52,57,75,63,64,40,47,54,61,49,58,58,1,25,46,55,52,57,75,63,64,40,47,54,61,49,58,58,1,54,54,50,50,60,60
110529,68,66,71,60,79,79,60,60,63,73,69,72,66,2,34,61,68,66,71,60,79,79,60,60,63,73,69,72,66,2,64,64,70,70,73,73
110538,63,59,66,67,58,58,57,47,58,69,69,67,49,4,36,57,63,59,66,67,58,58,57,47,58,69,69,67,49,4,55,55,67,67,69,69
110547,43,37,47,,54,52,80,38,43,63,44,43,40,3,20,36,43,37,47,,54,52,80,38,43,63,44,43,40,3,42,42,51,51,44,44
110556,57,49,62,24,56,56,50,44,56,69,48,57,49,2,28,49,57,49,62,24,56,56,50,44,56,69,48,57,49,2,53,53,55,55,65,65
110565,70,64,75,25,80,80,60,58,67,70,67,75,61,2,39,63,70,64,75,25,80,80,60,58,67,70,67,75,61,2,69,69,72,72,71,71
110574,48,44,50,100,64,65,57,38,44,54,38,46,49,5,22,41,48,44,50,100,64,65,57,38,44,54,38,46,49,5,43,43,51,51,55,55
110583,69,65,71,33,74,74,41,59,67,73,66,67,62,2,38,63,69,65,71,33,74,74,41,59,67,73,66,67,62,2,67,67,70,70,71,71
110592,53,46,59,,72,72,67,46,51,54,50,48,53,2,25,47,53,46,59,,72,72,67,46,51,54,50,48,53,2,52,52,57,57,55,55
110608,57,48,64,0,70,70,40,55,54,69,56,59,49,6,28,49,57,48,64,0,70,70,40,55,54,69,56,59,49,6,55,55,58,58,61,61
110617,56,50,61,33,60,60,57,52,56,56,58,55,52,2,28,49,56,50,61,33,60,60,57,52,56,56,58,55,52,2,54,54,56,56,59,59
110635,93,92,94,100,96,96,78,78,85,92,93,96,94,,80,91,93,92,94,100,96,96,78,78,85,92,93,96,94,,87,87,93,93,95,95
110644,86,84,87,58,91,91,74,78,80,87,83,88,85,5,71,83,86,84,87,58,91,91,74,78,80,87,83,88,85,5,81,81,85,85,88,88
110653,87,85,89,100,92,92,78,82,80,86,87,91,85,5,73,85,87,85,89,100,92,92,78,82,80,86,87,91,85,5,84,84,87,87,88,88
110662,93,92,93,69,96,96,100,84,87,94,92,97,93,3,85,91,93,92,93,69,96,96,100,84,87,94,92,97,93,3,89,89,91,91,94,94
110671,76,73,78,25,82,82,88,64,72,74,74,69,67,9,65,74,76,73,78,25,82,82,88,64,72,74,74,69,67,9,75,75,76,76,77,77
110680,86,84,88,100,91,91,89,82,77,86,87,91,88,4,74,83,86,84,88,100,91,91,89,82,77,86,87,91,88,4,82,82,87,87,88,88
110705,83,80,85,100,90,90,100,80,76,84,85,91,82,,70,81,83,80,85,100,90,90,100,80,76,84,85,91,82,,80,80,84,84,85,85
110714,75,74,76,0,79,79,50,67,67,78,75,79,77,10,61,73,75,74,76,0,79,79,50,67,67,78,75,79,77,10,71,71,73,73,77,77
110875,83,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,100,,33,,,
111054,87,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,83,,100,,89,
111081,67,57,73,100,79,82,50,43,53,68,46,64,77,17,41,63,67,57,73,100,79,82,50,43,53,68,46,64,77,17,67,67,73,73,63,63
111188,60,59,62,100,52,48,75,50,58,62,62,64,,7,40,56,60,59,62,100,52,48,75,50,58,62,62,64,,7,59,59,69,69,57,57
111434,47,44,49,100,30,38,0,100,47,50,100,0,0,12,,,,,,,,,,,,,,,,,52,,,,44,
111461,45,43,46,100,55,56,0,33,43,48,47,14,24,11,,,,,,,,,,,,,,,,,45,,0,,44,
111513,92,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,95,,75,,91,
111638,73,85,66,,75,75,,60,69,79,,100,,,,,,,,,,,,,,,,,,,68,,85,,64,
111708,87,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,81,,100,,96,
111717,81,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,82,,71,,79,
111726,93,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,94,,,,86,
111744,72,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,70,,50,,82,
111762,83,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,81,,100,,85,
111799,68,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,75,,100,,57,
111887,31,28,33,50,50,51,33,20,28,43,37,21,67,9,,,,,,,,,,,,,,,,,30,,33,,32,
111896,25,18,33,25,100,100,,33,21,26,27,,0,13,,,,,,,,,,,,,,,,,30,,,,21,
111920,47,43,51,,60,60,59,32,41,44,43,43,55,10,,,,,,,,,,,,,,,,,49,,,,46,
111939,36,35,37,0,45,46,20,28,33,47,39,20,21,9,,,,,,,,,,,,,,,,,36,,100,,36,
111948,82,78,84,100,86,86,88,69,81,81,84,81,81,,71,80,82,78,84,100,85,85,88,68,82,81,83,81,81,,83,82,79,80,83,83
111966,30,50,28,,0,0,,24,57,,0,0,,,15,15,30,50,28,,0,0,,24,57,,0,0,,,32,32,,,20,20
112075,58,56,60,0,52,57,0,50,53,65,63,100,33,,50,58,58,56,60,0,52,57,0,50,53,65,63,100,33,,50,50,60,60,63,63
112084,20,14,25,,0,0,,0,25,21,0,,0,23,18,20,20,14,25,,0,0,,0,25,21,0,,0,23,36,36,21,21,12,12
112172,41,37,45,,52,53,0,25,38,43,55,0,55,9,,,,,,,,,,,,,,,,,38,,,,44,
