agency,organization_name,organization_state,organization_city,organization_type,likely_higher_ed,match_method,disrupted_award_remaining
cdc,Minnesota Department of Health,Minnesota,Saint Paul,Health Department,FALSE,unmatched,8240568.399999999
cdc,"St. Louis County, Missouri",Missouri,Saint Louis,Health Department,FALSE,unmatched,7701460.3
cdc,Department of Health,American Samoa,Pago Pago,Health Department,FALSE,unmatched,7660437.15
samhsa,Kansas State Department for Aging and Disability Services,Kansas,Topeka,Welfare Department,FALSE,unmatched,7644170.640000001
epa,International City/County Management Association (the),District Of Columbia,Washington,,FALSE,unmatched,7578057.92
cdc,Health Security Partners,District Of Columbia,Washington,Other Health Organization,FALSE,unmatched,7356914.74
cdc,City of San Antonio,Texas,San Antonio,Other Health Organization,FALSE,unmatched,7161348.059999999
nih,University of North Carolina Chapel Hill,North Carolina,Chapel Hill,SCHOOLS OF MEDICINE,FALSE,unmatched,7158118.71
nih,Children's Hospital of Los Angeles,California,Los Angeles,Independent Hospitals,FALSE,unmatched,7000438.040000001
nsf,Association of American Colleges and Universities,District Of Columbia,Washington,Continuing Grant,FALSE,unmatched,6875689.67
epa,National Wildlife Federation,Virginia,Reston,,FALSE,unmatched,6839552.59
nih,Baylor College of Medicine,Texas,Houston,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,6781715.96
cdc,Ministry of Health in the Repu Blic of the Marshall Islands,Marshall Islands,Majuro,Health Department,FALSE,unmatched,6602853.51
epa,Building Materials Re-Use Association,Pennsylvania,Pittsburgh,Not for Profit,FALSE,unmatched,6501271
epa,Willamette Partnership,Oregon,Portland,,FALSE,unmatched,6449053.22
cdc,Fsm Deparatment of Health and Social Affairs,Federated States Of Micronesia,Pohnpei,Health Department,FALSE,unmatched,6399547.609999999
nih,Icahn School of Medicine at Mount Sinai,New York,New York,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,6087210.07966161
cdc,Colorado Department of Public Health & Environment,Colorado,Denver,Health Department,FALSE,unmatched,5880112.609999999
nih,University of North Carolina Chapel Hill,North Carolina,Chapel Hill,SCHOOLS OF PUBLIC HEALTH,FALSE,unmatched,5762101.4
nih,"Ecohealth Alliance, Inc.",New York,New York,Other Domestic Non-Profits,FALSE,unmatched,5716314.399999999
epa,Institute for Sustainable Communities,Vermont,Montpelier,,FALSE,unmatched,5435871.32
nih,UT Southwestern Medical Center,Texas,Dallas,SCHOOLS OF MEDICINE,FALSE,manual_include_unmatched,5422360.043720572
samhsa,North Dakota State Department of Human Services,North Dakota,Bismarck,Welfare Department,FALSE,unmatched,5347586
samhsa,West Virginia State Dept Health/Human Rscs,West Virginia,Charleston,Health Department,FALSE,unmatched,5029397.79
cdc,Council of Medical Specia,Illinois,Chicago,Other Health Organization,FALSE,unmatched,4934812.59
nih,Spelman College,Georgia,Atlanta,UNIVERSITY-WIDE,TRUE,manual_include_unmatched,4854705.39
nih,Pennsylvania State University Hershey Medical Center,Pennsylvania,Hershey,SCHOOLS OF MEDICINE,FALSE,unmatched,4629849.18
samhsa,Oklahoma Dept of Mental Health/Subs Abuse,Oklahoma,Oklahoma City,Health Department,FALSE,unmatched,4571524.91
samhsa,South Carolina State Dept of Mental Health,South Carolina,Columbia,Health Department,FALSE,unmatched,4536733.0600000005
cdc,"International Centre for Diarrhoeal Disease Research, Bangladesh",Dhaka,Dhaka,"Research Institution, Foundation and Laboratory",FALSE,unmatched,4522735.21
cdc,Family Health International,North Carolina,Durham,Other Health Organization,FALSE,unmatched,4189628.139999999
nih,Hebrew Rehabilitation Center for Aged,Massachusetts,Boston,Independent Hospitals,FALSE,unmatched,4184696.56
nih,"Broad Institute, Inc.",Massachusetts,Cambridge,Research Institutes,FALSE,unmatched,4165026.45
nih,University of Texas Health Sciences Center,Texas,San Antonio,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,4151242.83
nsf,University of Kansas Center for Research Inc,Kansas,Lawrence,Continuing Grant,TRUE,manual_include_unmatched,4140642.61
nsf,"The Geological Society of America, Inc.",Colorado,Boulder,Continuing Grant,FALSE,unmatched,4014764.5
cdc,"National Center for Farmworker Health, Inc.",Texas,Buda,Other Social Services Organization,FALSE,unmatched,3867084
cdc,Chickasaw Nation,Oklahoma,Ada,Indian Tribal Council,FALSE,unmatched,3712745.54
cdc,Commonwealth Healthcare Corporation,Northern Mariana Islands,Saipan,Indian Tribal Council,FALSE,unmatched,3628606.96
cdc,Turtle Mountain Band of Chippewa Indians,North Dakota,Belcourt,Indian Tribal Council,FALSE,unmatched,3620556.2
nih,Sloan-Kettering Institute can Research,New York,New York,Research Institutes,FALSE,unmatched,3392189.06
cdc,Harris County,Texas,Houston,Health Department,FALSE,unmatched,3363922.78
nsf,Reuben H. Fleet Science Center,California,San Diego,Continuing Grant,FALSE,unmatched,3350118.38
samhsa,Nh State Dept/Health Statistics/Data Mgmt,New Hampshire,Concord,Welfare Department,FALSE,unmatched,3297884.29
nih,"Scripps Research Institute, the",California,La Jolla,Other Domestic Non-Profits,FALSE,unmatched,3248635.7399999998
epa,Big Bend Conservation Alliance,Texas,San Marcos,,FALSE,unmatched,3246024.64
epa,The Water Research Foundation,Colorado,Denver,Not for Profit,FALSE,manual_include_unmatched,3232378.2399999998
epa,University of Wisconsin System,Wisconsin,Madison,,TRUE,manual_include_unmatched,3206525.37
cdc,Denver Health and Hospital Authority,Colorado,Denver,Hospital,FALSE,unmatched,3184397.1700000004
nih,Research Triangle Institute,North Carolina,Research Triangle Park,Research Institutes,FALSE,unmatched,3179943.1326373625
epa,Minneapolis American Indian Center,Minnesota,Minneapolis,,FALSE,unmatched,3173519.88
nsf,Council of Graduate Schools,District Of Columbia,Washington,Standard Grant,FALSE,unmatched,3159624.14
samhsa,South Carolina State Department of Alcohol and Other Drug Abuse Services,South Carolina,Columbia,Rehabilitation Organization ( Other Than Criminal ),FALSE,unmatched,3152408.95
nsf,Georgia Tech Research Corporation,Georgia,Atlanta,Continuing Grant,FALSE,unmatched,3111278.25
nsf,University of Hawaii,Hawaii,Honolulu,Continuing Grant,TRUE,manual_include_unmatched,3111207.2800000003
nsf,Society of Women Engineers,Illinois,Chicago,Continuing Grant,FALSE,unmatched,3105927
nsf,University of North Carolina Greensboro,North Carolina,Greensboro,Continuing Grant,TRUE,manual_include_unmatched,3089660.03
epa,Front and Centered,Washington,Seattle,,FALSE,unmatched,3062466.1
epa,"El Puente De Williamsburg, Inc.",New York,Brooklyn,,FALSE,unmatched,3046624.5
epa,Air Alliance Houston,Texas,Houston,,FALSE,unmatched,2953606.58
epa,Jsi Research & Training Institute Inc,Massachusetts,Boston,,FALSE,unmatched,2942879.19
nsf,University of Alabama,Alabama,Tuscaloosa,Continuing Grant,TRUE,manual_include_unmatched,2919855.73
nsf,New York Hall of Science,New York,Corona,Standard Grant,FALSE,unmatched,2908592.27272727
epa,The Global Center for Cultural Entrepreneurship,New Mexico,Santa Fe,,FALSE,unmatched,2888516
nsf,"Associated Universities, Inc.",Virginia,Vienna,Continuing Grant,FALSE,unmatched,2881327.03
epa,"Spruce Root, Inc.",Alaska,Juneau,,FALSE,unmatched,2875784.67
epa,West Harlem Environmental Action Inc,New York,New York,,FALSE,unmatched,2868905.17
samhsa,Iowa State Dept of Public Health,Iowa,Des Moines,Health Department,FALSE,unmatched,2864646.87
nsf,American Association for the Advancement of Science,District Of Columbia,Washington,Standard Grant,FALSE,unmatched,2852295.23
cdc,National Health Laboratory Service,Johannesburg,Johannesburg,"Research Institution, Foundation and Laboratory",FALSE,unmatched,2838474.2
cdc,American College of Obstetricians and Gynecologists,District Of Columbia,Washington,Other Health Organization,FALSE,unmatched,2836265.8200000003
nsf,University of Puerto Rico Medical Sciences Campus,Puerto Rico,San Juan,Continuing Grant,TRUE,manual_include_unmatched,2814957.49
cdc,"University of California, San Francisco",California,San Francisco,"Junior College, College & University",TRUE,manual_include_unmatched,2805475.81
epa,"Social and Environmental Entrepreneurs (See), Inc.",California,Calabasas,,FALSE,unmatched,2775343.83
