agency,organization_name,organization_state,organization_city,organization_type,likely_higher_ed,match_method,disrupted_award_remaining
nsf,Massachusetts Bay Community College,Massachusetts,Wellesley Hills,Standard Grant,TRUE,manual_include_unmatched,70350.61
nsf,Spelman College,Georgia,Atlanta,Continuing Grant,TRUE,manual_include_unmatched,66519.54
nsf,Kentucky Community & Technical College System,Kentucky,Versailles,Standard Grant,TRUE,manual_include_unmatched,63530.28
nih,LSU Health Science Center,Louisiana,New Orleans,SCHOOLS OF MEDICINE,TRUE,likely_higher_ed_unmatched,59243.96
nsf,University of The Virgin Islands,Virgin Islands,Charlotte Amalie,Standard Grant,TRUE,manual_include_unmatched,58396.64
nsf,Utah State University,Utah,Logan,Standard Grant,TRUE,manual_include_unmatched,55503.509999999995
nsf,University of Alabama,Alabama,Tuscaloosa,Standard Grant,TRUE,manual_include_unmatched,53611.64
nih,Morehouse School of Medicine,Georgia,Atlanta,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,43554.3000000007
epa,The Research Foundation for the State University of New York,New York,Binghamton,Not for Profit,TRUE,manual_include_unmatched,41520.22
nsf,Yakima Valley Community College,Washington,Yakima,Standard Grant,TRUE,manual_include_unmatched,41073.97
nih,University of Puerto Rico at Humacao,Puerto Rico,Humacao,SCHOOLS OF ARTS AND SCIENCES,TRUE,manual_include_unmatched,40506.41
nsf,Ivy Tech Community College of Indiana,Indiana,Indianapolis,Standard Grant,TRUE,manual_include_unmatched,39149.29
nih,University of Alabama in Tuscaloosa,Alabama,Tuscaloosa,SCHOOLS OF NURSING,TRUE,manual_include_unmatched,38833.8100000001
nih,University of Connecticut Storrs,Connecticut,Storrs-Mansfield,SCHOOLS OF ARTS AND SCIENCES,TRUE,manual_include_unmatched,36132.15
nsf,David Lipscomb University,Tennessee,Nashville,Standard Grant,TRUE,manual_include_unmatched,33145.41
epa,Fashion Institute of Technology,New York,New York,State Institution of Higher Learning,TRUE,manual_include_unmatched,28020
nsf,University of Oregon Eugene,Oregon,Eugene,Standard Grant,TRUE,manual_include_unmatched,26462.34
nih,University of Mississippi Medical Center,Mississippi,Jackson,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,24172.14
nih,Albert Einstein College of Medicine,New York,Bronx,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,20289.65
nih,University of the Virgin Islands,Virgin Islands,St. Thomas,SCHOOLS OF ARTS AND SCIENCES,TRUE,manual_include_unmatched,16246.74
nih,University of North Carolina Greensboro,North Carolina,Greensboro,SCHOOLS OF ARTS AND SCIENCES,TRUE,manual_include_unmatched,14165.01
nih,Utah State Higher Education System--University of Utah,Utah,Salt Lake City,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,13695.58
nih,Utah State Higher Education System--University of Utah,Utah,Salt Lake City,SCHOOLS OF ARTS AND SCIENCES,TRUE,manual_include_unmatched,12903.32
nsf,Northwest Indian College,Washington,Bellingham,Standard Grant,TRUE,manual_include_unmatched,12668.37
nih,New York Medical College,New York,Valhalla,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,7680.83000000002
epa,University of Maryland Es,Maryland,Princess Anne,State Institution of Higher Learning,TRUE,manual_include_unmatched,6642.13
nih,Henry Ford Health + Michigan State University Health Sciences,Michigan,East Lansing,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,6559.88
nih,Ponce School of Medicine,Puerto Rico,Ponce,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,6427.32999999984
epa,University of Central Florida,Florida,Orlando,State Institution of Higher Learning,TRUE,manual_include_unmatched,3522.58
nih,"University of California, San Francisco",California,San Francisco,ORGANIZED RESEARCH UNITS,TRUE,manual_include_unmatched,3409.42
nih,University of New Mexico Health Sciences Center,New Mexico,Albuquerque,UNIVERSITY-WIDE,TRUE,manual_include_unmatched,3380.39
nih,Texas A&M University Health Science Center,Texas,College Station,SCHOOLS OF MEDICINE,TRUE,manual_include_unmatched,2424.57
nsf,City College of San Francisco,California,San Francisco,Standard Grant,TRUE,manual_include_unmatched,1770.39000000001
nih,University of Miami Coral Gables,Florida,Coral Gables,SCHOOLS OF NURSING,TRUE,manual_include_unmatched,1687
nih,Claremont Graduate University,California,Claremont,GRADUATE SCHOOLS,TRUE,manual_include_unmatched,985.430000000051
nih,Ponce School of Medicine,Puerto Rico,Ponce,UNIVERSITY-WIDE,TRUE,manual_include_unmatched,218.769999999997
nih,Texas A&M University Health Science Center,Texas,College Station,GRADUATE SCHOOLS,TRUE,manual_include_unmatched,0.720000000001164
epa,University of Guam,Guam,Barrigada,,TRUE,manual_include_unmatched,0
