agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key,proposal,continuation_signal,proposal_flag
nih,3R01AG080470-02S1,ASST_NON_R01AG080470_7529,University of Texas at Austin,Texas,The University of Texas at Austin,Texas,Austin,Public,228778,1068677,948996,2017673,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG080470_7529,https://reporter.nih.gov/project-details/11082935,270137456,1589807.63,2751152,2027-11-30,2026-03-05,TRUE,TRUE,TRUE,521130.6299999999,1.4876409148882215,521579.52,459326.26999999996,29504.47,904769,225694,679075,18,30,,unitid:228778,F,TRUE,TRUE
nih,3K12AR084217-09S1,ASST_NON_K12AR084217_7529,Tufts University,Massachusetts,Tufts University,Massachusetts,Medford,Private not-for-profit,168148,1782703.55,946803.45,2729507,2025-03-21,,https://www.usaspending.gov/award/ASST_NON_K12AR084217_7529,https://reporter.nih.gov/project-details/11176626,268141569,1254281.58,1708288,2027-04-30,2025-07-25,TRUE,TRUE,TRUE,-528421.97,0.7035839357586964,580656.8200000001,191627.54,51143.920000000006,642489,642489,0,15,36,,unitid:168148,F,TRUE,TRUE
nih,5R01AG083464-02,ASST_NON_R01AG083464_7529,Wake Forest University Health Sciences,North Carolina,,,,,,457645.55,941936.45,1399582,2025-05-09,,https://www.usaspending.gov/award/ASST_NON_R01AG083464_7529,https://reporter.nih.gov/project-details/11117089,270137757,457645.55,1399582,2029-10-20,2026-01-05,TRUE,TRUE,TRUE,0,1,165851.48000000004,9800.420000000042,0,54710,54710,0,4,17,,wake forest university health sciences|north carolina,F,TRUE,TRUE
nih,3U01DA054170-04S2,ASST_NON_U01DA054170_7529,University of Texas at San Antonio,Texas,The University of Texas at San Antonio,Texas,San Antonio,Public,229027,8881549,933982,9815531,2025-04-03,,https://www.usaspending.gov/award/ASST_NON_U01DA054170_7529,https://reporter.nih.gov/project-details/11123762,271675689,10338095.88,12061296,2026-05-31,2025-07-21,TRUE,TRUE,TRUE,1456546.8800000008,1.1639969424252459,1760124.7799999996,996482.4099999996,387551.32,2245765,2245765,0,13,56,,unitid:229027,F,TRUE,TRUE
nih,3R01CA262263-03S1,ASST_NON_R01CA262263_7529,University of Southern California,California,University of Southern California,California,Los Angeles,Private not-for-profit,123961,1776818.46,928003.54,2704822,2025-06-15,,https://www.usaspending.gov/award/ASST_NON_R01CA262263_7529,https://reporter.nih.gov/project-details/10993530,270168121,1948289.29,2704822,2027-04-30,2025-07-03,TRUE,TRUE,TRUE,171470.83000000007,1.0965044172267324,476815.48000000004,154182.04000000004,143008.48,60173,0,0,8,38,,unitid:123961,F,TRUE,TRUE
nih,3R01AG076956-03S1,ASST_NON_R01AG076956_7529,University of Southern California,California,University of Southern California,California,Los Angeles,Private not-for-profit,123961,2146912,908428,3055340,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG076956_7529,https://reporter.nih.gov/project-details/11082898,270137116,2602100.2,3855911,2027-02-28,2026-03-05,TRUE,TRUE,TRUE,455188.2000000002,1.212019961693819,584325.72,355292.25,91178.37999999998,800571,0,738890,9,38,,unitid:123961,F,TRUE,TRUE
nih,3R01HD108198-05S1,ASST_NON_R01HD108198_7529,University of Missouri-Columbia,Missouri,University of Missouri-Columbia,Missouri,Columbia,Public,178396,2118793,853685,2972478,2025-05-30,,https://www.usaspending.gov/award/ASST_NON_R01HD108198_7529,https://reporter.nih.gov/project-details/11228560,270218974,2669803.27,3605891,2027-01-31,2026-01-20,TRUE,TRUE,TRUE,551010.27,1.260058566363019,587823.93,329153.88,257649.84999999998,633413,0,633413,16,38,,unitid:178396,F,TRUE,TRUE
nih,3R01EY033477-03S1,ASST_NON_R01EY033477_7529,Virginia Commonwealth University,Virginia,Virginia Commonwealth University,Virginia,Richmond,Public,234030,800702,850483,1651185,2025-05-28,,https://www.usaspending.gov/award/ASST_NON_R01EY033477_7529,https://reporter.nih.gov/project-details/11200040,270200050,1372991.25,2189213,2027-04-30,2025-07-21,TRUE,TRUE,TRUE,572289.25,1.7147343830788484,579946.04,531628.8200000001,48317.219999999994,538028,538028,0,7,38,,unitid:234030,F,TRUE,TRUE
nih,3R01DC014832-08S1,ASST_NON_R01DC014832_7529,Baylor College of Medicine,Texas,,,,,,1322901,847788,2170689,2025-06-06,,https://www.usaspending.gov/award/ASST_NON_R01DC014832_7529,https://reporter.nih.gov/project-details/10952614,270179325,1586325.62,6082662,2027-07-31,2026-02-06,TRUE,TRUE,TRUE,263424.6200000001,1.199126480363988,610739.41,213537.88999999998,324102.82,665280,665280,0,21,50,,baylor college of medicine|texas,F,TRUE,TRUE
nih,3R01CA258040-04S1,ASST_NON_R01CA258040_7529,Baylor College of Medicine,Texas,,,,,,2567191.57,846097.43,3413289,2025-06-15,,https://www.usaspending.gov/award/ASST_NON_R01CA258040_7529,https://reporter.nih.gov/project-details/10977388,270167778,2323142.95,3508489,2027-05-31,2025-09-05,TRUE,TRUE,TRUE,-244048.61999999965,0.9049355634959492,75556.42999999996,29651.39999999994,0,95200,95200,0,11,48,,baylor college of medicine|texas,F,TRUE,TRUE
nih,3R01MD017526-03S1,ASST_NON_R01MD017526_7529,Yale University,Connecticut,Yale University,Connecticut,New Haven,Private not-for-profit,130794,1514026,829480,2343506,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_R01MD017526_7529,https://reporter.nih.gov/project-details/11017474,270238507,2064477.43,3041100,2027-03-31,2025-09-05,TRUE,TRUE,TRUE,550451.4299999999,1.3635680166654998,626209.6399999999,584526.82,0,697594,697594,0,17,65,,unitid:130794,F,TRUE,TRUE
nih,3R01MH128928-04S1,ASST_NON_R01MH128928_7529,Boston College,Massachusetts,Boston College,Massachusetts,Chestnut Hill,Private not-for-profit,164924,2037298,827949,2865247,2025-04-25,,https://www.usaspending.gov/award/ASST_NON_R01MH128928_7529,https://reporter.nih.gov/project-details/11218725,270244406,2463478.53,3583479,2026-12-31,2026-03-05,TRUE,TRUE,TRUE,426180.5299999998,1.209189097520343,426180.7299999999,397146.5099999999,29034.22,718232,0,718232,15,40,,unitid:164924,F,TRUE,TRUE
nih,3R01MH129357-02S1,ASST_NON_R01MH129357_7529,University of Louisville,Kentucky,University of Louisville,Kentucky,Louisville,Public,157289,787785,818462,1606247,2025-04-24,,https://www.usaspending.gov/award/ASST_NON_R01MH129357_7529,https://reporter.nih.gov/project-details/11174954,270244448,1468459.51,2334451,2028-08-31,2025-09-24,TRUE,TRUE,TRUE,680674.51,1.864035885425592,784467.3,397786.2800000001,115259.62,728204,728204,0,7,21,,unitid:157289,F,TRUE,TRUE
nih,3R01AG061785-04S1,ASST_NON_R01AG061785_7529,University of Alabama at Birmingham,Alabama,University of Alabama at Birmingham,Alabama,Birmingham,Public,100663,3013684,817523,3831207,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG061785_7529,https://reporter.nih.gov/project-details/11100721,270135511,3019237.11,3932476.68,2027-05-31,2026-03-20,TRUE,TRUE,TRUE,5553.10999999987,1.001842631808776,696719.72,409222.62999999995,130495.65999999997,793183,72107,0,12,48,,unitid:100663,F,TRUE,TRUE
