agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key,proposal,activity_signal,materially_higher,proposal_flag
nih,3R01MH132022-03S1,ASST_NON_R01MH132022_7529,Vanderbilt University Medical Center,Tennessee,,,,,,1372204,1016988,2389192,2025-04-23,,https://www.usaspending.gov/award/ASST_NON_R01MH132022_7529,https://reporter.nih.gov/project-details/11218703,270244696,1789768.04,3270678,2027-12-31,2026-02-20,TRUE,TRUE,TRUE,417564.04000000004,1.3043017219014084,560184.8300000001,278060.97000000003,91213.66000000002,881486,0,765144,10,32,,vanderbilt university medical center|tennessee,D,TRUE,TRUE,TRUE
nih,3R01MH129634-03S1,ASST_NON_R01MH129634_7529,Vanderbilt University,Tennessee,Vanderbilt University,Tennessee,Nashville,Private not-for-profit,221999,2118693,998162,3116855,2025-04-25,,https://www.usaspending.gov/award/ASST_NON_R01MH129634_7529,https://reporter.nih.gov/project-details/10916732,270244474,2439400.66,3949328,2027-02-28,2026-03-05,TRUE,TRUE,TRUE,320707.66000000015,1.1513705194664825,409381.7099999999,157909.04,186336.31999999998,832473,111699,720774,12,40,,unitid:221999,D,TRUE,TRUE,TRUE
nih,3R01AG075654-03S1,ASST_NON_R01AG075654_7529,Rensselaer Polytechnic Institute,New York,Rensselaer Polytechnic Institute,New York,Troy,Private not-for-profit,194824,1461386,993814,2455200,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG075654_7529,https://reporter.nih.gov/project-details/11076434,270136961,1875159.66,2500180,2027-04-30,2025-06-20,TRUE,TRUE,TRUE,413773.6599999999,1.2831378294304174,413773.8,246496.05999999997,79705.94,44980,0,0,8,37,,unitid:194824,D,TRUE,TRUE,TRUE
nih,3R01DE031299-02S1,ASST_NON_R01DE031299_7529,University of Pittsburgh at Pittsburgh,Pennsylvania,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,Public,215293,1177498,980270,2157768,2025-04-17,,https://www.usaspending.gov/award/ASST_NON_R01DE031299_7529,https://reporter.nih.gov/project-details/10988924,270181791,1806207.69,2787801,2027-12-31,2026-02-20,TRUE,TRUE,TRUE,628709.69,1.533936949362122,706604.3200000001,327076.89,238943.47000000003,700037,0,630033,8,32,,unitid:215293,D,TRUE,TRUE,TRUE
nih,5R01MD015818-05,ASST_NON_R01MD015818_7529,Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,2320088.29,952232.71,3272321,2025-08-23,,https://www.usaspending.gov/award/ASST_NON_R01MD015818_7529,https://reporter.nih.gov/project-details/11046534,270238392,2417616.98,3272321,2027-02-28,2025-12-19,TRUE,TRUE,TRUE,97528.68999999994,1.0420366287008844,353544.56999999995,256015.87999999995,97528.69000000002,0,0,0,10,48,,unitid:162928,D,TRUE,TRUE,TRUE
nih,3R01AG080470-02S1,ASST_NON_R01AG080470_7529,University of Texas at Austin,Texas,The University of Texas at Austin,Texas,Austin,Public,228778,1068677,948996,2017673,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG080470_7529,https://reporter.nih.gov/project-details/11082935,270137456,1589807.63,2751152,2027-11-30,2026-03-05,TRUE,TRUE,TRUE,521130.6299999999,1.4876409148882215,521579.52,459326.26999999996,29504.47,904769,225694,679075,18,30,,unitid:228778,D,TRUE,TRUE,TRUE
nih,3U01DA054170-04S2,ASST_NON_U01DA054170_7529,University of Texas at San Antonio,Texas,The University of Texas at San Antonio,Texas,San Antonio,Public,229027,8881549,933982,9815531,2025-04-03,,https://www.usaspending.gov/award/ASST_NON_U01DA054170_7529,https://reporter.nih.gov/project-details/11123762,271675689,10338095.88,12061296,2026-05-31,2025-07-21,TRUE,TRUE,TRUE,1456546.8800000008,1.1639969424252459,1760124.7799999996,996482.4099999996,387551.32,2245765,2245765,0,13,56,,unitid:229027,D,TRUE,TRUE,TRUE
nih,3R01CA262263-03S1,ASST_NON_R01CA262263_7529,University of Southern California,California,University of Southern California,California,Los Angeles,Private not-for-profit,123961,1776818.46,928003.54,2704822,2025-06-15,,https://www.usaspending.gov/award/ASST_NON_R01CA262263_7529,https://reporter.nih.gov/project-details/10993530,270168121,1948289.29,2704822,2027-04-30,2025-07-03,TRUE,TRUE,TRUE,171470.83000000007,1.0965044172267324,476815.48000000004,154182.04000000004,143008.48,60173,0,0,8,38,,unitid:123961,D,TRUE,TRUE,TRUE
nih,3R01AG076956-03S1,ASST_NON_R01AG076956_7529,University of Southern California,California,University of Southern California,California,Los Angeles,Private not-for-profit,123961,2146912,908428,3055340,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG076956_7529,https://reporter.nih.gov/project-details/11082898,270137116,2602100.2,3855911,2027-02-28,2026-03-05,TRUE,TRUE,TRUE,455188.2000000002,1.212019961693819,584325.72,355292.25,91178.37999999998,800571,0,738890,9,38,,unitid:123961,D,TRUE,TRUE,TRUE
nih,3R01AG079907-02S1,ASST_NON_R01AG079907_7529,New York University,New York,New York University,New York,New York,Private not-for-profit,193900,714959,892449,1607408,2025-05-02,,https://www.usaspending.gov/award/ASST_NON_R01AG079907_7529,https://reporter.nih.gov/project-details/11078906,270137404,1262009.82,1607408,2025-08-31,2026-02-06,TRUE,TRUE,TRUE,547050.8200000001,1.7651499176875878,748165.51,740106.1799999999,0,0,0,0,7,24,,unitid:193900,D,TRUE,TRUE,TRUE
