agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key
nih,3UL1TR001857-09S1,ASST_NON_UL1TR001857_7529,University of Pittsburgh at Pittsburgh,Pennsylvania,University of Pittsburgh-Pittsburgh Campus,Pennsylvania,Pittsburgh,Public,215293,39371469,2090222,41461691,2025-05-16,,https://www.usaspending.gov/award/ASST_NON_UL1TR001857_7529,https://reporter.nih.gov/project-details/10928374,271711804,46108897.97,128797340.31,2026-05-31,2025-12-19,TRUE,TRUE,TRUE,6737428.969999999,1.171124652981579,7296909.619999999,5106265.16,1579985.66,10147484,10147484,0,45,105,,unitid:215293
nsf,2409009,ASST_NON_2409009_4900,Oregon State University,Oregon,Oregon State University,Oregon,Corvallis,Public,209542,414762.46,2085237.54,2500000,2025-05-02,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2409009_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2409009,236093493,414762.46,1000000,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,242903.18000000002,242903.18000000002,0,0,0,0,4,11,,unitid:209542
nsf,1911341,ASST_NON_1911341_4900,Chicago State University,Illinois,Chicago State University,Illinois,Chicago,Public,144005,2612900.8,2082637.2,4695538,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_1911341_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=1911341,233944949,2612900.8,4695538,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,326892.2900000001,120771.09999999998,0,0,0,0,12,41,,unitid:144005
nsf,2309090,ASST_NON_2309090_4900,Virginia State University,Virginia,Virginia State University,Virginia,Petersburg,Public,234155,923149.37,2075936.63,2999086,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2309090_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2309090,235808248,923149.37,2194250,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,267836.8300000001,267836.8300000001,0,0,0,0,2,17,,unitid:234155
nsf,2225199,ASST_NON_2225199_4900,University of Texas at San Antonio,Texas,The University of Texas at San Antonio,Texas,San Antonio,Public,229027,930834.06,2069165.94,3000000,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2225199_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2225199,235591546,930834.06,2088386,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,121021.68,121021.68,0,0,0,0,4,22,,unitid:229027
nih,5T37MD001424-18,ASST_NON_T37MD001424_7529,Tulane University of Louisiana,Louisiana,Tulane University of Louisiana,Louisiana,New Orleans,Private not-for-profit,160755,688698.25,2058827.04,2747525.29,2025-06-11,,https://www.usaspending.gov/award/ASST_NON_T37MD001424_7529,https://reporter.nih.gov/project-details/10330606,271489690,688698.25,2747525.29,2025-03-31,2025-09-05,FALSE,FALSE,FALSE,0,1,5919.619999999995,0,0,0,0,0,58,45,,unitid:160755
nih,3P30AI161943-04S1,ASST_NON_P30AI161943_7529,Baylor College of Medicine,Texas,,,,,,6245582.08,2036709.92,8282292,2025-06-06,,https://www.usaspending.gov/award/ASST_NON_P30AI161943_7529,https://reporter.nih.gov/project-details/11047263,269956012,6200262.77,8282292,2027-03-31,2026-03-20,TRUE,TRUE,TRUE,-45319.31000000052,0.9927437812169462,729517.1000000001,464539.9700000001,199789.63999999998,1000000,0,0,82,480,,baylor college of medicine|texas
nsf,2243109,ASST_NON_2243109_4900,University of Illinois at Chicago,Illinois,University of Illinois Chicago,Illinois,Chicago,Public,145600,886476.67,2003482.33,2889959,2025-04-18,2025-04-18,https://www.usaspending.gov/award/ASST_NON_2243109_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2243109,235633696,886476.67,1270654,2025-04-18,2025-09-18,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,4,29,,unitid:145600
nsf,2326732,ASST_NON_2326732_4900,North Carolina Central University,North Carolina,North Carolina Central University,North Carolina,Durham,Public,199157,142967.31,2002978.69,2145946,2025-05-22,2025-05-09,https://www.usaspending.gov/award/ASST_NON_2326732_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2326732,235883375,142967.31,142968,2025-05-09,2025-11-17,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,4,14,,unitid:199157
nsf,2415667,ASST_NON_2415667_4900,University of Nebraska-Lincoln,Nebraska,University of Nebraska-Lincoln,Nebraska,Lincoln,Public,181464,47497.86,1951843.14,1999341,2025-04-25,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2415667_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2415667,236110696,47497.86,1451207,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,27607.8,0,0,0,0,0,3,11,,unitid:181464
nsf,2308705,ASST_NON_2308705_4900,University of Virginia Main Campus,Virginia,University of Virginia-Main Campus,Virginia,Charlottesville,Public,234076,1061139.77,1938860.23,3000000,2025-05-02,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2308705_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2308705,235807281,1061139.77,1179361,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,234096.55999999994,223611.15999999992,0,0,0,0,2,23,,unitid:234076
nih,5R25AG050484-09,ASST_NON_R25AG050484_7529,University of South Carolina,South Carolina,University of South Carolina-Columbia,South Carolina,Columbia,Public,218663,904667.46,1934208.54,2838876,2025-05-27,,https://www.usaspending.gov/award/ASST_NON_R25AG050484_7529,https://reporter.nih.gov/project-details/10815734,270333301,904667.46,2492869.47,2025-03-31,2026-02-09,FALSE,FALSE,FALSE,0,1,3551.1900000000023,0,0,0,0,0,15,45,,unitid:218663
nsf,2411988,ASST_NON_2411988_4900,George Mason University,Virginia,George Mason University,Virginia,Fairfax,Public,232186,70288.26,1929735.74,2000024,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2411988_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2411988,236101379,70288.26,70289,2025-04-25,2025-09-18,FALSE,FALSE,FALSE,0,1,8926.849999999991,0,0,0,0,0,3,8,,unitid:232186
nsf,1817314,ASST_NON_1817314_4900,"The Ohio State University, the",Ohio,Ohio State University-Main Campus,Ohio,Columbus,Public,204796,2783133.32,1912308.68,4695442,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_1817314_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=1817314,233316616,2783133.32,4695442,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,319775.97,319775.97,0,0,0,0,12,44,,unitid:204796
nsf,2207361,ASST_NON_2207361_4900,University of North Carolina Greensboro,North Carolina,,,,,,1460760.06,1887708.94,3348469,2025-05-02,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2207361_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2207361,235435063,1460760.06,2068810,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,130817.34000000003,112415.91000000003,0,0,0,0,5,30,,university of north carolina greensboro|north carolina
nsf,2308715,ASST_NON_2308715_4900,University of Alabama,Alabama,,,,,,644333.97,1880133.03,2524467,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2308715_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2308715,235807308,644333.97,2365276,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,171406.42,171406.42,0,0,0,0,5,17,,university of alabama|alabama
nsf,1826763,ASST_NON_1826763_4900,University of Kentucky Research Foundation,Kentucky,University of Kentucky,Kentucky,Lexington,Public,157085,1627258.51,1872741.49,3500000,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_1826763_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=1826763,233399839,1627258.51,3500000,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,84524.04000000004,68157.34000000003,0,0,0,0,7,44,,unitid:157085
nsf,2306625,ASST_NON_2306625_4900,Jarvis Christian College,Texas,Jarvis Christian University,Texas,Hawkins,Private not-for-profit,225885,379665.59,1870029.41,2249695,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2306625_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2306625,235802462,379665.59,1065163,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,89247.35999999999,89247.35999999999,0,0,0,0,2,22,,unitid:225885
nsf,2411935,ASST_NON_2411935_4900,Virginia Polytechnic Institute and State University,Virginia,Virginia Polytechnic Institute and State University,Virginia,Blacksburg,Public,233921,43685.49,1856571.51,1900257,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2411935_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2411935,236101245,43685.49,712744,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,2,10,,unitid:233921
nsf,2308786,ASST_NON_2308786_4900,University of Alaska Anchorage Campus,Alaska,,,,,,646479.82,1853520.18,2500000,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2308786_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2308786,235807471,646479.82,954638,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,5,21,,university of alaska anchorage campus|alaska
nsf,2306489,ASST_NON_2306489_4900,Hinds Community College-Utica,Mississippi,,,,,,397197.56,1852802.44,2250000,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2306489_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2306489,235802175,397197.56,901102,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,68266.79000000001,42391.32999999999,0,0,0,0,3,17,,hinds community college-utica|mississippi
nsf,2444894,ASST_NON_2444894_4900,Kean University,New Jersey,Kean University,New Jersey,Union,Public,185262,154515.526027397,1845419.4739726,1999935,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2444894_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2444894,236315975,0,241749,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,-154515.526027397,0,0,0,0,0,0,0,2,0,,unitid:185262
nih,5R25GM089571-13,ASST_NON_R25GM089571_7529,The Ohio State University,Ohio,The Ohio State University,Ohio,Columbus,Public,204796,1180142.44,1833052.09,3013194.53,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25GM089571_7529,https://reporter.nih.gov/project-details/10796935,270334772,1180142.44,3216296.27,2025-02-28,2026-01-28,FALSE,FALSE,FALSE,0,1,105177.33000000002,61106.92000000001,0,0,0,0,24,45,,unitid:204796
nsf,2308698,ASST_NON_2308698_4900,Syracuse University,New York,Syracuse University,New York,Syracuse,Private not-for-profit,196413,667600.09,1832399.91,2500000,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2308698_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2308698,235807274,667600.09,1000000,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,62578.19,62578.19,0,0,0,0,3,23,,unitid:196413
nsf,2452030,ASST_NON_2452030_4900,Texas A&M University,Texas,Texas A&M University-College Station,Texas,College Station,Public,228723,150244.99,1828035.01,1978280,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2452030_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2452030,236332636,150244.99,150245,2025-04-25,2025-09-18,FALSE,FALSE,FALSE,0,1,147202.69,147202.69,0,0,0,0,3,7,,unitid:228723
nsf,2411933,ASST_NON_2411933_4900,University of South Florida,Florida,University of South Florida,Florida,Tampa,Public,137351,140391.97,1812177.03,1952569,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2411933_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2411933,236101243,140391.97,741554,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,57734.479999999996,57734.479999999996,0,0,0,0,2,9,,unitid:137351
epa,84082701,ASST_NON_84082701_068,University of Wisconsin System,Wisconsin,,,,,,246830.76,1791741.24,2038572,2025-04-23,2027-08-31,https://www.usaspending.gov/award/ASST_NON_84082701_068/,https://enviro.epa.gov/envirofacts/nggs/report?grantId=84082701,254633472,246830.76,2038572,2025-04-23,2025-05-06,FALSE,FALSE,FALSE,0,1,202376.90000000002,180971.29,0,0,0,0,2,8,,university of wisconsin system|wisconsin
nsf,2207219,ASST_NON_2207219_4900,Colorado State University,Colorado,Colorado State University-Fort Collins,Colorado,Fort Collins,Public,126818,1337587.73,1738302.27,3075890,2025-05-02,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2207219_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2207219,235434744,1337587.73,3075890,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,123942.43,123942.43,0,0,0,0,7,33,,unitid:126818
nih,3R01MD015729-04S1,ASST_NON_R01MD015729_7529,Boston College,Massachusetts,Boston College,Massachusetts,Chestnut Hill,Private not-for-profit,164924,1655847,1730923,3386770,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_R01MD015729_7529,https://reporter.nih.gov/project-details/10854270,270238390,2210767.39,3386770,2027-04-30,2026-02-20,TRUE,TRUE,TRUE,554920.3900000001,1.3351278167608482,672209.6300000001,468879.0400000001,86041.78999999998,844037,0,0,10,48,,unitid:164924
nsf,2309125,ASST_NON_2309125_4900,North Carolina Agricultural & Technical State University,North Carolina,North Carolina A & T State University,North Carolina,Greensboro,Public,199102,167421.74,1720926.26,1888348,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2309125_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2309125,235808318,167421.74,672495,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,95795.94000000002,70666.16000000002,0,0,0,0,3,15,,unitid:199102
nsf,1911251,ASST_NON_1911251_4900,University of Arkansas at Pine Bluff,Arkansas,University of Arkansas at Pine Bluff,Arkansas,Pine Bluff,Public,106412,2290919.37,1709080.63,4000000,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_1911251_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=1911251,233944687,2290919.37,3596666,2025-05-02,2025-12-19,FALSE,FALSE,FALSE,0,1,273494.06,273494.06,0,0,0,0,9,34,,unitid:106412
nih,5R25HL084665-19,ASST_NON_R25HL084665_7529,University of Pennsylvania,Pennsylvania,University of Pennsylvania,Pennsylvania,Philadelphia,Private not-for-profit,215062,293165.65,1693650.35,1986816,2025-06-13,2025-07-01,https://www.usaspending.gov/award/ASST_NON_R25HL084665_7529,https://reporter.nih.gov/project-details/10860965,270335496,293165.65,1852941.38,2025-03-31,2026-02-09,FALSE,FALSE,FALSE,0,1,12898.720000000001,12898.720000000001,0,0,0,0,25,46,,unitid:215062
nsf,2415767,ASST_NON_2415767_4900,University of Wisconsin-Madison,Wisconsin,University of Wisconsin-Madison,Wisconsin,Madison,Public,240444,276532.39,1680937.61,1957470,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2415767_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2415767,236110926,276532.39,1391175,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,274900.87,274900.87,0,0,0,0,3,14,,unitid:240444
epa,84055401,ASST_NON_84055401_068,Texas Tech University System,Texas,,,,,,837112.95,1662466.05,2499579,2025-05-02,2026-04-30,https://www.usaspending.gov/award/ASST_NON_84055401_068/,https://enviro.epa.gov/envirofacts/nggs/report?grantId=84055401,254625316,837112.95,2499579,2025-05-02,2025-06-05,FALSE,FALSE,FALSE,0,1,112573.16999999993,112573.16999999993,0,0,0,0,2,25,,texas tech university system|texas
nsf,2315148,ASST_NON_2315148_4900,Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,842248.73,1657706.27,2499955,2025-05-22,2025-04-18,https://www.usaspending.gov/award/ASST_NON_2315148_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2315148,235848390,842248.73,1502338,2025-04-18,2025-06-03,FALSE,FALSE,FALSE,0,1,222271.76,222271.76,0,0,0,0,3,21,,unitid:162928
cdc,NU3HCK000001,ASST_NON_NU3HCK000001_075,The Johns Hopkins University,Maryland,Johns Hopkins University,Maryland,Baltimore,Private not-for-profit,162928,3132518.87,1655674.13,4788193,2025-03-24,2026-09-29,https://www.usaspending.gov/award/ASST_NON_NU3HCK000001_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=NU3HCK000001&arg_ProgOfficeCode=252,269017890,3162974.31,4788193,2026-09-29,2026-03-20,TRUE,TRUE,TRUE,30455.439999999944,1.009722348456276,777458.69,503274.20999999996,83571.28,275000,275000,0,44,113,,unitid:162928
nih,1R01DA045773-01,ASST_NON_R01DA045773_7529,George Washington University,District Of Columbia,George Washington University,District Of Columbia,Washington,Private not-for-profit,131469,1654176.85,1642978.78,3297155.63,2025-03-20,,https://www.usaspending.gov/award/ASST_NON_R01DA045773_7529,https://reporter.nih.gov/project-details/9496881,270176121,1654176.85,3297155.63,2025-03-20,2025-09-05,FALSE,FALSE,FALSE,0,1,15228.960000000001,3207.960000000001,0,0,0,0,10,53,,unitid:131469
nsf,2247928,ASST_NON_2247928_4900,Sam Houston State University,Texas,Sam Houston State University,Texas,Huntsville,Public,227881,607719.8,1634172.2,2241892,2025-05-22,2025-05-09,https://www.usaspending.gov/award/ASST_NON_2247928_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2247928,235644780,607719.8,891547,2025-05-09,2025-07-17,FALSE,FALSE,FALSE,0,1,58589.09,58589.09,0,0,0,0,4,23,,unitid:227881
nsf,2309127,ASST_NON_2309127_4900,Fielding Graduate University,California,,,,,,666528.64,1617434.36,2283963,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2309127_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2309127,235808328,666528.64,887512,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,240869.55000000002,0,0,0,0,0,5,18,,fielding graduate university|california
nsf,2415965,ASST_NON_2415965_4900,Arizona State University,Arizona,Arizona State University,Arizona,Tempe,Public,104151,113581.24,1617148.76,1730730,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2415965_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2415965,236111356,113581.24,113582,2025-04-25,2025-09-18,FALSE,FALSE,FALSE,0,1,41239.59000000001,41239.59000000001,0,0,0,0,4,9,,unitid:104151
nsf,2308500,ASST_NON_2308500_4900,Indiana University,Indiana,Indiana University-Bloomington,Indiana,Bloomington,Public,151351,894772.09,1605227.91,2500000,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2308500_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2308500,235806788,894772.09,1278381,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,39814.67000000004,0,0,0,0,0,6,27,,unitid:151351
nih,2R25HL007785-31,ASST_NON_R25HL007785_7529,Tufts University,Massachusetts,Tufts University,Massachusetts,Medford,Private not-for-profit,168148,401153.55,1598644.45,1999798,2025-06-13,,https://www.usaspending.gov/award/ASST_NON_R25HL007785_7529,https://reporter.nih.gov/project-details/10793374,270335485,401153.55,1999798,2025-01-31,2025-06-20,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,26,44,,unitid:168148
epa,84082601,ASST_NON_84082601_068,Oregon State University,Oregon,Oregon State University,Oregon,Corvallis,Public,209542,759630.45,1590580.55,2350211,2025-05-07,2027-08-31,https://www.usaspending.gov/award/ASST_NON_84082601_068/,https://enviro.epa.gov/envirofacts/nggs/report?grantId=84082601,254633443,759630.45,2350211,2025-05-07,2025-06-05,FALSE,FALSE,FALSE,0,1,474254.35,474254.35,0,0,0,0,2,11,,unitid:209542
nsf,2449906,ASST_NON_2449906_4900,University of Iowa,Iowa,University of Iowa,Iowa,Iowa City,Public,153658,405690.93,1564018.07,1969709,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2449906_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2449906,236326965,405690.93,538026,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,298707.48,298707.48,0,0,0,0,4,9,,unitid:153658
nsf,2049799,ASST_NON_2049799_4900,Howard University,District Of Columbia,Howard University,District Of Columbia,Washington,Private not-for-profit,131520,1208363.41,1541636.59,2750000,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2049799_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2049799,235023217,1208363.41,2750000,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,5,37,,unitid:131520
nsf,2326588,ASST_NON_2326588_4900,University of Virginia Main Campus,Virginia,University of Virginia-Main Campus,Virginia,Charlottesville,Public,234076,756606.16,1539886.84,2296493,2025-04-25,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2326588_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2326588,235883045,756606.16,1283838,2025-04-25,2025-05-19,FALSE,FALSE,FALSE,0,1,101012.53999999998,0,0,0,0,0,4,25,,unitid:234076
epa,84063001,ASST_NON_84063001_068,University of Oklahoma,Oklahoma,University of Oklahoma-Norman Campus,Oklahoma,Norman,Public,207500,367922.01,1530815.99,1898738,2025-04-30,2027-09-30,https://www.usaspending.gov/award/ASST_NON_84063001_068/,https://enviro.epa.gov/envirofacts/nggs/report?grantId=84063001,254627571,367922.01,1898738,2025-04-30,2025-05-06,FALSE,FALSE,FALSE,0,1,142363.09999999998,142363.09999999998,0,0,0,0,3,8,,unitid:207500
nsf,2008197,ASST_NON_2008197_4900,Drexel University,Pennsylvania,Drexel University,Pennsylvania,Philadelphia,Private not-for-profit,212054,2274852.47,1524498.53,3799351,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2008197_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2008197,234710334,2274852.47,3799351,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,735807.55,735807.55,0,0,0,0,6,44,,unitid:212054
nih,5R01MH119015-05,ASST_NON_R01MH119015_7529,Mahidol University,,,,,,,1142145,1514736,2656881,2025-03-20,,https://www.usaspending.gov/award/ASST_NON_R01MH119015_7529,https://reporter.nih.gov/project-details/10618291,270243491,1142145,2656881,2025-03-20,2025-09-05,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,7,33,,mahidol university|NA
cdc,U48DP006785,ASST_NON_U48DP006785_075,President and Fellows of Harvard College,Massachusetts,Harvard University,Massachusetts,Cambridge,Private not-for-profit,166027,489922.96,1496318.04,1986241,2025-05-20,2029-09-29,https://www.usaspending.gov/award/ASST_NON_U48DP006785_075/,https://taggs.hhs.gov/Detail/AwardDetail?arg_AwardNum=U48DP006785&arg_ProgOfficeCode=120,271696179,513046.11,1986241,2029-09-29,2025-09-26,TRUE,TRUE,TRUE,23123.149999999965,1.047197522647234,183361.42,124259.37000000001,59102.05,1000000,1000000,0,6,15,,unitid:166027
nih,5R25GM113278-09,ASST_NON_R25GM113278_7529,Medical University of South Carolina,South Carolina,Medical University of South Carolina,South Carolina,Charleston,Public,218335,1043593.59,1489488.74,2533082.33,2025-04-14,,https://www.usaspending.gov/award/ASST_NON_R25GM113278_7529,https://reporter.nih.gov/project-details/10767244,270334854,1043593.59,2533082.33,2025-01-31,2025-05-20,FALSE,FALSE,FALSE,0,1,33505.98000000001,0,0,0,0,0,19,44,,unitid:218335
nsf,2008186,ASST_NON_2008186_4900,University of Puerto Rico,Puerto Rico,,,,,,1944307.84,1480771.16,3425079,2025-05-02,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2008186_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2008186,234710305,1944307.84,3425079,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,12,74,,university of puerto rico|puerto rico
nsf,2340576,ASST_NON_2340576_4900,Winston-Salem State University,North Carolina,Winston-Salem State University,North Carolina,Winston-Salem,Public,199999,6165.2,1471086.8,1477252,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2340576_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2340576,235915895,6165.2,548566,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,2,7,,unitid:199999
nsf,2243017,ASST_NON_2243017_4900,University of Texas at Arlington,Texas,The University of Texas at Arlington,Texas,Arlington,Public,228769,364173.77,1470195.23,1834369,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2243017_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2243017,235633475,364173.77,1077608,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,48475.609999999986,48475.609999999986,0,0,0,0,4,22,,unitid:228769
nsf,1824015,ASST_NON_1824015_4900,Virginia Commonwealth University,Virginia,Virginia Commonwealth University,Virginia,Richmond,Public,234030,1529506.36,1470169.64,2999676,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_1824015_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=1824015,233378190,1529506.36,2999676,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,167820.50999999998,167820.50999999998,0,0,0,0,11,76,,unitid:234030
nih,5R01MD017748-03,ASST_NON_R01MD017748_7529,Yale University,Connecticut,Yale University,Connecticut,New Haven,Private not-for-profit,130794,712875.31,1462823.69,2175699,2025-05-30,,https://www.usaspending.gov/award/ASST_NON_R01MD017748_7529,https://reporter.nih.gov/project-details/11003358,270238528,712875.31,2175699,2025-12-31,2025-06-20,TRUE,TRUE,TRUE,0,1,113917.43,0,0,0,0,0,6,24,,unitid:130794
nsf,2207368,ASST_NON_2207368_4900,University of Georgia Research Foundation Inc,Georgia,University of Georgia,Georgia,Athens,Public,139959,1038659.58,1461338.42,2499998,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2207368_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2207368,235435082,1038659.58,2499998,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,366426.61000000004,366426.61000000004,0,0,0,0,5,33,,unitid:139959
nih,3R01MD015715-04S1,ASST_NON_R01MD015715_7529,Fordham University,New York,Fordham University,New York,Bronx,Private not-for-profit,191241,1735245,1460325,3195570,2025-03-28,,https://www.usaspending.gov/award/ASST_NON_R01MD015715_7529,https://reporter.nih.gov/project-details/10939410,270238384,2100624.13,3195570,2027-04-30,2026-02-20,TRUE,TRUE,TRUE,365379.1299999999,1.2105634247613448,434258.8500000001,233643.7200000001,19189.340000000004,848174,0,0,15,80,,unitid:191241
