agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key
nsf,2423785,ASST_NON_2423785_4900,Arizona State University,Arizona,Arizona State University,Arizona,Tempe,Public,104151,182367.96,217630.04,399998,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2423785_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2423785,236130864,182367.96,399998,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,9743.429999999993,0,0,0,0,0,2,12,,unitid:104151
nsf,2401278,ASST_NON_2401278_4900,University of Wisconsin-Madison,Wisconsin,University of Wisconsin-Madison,Wisconsin,Madison,Public,240444,29603.9,217290.1,246894,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2401278_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2401278,236072112,29603.9,223494,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,1693.1800000000003,1693.1800000000003,0,0,0,0,2,18,,unitid:240444
nsf,2100793,ASST_NON_2100793_4900,University of Delaware,Delaware,University of Delaware,Delaware,Newark,Public,130943,434267.75,217278.25,651546,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2100793_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2100793,235155732,434267.75,651546,2025-04-25,2025-05-19,FALSE,FALSE,FALSE,0,1,45511.259999999995,45511.259999999995,0,0,0,0,2,35,,unitid:130943
nsf,2348212,ASST_NON_2348212_4900,University of Illinois Urbana-Champaign,Illinois,University of Illinois Urbana-Champaign,Illinois,Champaign,Public,145637,42752.07,217247.93,260000,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2348212_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2348212,235932976,42752.07,260000,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,6879.07,2891.8399999999965,0,0,0,0,2,11,,unitid:145637
nsf,2102119,ASST_NON_2102119_4900,College of William and Mary,Virginia,William & Mary,Virginia,Williamsburg,Public,231624,781590.84,216462.16,998053,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2102119_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2102119,235163455,781590.84,998053,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,27564.619999999995,27564.619999999995,0,0,0,0,2,44,,unitid:231624
nsf,2224565,ASST_NON_2224565_4900,University of North Carolina Greensboro,North Carolina,,,,,,241659.23,216340.77,458000,2025-05-22,2025-04-18,https://www.usaspending.gov/award/ASST_NON_2224565_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2224565,235590079,241659.23,458000,2025-04-18,2025-05-05,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,4,66,,university of north carolina greensboro|north carolina
nih,1R01AI165656-01A1,ASST_NON_R01AI165656_7529,Virginia Polytechnic Institute and State University,Virginia,Virginia Polytechnic Institute and State University,Virginia,Blacksburg,Public,233921,219465.15,216111.85,435577,2025-04-17,,https://www.usaspending.gov/award/ASST_NON_R01AI165656_7529,https://reporter.nih.gov/project-details/10879480,270148185,219465.15,218549.15,2025-06-30,2026-02-20,TRUE,FALSE,TRUE,0,1,149183.36000000002,73103.27000000002,0,0,0,0,3,16,,unitid:233921
nsf,2321195,ASST_NON_2321195_4900,Northern Illinois University,Illinois,Northern Illinois University,Illinois,Dekalb,Public,147703,43532.96,216046.04,259579,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2321195_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2321195,235869138,43532.96,259579,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,3,36,,unitid:147703
nsf,2309309,ASST_NON_2309309_4900,University of Colorado Boulder,Colorado,University of Colorado Boulder,Colorado,Boulder,Public,126614,193726.64,215708.36,409435,2025-05-22,2025-04-25,https://www.usaspending.gov/award/ASST_NON_2309309_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2309309,235808786,193726.64,275464,2025-04-25,2025-06-03,FALSE,FALSE,FALSE,0,1,65668.78999999998,65668.78999999998,0,0,0,0,5,17,,unitid:126614
nsf,2055343,ASST_NON_2055343_4900,"University of Maryland, College Park",Maryland,University of Maryland-College Park,Maryland,College Park,Public,163286,772844.15,214919.85,987764,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2055343_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2055343,235035953,772844.15,987764,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,22385.640000000007,22385.640000000007,0,0,0,0,5,44,,unitid:163286
nsf,2122903,ASST_NON_2122903_4900,Alverno College,Wisconsin,Alverno College,Wisconsin,Milwaukee,Private not-for-profit,238193,383497.74,214824.26,598322,2025-05-22,2025-05-02,https://www.usaspending.gov/award/ASST_NON_2122903_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2122903,235217618,383497.74,598322,2025-05-02,2025-06-03,FALSE,FALSE,FALSE,0,1,94737.59,94737.59,0,0,0,0,4,44,,unitid:238193
nsf,2402247,ASST_NON_2402247_4900,Yale University,Connecticut,Yale University,Connecticut,New Haven,Private not-for-profit,130794,85413.5,214586.5,300000,2025-05-22,2025-05-09,https://www.usaspending.gov/award/ASST_NON_2402247_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2402247,236076608,85413.5,200000,2025-05-09,2025-07-17,FALSE,FALSE,FALSE,0,1,0,0,0,0,0,0,2,12,,unitid:130794
nsf,2327862,ASST_NON_2327862_4900,University of Wyoming,Wyoming,University of Wyoming,Wyoming,Laramie,Public,240727,242673.7,214452.3,457126,2025-10-08,2027-08-31,https://www.usaspending.gov/award/ASST_NON_2327862_4900,https://www.nsf.gov/awardsearch/show-award?AWD_ID=2327862,235885967,242673.7,339982,2027-08-31,2025-11-17,TRUE,TRUE,TRUE,0,1,0,0,0,0,0,0,4,41,,unitid:240727
nih,5R25DK132966-03,ASST_NON_R25DK132966_7529,Washington University,Missouri,Washington University in St Louis,Missouri,St. Louis,Private not-for-profit,179867,903825.07,211740.93,1115566,2025-04-30,,https://www.usaspending.gov/award/ASST_NON_R25DK132966_7529,https://reporter.nih.gov/project-details/10817114,270334321,903825.07,1115566,2025-03-31,2025-05-05,FALSE,FALSE,FALSE,0,1,28462.37999999999,28462.37999999999,0,0,0,0,6,37,,unitid:179867
