agency,grant_id,award_id_string,organization_name_display,organization_state,tracker_institution_name,tracker_state,tracker_city,tracker_control_label,matched_unitid,award_outlaid,award_remaining,award_value,termination_date,original_end_date,source_url,detail_url,usaspending_internal_award_id,usaspending_live_outlay,usaspending_total_obligation,usaspending_period_end_date,usaspending_last_modified_date,period_extends_past_termination,period_into_recent,period_recent_or_future,live_outlay_minus_gw_outlay,live_outlay_ratio_to_gw_outlay,post_termination_outlays_total,post_termination_outlays_jul_dec_2025,post_termination_outlays_2026,post_termination_positive_cont_rev_total,post_termination_positive_cont_rev_jul_dec_2025,post_termination_positive_cont_rev_2026,transaction_rows,funding_rows,api_error,institution_key,proposal,continuation_signal,outlay_signal,proposal_flag
nih,5R00AG070273-04,ASST_NON_R00AG070273_7529,University of Southern California,California,University of Southern California,California,Los Angeles,Private not-for-profit,123961,456437.62,22981.35,479418.97,2025-05-27,,https://www.usaspending.gov/award/ASST_NON_R00AG070273_7529,https://reporter.nih.gov/project-details/10913625,270126352,456437.62,479418.97,2025-05-31,2025-09-24,TRUE,FALSE,TRUE,0,1,59251.02000000002,26005.030000000028,0,0,0,0,6,22,,unitid:123961,E,FALSE,TRUE,TRUE
nih,1F31DA062446-01,ASST_NON_F31DA062446_7529,University of Michigan at Ann Arbor,Michigan,University of Michigan-Ann Arbor,Michigan,Ann Arbor,Public,170976,19590.33,22954.67,42545,2025-05-23,,https://www.usaspending.gov/award/ASST_NON_F31DA062446_7529,https://reporter.nih.gov/project-details/11066089,266721365,19590.33,43109,2025-12-31,2026-02-20,TRUE,TRUE,TRUE,0,1,0,0,0,564,0,564,5,8,,unitid:170976,E,TRUE,FALSE,TRUE
nih,5K00DA058260-05,ASST_NON_K00DA058260_7529,Albert Einstein College of Medicine,New York,,,,,,150751.35,21521,172272.35,2025-05-12,,https://www.usaspending.gov/award/ASST_NON_K00DA058260_7529,https://reporter.nih.gov/project-details/10898616,268129104,150751.35,172272.35,2025-08-31,2026-01-20,TRUE,TRUE,TRUE,0,1,4393.63,0,0,0,0,0,6,33,,albert einstein college of medicine|new york,E,FALSE,TRUE,TRUE
nih,5R37CA259210-04,ASST_NON_R37CA259210_7529,University of Pennsylvania,Pennsylvania,University of Pennsylvania,Pennsylvania,Philadelphia,Private not-for-profit,215062,1791515.06,21132.3599999999,1812647.42,2025-04-01,,https://www.usaspending.gov/award/ASST_NON_R37CA259210_7529,https://reporter.nih.gov/project-details/11078765,270351275,1791515.06,1812647.42,2025-04-02,2026-03-05,TRUE,FALSE,TRUE,0,1,183646.20999999996,4428.219999999972,0,0,0,0,6,37,,unitid:215062,E,FALSE,TRUE,TRUE
nih,5F31AG084149-02,ASST_NON_F31AG084149_7529,University of Texas Medical Branch at Galveston,Texas,The University of Texas Medical Branch at Galveston,Texas,Galveston,Public,228653,53925.54,21123.46,75049,2025-05-28,,https://www.usaspending.gov/award/ASST_NON_F31AG084149_7529,https://reporter.nih.gov/project-details/11003262,266717402,53925.54,75049,2025-12-31,2025-06-05,TRUE,TRUE,TRUE,0,1,8039.830000000002,0,0,0,0,0,3,19,,unitid:228653,E,FALSE,TRUE,TRUE
nih,1R36AG090851-01,ASST_NON_R36AG090851_7529,Vanderbilt University,Tennessee,Vanderbilt University,Tennessee,Nashville,Private not-for-profit,221999,34262.76,21059.24,55322,2025-05-28,,https://www.usaspending.gov/award/ASST_NON_R36AG090851_7529,https://reporter.nih.gov/project-details/11038110,270349466,34262.76,55322,2025-12-31,2026-02-09,TRUE,TRUE,TRUE,0,1,27460.45,15600.93,0,0,0,0,2,6,,unitid:221999,E,FALSE,TRUE,TRUE
nih,1R21MD019785-01,ASST_NON_R21MD019785_7529,University of Chicago,Illinois,University of Chicago,Illinois,Chicago,Private not-for-profit,144050,225250.44,20749.56,246000,2025-06-11,,https://www.usaspending.gov/award/ASST_NON_R21MD019785_7529,https://reporter.nih.gov/project-details/10952677,270322730,225250.44,246000,2025-06-30,2026-02-09,TRUE,FALSE,TRUE,0,1,135224.84,99005.26000000001,0,0,0,0,3,11,,unitid:144050,E,FALSE,TRUE,TRUE
nih,1F31AI186234-01,ASST_NON_F31AI186234_7529,Albert Einstein College of Medicine,New York,,,,,,28684.35,20289.65,48974,2025-04-17,,https://www.usaspending.gov/award/ASST_NON_F31AI186234_7529,https://reporter.nih.gov/project-details/10993265,266718333,28684.35,48974,2025-08-31,2025-04-21,TRUE,TRUE,TRUE,0,1,2746.4399999999987,0,0,0,0,0,2,12,,albert einstein college of medicine|new york,E,FALSE,TRUE,TRUE
nih,5R00AG068425-05,ASST_NON_R00AG068425_7529,University of Washington,Washington,University of Washington,Washington,Seattle,Public,236948,734188.09,20259.2200000001,754447.31,2025-05-29,,https://www.usaspending.gov/award/ASST_NON_R00AG068425_7529,https://reporter.nih.gov/project-details/11021081,270126344,733866.82,754447.31,2026-01-31,2025-07-21,TRUE,TRUE,TRUE,-321.2700000000186,0.999562414585069,148998.03000000003,71119.20000000004,0,19921,19921,0,8,30,,unitid:236948,E,TRUE,TRUE,TRUE
nih,5F31DK137482-02,ASST_NON_F31DK137482_7529,Indiana University Indianapolis,Indiana,Indiana University-Indianapolis,Indiana,Indianapolis,Public,151111,59741.5,19710.5,79452,2025-06-09,,https://www.usaspending.gov/award/ASST_NON_F31DK137482_7529,https://reporter.nih.gov/project-details/11000764,266723019,73313.5,79452,2025-12-31,2025-06-20,TRUE,TRUE,TRUE,13572,1.2271787618322272,15972,2400,13572,564,0,0,3,19,,unitid:151111,E,TRUE,TRUE,TRUE
nih,1F31MD020275-01,ASST_NON_F31MD020275_7529,University of Miami School of Medicine,Florida,University of Miami,Florida,Coral Gables,Private not-for-profit,135726,29292,19682,48974,2025-04-29,,https://www.usaspending.gov/award/ASST_NON_F31MD020275_7529,https://reporter.nih.gov/project-details/11071402,266726658,29292,48974,2025-10-31,2025-05-05,TRUE,TRUE,TRUE,0,1,14191.69,1878.5600000000013,0,0,0,0,2,8,,unitid:135726,E,FALSE,TRUE,TRUE
nih,1F31EY036722-01,ASST_NON_F31EY036722_7529,Augusta University,Georgia,Augusta University,Georgia,Augusta,Public,482149,30060.33,18913.67,48974,2025-05-28,,https://www.usaspending.gov/award/ASST_NON_F31EY036722_7529,https://reporter.nih.gov/project-details/10998626,266723659,30060.33,48974,2025-05-31,2025-06-05,TRUE,FALSE,TRUE,0,1,9000.66,0,0,0,0,0,3,10,,unitid:482149,E,FALSE,TRUE,TRUE
nih,5R01AI178864-02,ASST_NON_R01AI178864_7529,University of Alabama at Birmingham,Alabama,University of Alabama at Birmingham,Alabama,Birmingham,Public,100663,1097733.84,18801.1599999999,1116535,2025-04-17,,https://www.usaspending.gov/award/ASST_NON_R01AI178864_7529,https://reporter.nih.gov/project-details/10890855,270149130,1097733.84,1114061.91,2025-06-30,2026-02-20,TRUE,FALSE,TRUE,0,1,356808.99,206549.07,0,0,0,0,4,23,,unitid:100663,E,FALSE,TRUE,TRUE
nih,1K99HL171946-01A1,ASST_NON_K99HL171946_7529,University of Pennsylvania,Pennsylvania,University of Pennsylvania,Pennsylvania,Philadelphia,Private not-for-profit,215062,144899.99,17640.01,162540,2025-06-13,,https://www.usaspending.gov/award/ASST_NON_K99HL171946_7529,https://reporter.nih.gov/project-details/10984729,268154815,144899.99,162540,2025-08-31,2026-03-05,TRUE,TRUE,TRUE,0,1,46153.229999999996,29524.859999999997,0,0,0,0,3,15,,unitid:215062,E,FALSE,TRUE,TRUE
nih,5K00DA060572-04,ASST_NON_K00DA060572_7529,Duke University,North Carolina,Duke University,North Carolina,Durham,Private not-for-profit,198419,153838.79,17623.21,171462,2025-05-12,,https://www.usaspending.gov/award/ASST_NON_K00DA060572_7529,https://reporter.nih.gov/project-details/11042141,268129108,153838.79,171462,2025-11-30,2025-05-20,TRUE,TRUE,TRUE,0,1,45081.780000000006,30915.960000000006,0,0,0,0,3,22,,unitid:198419,E,FALSE,TRUE,TRUE
nih,1F31DA060615-01,ASST_NON_F31DA060615_7529,Northwestern University,Illinois,Northwestern University,Illinois,Evanston,Private not-for-profit,147767,27707.6,16479.4,44187,2025-05-05,2025-11-28,https://www.usaspending.gov/award/ASST_NON_F31DA060615_7529,https://reporter.nih.gov/project-details/10897451,266721335,43700,44187,2025-05-31,2026-02-09,TRUE,FALSE,TRUE,15992.400000000001,1.5771845991713467,15992.4,0,15992.4,0,0,0,3,16,,unitid:147767,E,FALSE,TRUE,TRUE
nih,4R00GM140338-02,ASST_NON_R00GM140338_7529,Tulane University of Louisiana,Louisiana,Tulane University of Louisiana,Louisiana,New Orleans,Private not-for-profit,160755,232638.93,16333.07,248972,2025-06-13,,https://www.usaspending.gov/award/ASST_NON_R00GM140338_7529,https://reporter.nih.gov/project-details/11074908,270128309,232638.93,497972,2028-01-31,2026-02-20,TRUE,TRUE,TRUE,0,1,79661.15,27867.26999999999,0,264846.72,0,264846.72,6,14,,unitid:160755,E,TRUE,TRUE,TRUE
nih,5F31AG076375-03,ASST_NON_F31AG076375_7529,Virginia Commonwealth University,Virginia,Virginia Commonwealth University,Virginia,Richmond,Public,234030,108149.72,16070.28,124220,2025-05-28,,https://www.usaspending.gov/award/ASST_NON_F31AG076375_7529,https://reporter.nih.gov/project-details/10909991,266717314,108149.72,124220,2025-09-09,2025-06-05,TRUE,TRUE,TRUE,0,1,5263.920000000002,84.95999999999913,0,0,0,0,5,32,,unitid:234030,E,FALSE,TRUE,TRUE
nih,1F31HL174133-01,ASST_NON_F31HL174133_7529,Georgia Institute of Technology,Georgia,Georgia Institute of Technology-Main Campus,Georgia,Atlanta,Public,139755,33472.65,15501.35,48974,2025-06-13,,https://www.usaspending.gov/award/ASST_NON_F31HL174133_7529,https://reporter.nih.gov/project-details/10901715,266726393,33472.65,48974,2025-08-18,2025-06-20,TRUE,TRUE,TRUE,0,1,17919.940000000002,7882.610000000001,0,0,0,0,4,9,,unitid:139755,E,FALSE,TRUE,TRUE
nih,1F31AG084195-01A1,ASST_NON_F31AG084195_7529,University of Alabama at Birmingham,Alabama,University of Alabama at Birmingham,Alabama,Birmingham,Public,100663,24780.32,15483.68,40264,2025-05-28,,https://www.usaspending.gov/award/ASST_NON_F31AG084195_7529,https://reporter.nih.gov/project-details/10900324,266717407,24780.32,40264,2025-06-30,2025-06-05,TRUE,FALSE,TRUE,0,1,21425.519999999997,16797.92,0,0,0,0,2,9,,unitid:100663,E,FALSE,TRUE,TRUE
nih,5K01HL169419-02,ASST_NON_K01HL169419_7529,New York University School of Medicine,New York,New York University,New York,New York,Private not-for-profit,193900,278526.49,15356.24,293882.73,2025-06-13,,https://www.usaspending.gov/award/ASST_NON_K01HL169419_7529,https://reporter.nih.gov/project-details/10911305,268132928,278526.49,293882.73,2025-08-31,2026-01-20,TRUE,TRUE,TRUE,0,1,67616.86,42732.28,0,0,0,0,5,25,,unitid:193900,E,FALSE,TRUE,TRUE
nih,5R25GM152359-02,ASST_NON_R25GM152359_7529,Montana State University - Bozeman,Montana,Montana State University,Montana,Bozeman,Public,180461,311162,14043,325205,2025-03-21,,https://www.usaspending.gov/award/ASST_NON_R25GM152359_7529,https://reporter.nih.gov/project-details/10929514,270335163,311875,1036540,2029-01-31,2026-02-20,TRUE,TRUE,TRUE,713,1.0022914109049306,65956,0,713,725378,339248,386130,7,22,,unitid:180461,E,TRUE,TRUE,TRUE
nih,5K00MH134248-05,ASST_NON_K00MH134248_7529,Boston University Medical Campus,Massachusetts,,,,,,194537.58,13880.22,208417.8,2025-05-26,,https://www.usaspending.gov/award/ASST_NON_K00MH134248_7529,https://reporter.nih.gov/project-details/11015804,268129156,194537.58,208417.8,2025-05-31,2025-12-05,TRUE,FALSE,TRUE,0,1,10831.86,0,0,0,0,0,5,28,,boston university medical campus|massachusetts,E,FALSE,TRUE,TRUE
nih,1F31DC021883-01,ASST_NON_F31DC021883_7529,University of Chicago,Illinois,University of Chicago,Illinois,Chicago,Private not-for-profit,144050,35130.64,13843.36,48974,2025-05-23,,https://www.usaspending.gov/award/ASST_NON_F31DC021883_7529,https://reporter.nih.gov/project-details/10902657,266722013,35130.64,48974,2025-06-21,2025-06-05,TRUE,FALSE,TRUE,0,1,2352,0,0,0,0,0,5,16,,unitid:144050,E,FALSE,TRUE,TRUE
nih,5F31GM150276-02,ASST_NON_F31GM150276_7529,New York University,New York,New York University,New York,New York,Private not-for-profit,193900,82968,13700,96668,2025-05-05,,https://www.usaspending.gov/award/ASST_NON_F31GM150276_7529,https://reporter.nih.gov/project-details/10831838,266724405,82968,96668,2025-05-31,2026-02-09,TRUE,FALSE,TRUE,0,1,7102,2012.5999999999985,0,0,0,0,5,23,,unitid:193900,E,FALSE,TRUE,TRUE
nih,5R25AG070244-03,ASST_NON_R25AG070244_7529,Alabama State University,Alabama,Alabama State University,Alabama,Montgomery,Public,100724,743947.51,13609.75,757557.26,2025-05-27,,https://www.usaspending.gov/award/ASST_NON_R25AG070244_7529,https://reporter.nih.gov/project-details/10896971,270333318,743947.51,757557.26,2025-08-31,2026-01-28,TRUE,TRUE,TRUE,0,1,205188.38000000003,167628.95,0,0,0,0,5,35,,unitid:100724,E,FALSE,TRUE,TRUE
nih,5K01HL159046-04,ASST_NON_K01HL159046_7529,University of Rochester,New York,University of Rochester,New York,Rochester,Private not-for-profit,195030,576649.2,13468.8,590118,2025-06-13,,https://www.usaspending.gov/award/ASST_NON_K01HL159046_7529,https://reporter.nih.gov/project-details/10887566,268132862,576649.2,590118,2025-06-30,2025-09-26,TRUE,FALSE,TRUE,0,1,6730.300000000003,5859.850000000006,0,0,0,0,6,43,,unitid:195030,E,FALSE,TRUE,TRUE
nih,1F31DC021111-01A1,ASST_NON_F31DC021111_7529,Northeastern University,Massachusetts,Northeastern University,Massachusetts,Boston,Private not-for-profit,167358,35633.72,13340.28,48974,2025-05-23,,https://www.usaspending.gov/award/ASST_NON_F31DC021111_7529,https://reporter.nih.gov/project-details/10998103,266721974,35633.72,48974,2025-05-31,2025-06-05,TRUE,FALSE,TRUE,0,1,2648.1899999999987,1720.1599999999999,0,0,0,0,3,12,,unitid:167358,E,FALSE,TRUE,TRUE
nih,5R01GM147061-03,ASST_NON_R01GM147061_7529,University of Georgia,Georgia,University of Georgia,Georgia,Athens,Public,139959,770988.91,13221.5699999999,784210.48,2025-06-15,,https://www.usaspending.gov/award/ASST_NON_R01GM147061_7529,https://reporter.nih.gov/project-details/10870010,270212055,770988.91,784210.48,2025-06-30,2025-09-24,TRUE,FALSE,TRUE,0,1,253370.77000000005,134578.72000000003,0,0,0,0,5,28,,unitid:139959,E,FALSE,TRUE,TRUE
