unitid,GRRTTOT,GRRTM,GRRTW,GRRTWH,GRRTBK,GRRTHS,GRRTAP,GRRTAS,GRRTNH,GRRTAN,GRRTUN,GRRTNR,GRRT2M,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTWH,GBA6RTBK,GBA6RTHS,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTAN,GBA6RTUN,GBA6RTNR,GBA6RT2M,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT
101453,50,50,,50,,,,,,,,,,,50,50,50,50,,50,,,,,,,,,,,,,,,50,50
101462,11,12,11,24,7,0,0,0,,,,,,8,,,,,,,,,,,,,,,,,4,,,,38,
101471,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21,,,,7,
101480,51,46,55,57,30,40,50,60,33,60,0,57,42,25,32,46,51,46,55,57,30,40,50,60,33,60,0,57,42,25,40,40,50,50,62,62
101505,23,23,24,25,19,18,33,35,0,25,,,18,37,,,,,,,,,,,,,,,,,26,,21,,20,
101514,41,45,38,44,25,41,50,46,60,37,44,25,37,19,,,,,,,,,,,,,,,,,36,,85,,41,
101569,26,31,23,40,21,39,50,50,,50,0,0,56,17,,,,,,,,,,,,,,,,,25,,,,33,
101587,38,33,41,47,33,13,50,50,,0,50,,25,37,20,34,37,33,39,45,32,13,50,50,,0,50,,22,39,34,33,46,42,42,42
101602,43,46,41,51,28,0,,,,0,,,48,15,,,,,,,,,,,,,,,,,100,,,,23,
101648,31,31,34,31,45,17,20,21,0,25,,,13,57,,,,,,,,,,,,,,,,,39,,46,,26,
101675,26,19,34,53,24,17,,,,,0,,50,,16,19,26,19,34,53,24,17,,,,,0,,50,,20,20,80,80,90,90
101693,56,47,61,63,31,0,67,67,,60,38,50,44,,42,52,56,47,61,63,31,0,67,67,,60,38,50,44,,52,52,59,59,,
101709,49,42,54,50,36,53,67,67,,100,33,63,60,29,34,45,49,42,54,50,36,53,67,67,,100,33,63,60,29,48,48,42,42,53,53
101736,33,40,27,34,23,31,33,33,,40,50,0,40,13,,,,,,,,,,,,,,,,,29,,24,,41,
101879,54,47,58,60,37,49,44,50,0,40,25,18,57,29,33,50,54,47,58,60,37,49,44,50,0,40,25,18,57,29,43,43,55,55,67,67
101897,32,26,36,30,25,40,40,40,,40,0,0,40,4,,,,,,,,,,,,,,,,,28,,45,,38,
101912,49,36,57,,53,36,50,0,100,,28,68,0,1,31,46,50,37,58,,54,36,50,0,100,,29,68,0,1,37,38,57,58,62,63
101994,55,58,50,58,60,,,,,,0,,0,,,,,,,,,,,,,,,,,,63,,,,47,
102030,23,28,19,30,23,0,33,33,,50,19,0,11,27,,,,,,,,,,,,,,,,,14,,,,44,
102049,80,75,82,81,57,75,67,75,0,100,86,67,88,,72,80,80,75,82,81,57,75,67,75,0,100,86,67,88,,64,64,87,87,81,81
102058,24,30,19,0,23,100,,,,,,,,14,4,11,11,14,8,0,12,0,,,,,,,,16,28,13,0,0,0,0
102067,21,28,16,27,13,40,0,0,,17,,100,5,21,,,,,,,,,,,,,,,,,14,,,,29,
102076,49,55,44,49,33,49,67,75,50,33,25,100,50,17,,,,,,,,,,,,,,,,,43,,50,,55,
102094,53,47,56,55,45,50,68,68,75,56,64,55,51,27,33,47,52,47,55,54,44,49,68,68,75,56,64,55,51,27,46,45,52,51,60,59
102234,56,52,58,62,33,82,83,75,100,100,48,64,20,33,47,54,56,52,58,62,33,82,83,75,100,100,48,64,20,33,44,44,50,50,75,75
102270,41,26,51,20,43,,,,,100,30,,,11,32,41,41,26,51,20,43,,,,,100,30,,,11,43,43,25,25,42,42
102298,65,66,64,50,69,29,,,,,33,100,0,,59,59,65,66,64,50,69,29,,,,,33,100,0,,77,77,0,0,0,0
102313,17,21,12,15,14,33,,,,,38,,0,11,,,,,,,,,,,,,,,,,17,,,,14,
102368,47,40,51,52,33,49,50,56,0,43,44,47,59,28,28,42,46,39,50,51,33,50,50,56,0,43,41,47,51,29,39,37,44,45,56,56
102377,57,50,61,75,58,40,100,100,,67,40,,100,,31,50,57,50,61,75,58,40,100,100,,67,40,,100,,69,69,87,87,16,16
102429,44,48,40,46,24,35,100,100,,0,36,,42,28,,,,,,,,,,,,,,,,,40,,,,47,
102553,29,27,31,35,29,23,29,31,15,9,32,42,18,22,15,24,28,27,30,34,29,20,31,33,13,4,24,43,20,25,21,21,28,23,33,33
102580,100,100,100,100,,,,,,,,100,,,100,100,100,,100,100,,,,,,,,,,,100,100,,,100,
102614,32,30,34,37,8,33,45,48,0,16,43,73,24,19,21,30,33,30,36,36,20,27,53,57,0,14,38,67,22,22,24,25,28,34,37,36
102632,31,25,36,40,0,36,25,29,0,8,22,0,30,18,26,30,33,25,37,35,,50,50,50,,0,30,0,43,23,28,37,29,33,33,31
102669,47,67,42,53,,50,0,0,,50,33,,50,34,19,38,41,50,38,53,,50,0,0,,38,33,,0,34,38,38,78,56,29,29
102711,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,82,
102845,58,54,59,62,49,58,64,75,64,46,54,50,54,0,1,1,1,2,0,1,0,0,1,0,1,1,1,0,1,0,56,0,69,1,52,1
103501,65,53,67,78,52,47,73,74,50,50,67,,57,,,,,,,,,,,,,,,,,,66,,75,,60,
103741,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,60,,79,
103893,54,62,52,58,29,57,45,29,75,38,50,88,56,1,,,,,,,,,,,,,,,,,55,,85,,50,
103909,53,38,55,69,42,51,100,100,,52,47,33,,1,,,,,,,,,,,,,,,,,52,,80,,49,
103927,62,69,61,67,53,63,0,0,,43,50,100,100,0,,,,,,,,,,,,,,,,,66,,56,,58,
103954,38,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,36,,0,,100,
103963,51,52,46,56,40,54,50,33,100,47,50,,38,,,,,,,,,,,,,,,,,,48,,88,,51,
104090,50,46,51,44,15,65,60,50,100,45,60,,0,2,33,67,67,100,50,50,,100,,,,,,,,,51,67,50,100,45,50
104151,68,65,70,70,54,61,78,79,62,50,50,80,68,18,55,65,68,65,70,70,54,61,78,79,62,50,50,80,68,18,59,59,63,63,75,75
104160,25,20,30,13,14,27,0,0,,0,31,75,0,3,,,,,,,,,,,,,,,,,28,,0,,19,
104179,66,62,69,70,42,62,74,75,71,33,52,66,61,18,51,62,66,62,69,70,42,62,74,75,71,33,52,66,61,18,58,58,59,59,71,71
104346,23,26,22,20,33,24,38,33,50,29,20,50,24,18,,,,,,,,,,,,,,,,,26,,50,,21,
104391,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,36,
104425,30,30,30,29,23,30,50,67,0,33,0,33,40,16,,,,,,,,,,,,,,,,,18,,14,,55,
104443,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,,,,100,
104568,80,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,78,,90,,81,
104577,36,34,37,35,15,37,50,100,0,31,64,100,20,8,,,,,,,,,,,,,,,,,34,,,,38,
104586,70,68,76,71,80,60,60,65,33,100,73,62,83,,47,66,70,68,76,71,80,60,60,65,33,100,73,62,83,,61,61,64,64,76,76
104708,14,12,17,19,13,11,18,15,60,6,15,15,14,26,,,,,,,,,,,,,,,,,13,,13,,17,
104717,43,40,45,47,35,41,49,50,46,7,39,55,36,,37,41,43,40,45,47,35,41,49,50,46,7,39,55,36,,37,37,40,40,52,52
105145,20,21,18,19,9,20,33,38,0,0,17,,29,36,,,,,,,,,,,,,,,,,21,,17,,17,
105154,19,19,19,19,16,18,32,31,50,17,27,29,26,,,,,,,,,,,,,,,,,,16,,17,,22,
105206,30,43,19,28,0,37,50,50,,0,50,,0,13,,,,,,,,,,,,,,,,,28,,50,,32,
105215,69,70,59,70,91,62,40,0,100,43,71,,74,1,,,,,,,,,,,,,,,,,64,,78,,74,
105297,5,0,11,,,,,,,5,,,,18,,,,,,,,,,,,,,,,,6,,,,0,
105330,57,51,60,60,37,54,61,62,53,37,61,58,55,,45,55,57,51,60,60,37,54,61,62,53,37,61,58,55,,50,50,54,54,64,64
105349,8,8,9,8,,0,,,,11,0,,,17,,,,,,,,,,,,,,,,,6,,,,14,
105428,18,14,20,22,25,15,30,22,100,15,0,,50,,,,,,,,,,,,,,,,,,18,,0,,18,
105525,21,22,21,24,18,21,24,24,,8,25,38,15,18,,,,,,,,,,,,,,,,,16,,23,,27,
105534,73,55,76,73,50,75,100,100,,38,52,,73,0,,,,,,,,,,,,,,,,,71,,88,,74,
105543,59,68,58,47,33,63,100,100,100,56,100,,62,,,,,,,,,,,,,,,,,,62,,67,,47,
105589,36,33,37,45,50,0,,,,0,0,,56,39,30,36,36,33,37,45,50,0,,,,0,0,,56,39,40,40,30,30,33,33
105659,75,75,63,76,63,77,79,67,100,73,79,,67,,,,,,,,,,,,,,,,,,71,,84,,75,
105668,4,4,4,10,0,0,0,0,,0,0,,0,38,,,,,,,,,,,,,,,,,3,,0,,8,
105677,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,,93,,82,
105747,24,21,26,26,15,20,22,19,50,18,40,43,18,,,,,,,,,,,,,,,,,,24,,40,,23,
105792,23,22,24,36,15,20,50,50,,0,50,0,30,,,,,,,,,,,,,,,,,,17,,0,,31,
105899,41,35,50,51,8,43,0,0,,0,100,29,20,8,34,41,41,35,50,51,8,43,0,0,,0,100,29,20,8,29,29,44,44,53,53
106041,63,64,52,71,53,69,82,93,71,67,51,,63,0,,,,,,,,,,,,,,,,,60,,71,,63,
106148,32,31,34,38,13,23,40,50,33,21,27,100,38,20,,,,,,,,,,,,,,,,,25,,13,,43,
106245,41,31,49,41,36,46,69,69,,,,53,43,27,25,37,39,29,47,39,34,42,67,67,,,,53,41,27,39,37,21,16,53,51
106306,8,7,12,82,3,0,,,,,,0,,21,1,1,3,0,12,,3,0,,,,,,0,,23,1,1,0,0,80,75
106315,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,,,,0,
106324,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,100,,22,
106342,56,47,68,53,40,69,100,100,100,100,,,88,,44,54,56,47,68,53,40,69,100,100,100,100,,,88,,61,61,29,29,61,61
106351,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,
106397,70,64,75,72,47,66,71,73,0,53,65,80,64,,55,68,70,64,75,72,47,66,71,73,0,53,65,80,64,,58,58,65,65,75,75
106412,40,33,44,29,40,33,100,100,,50,,33,33,25,24,36,40,33,44,29,40,33,100,100,,50,,33,33,25,39,40,28,28,48,48
106449,38,43,35,41,7,26,50,38,100,,0,,41,13,,,,,,,,,,,,,,,,,35,,55,,41,
106458,55,50,59,57,45,60,63,63,,50,10,55,40,26,41,50,53,48,56,55,44,50,63,63,,50,10,55,41,26,45,43,52,50,65,63
106467,49,47,50,53,21,39,67,63,100,15,,39,53,19,32,41,43,41,45,48,19,35,43,42,50,13,,35,46,20,42,35,44,40,61,56
106485,43,43,44,52,25,47,,,,67,,50,35,12,24,31,35,34,36,41,21,33,,,,0,,0,25,12,39,30,52,33,53,46
106494,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,100,
106546,67,,67,67,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,100,
106625,34,39,30,34,80,21,,,,,43,,14,11,,,,,,,,,,,,,,,,,26,,38,,46,
106704,53,50,55,58,36,48,59,58,100,29,50,63,44,26,40,51,53,50,55,58,36,48,59,58,100,29,50,63,44,26,39,39,54,53,67,67
106713,35,26,52,46,16,57,0,0,0,25,0,0,,38,32,40,43,29,63,52,23,50,0,0,,25,,0,,33,26,32,38,50,51,54
106795,48,57,39,55,24,54,100,100,,,,,42,,,,,,,,,,,,,,,,,,49,,,,45,
106810,26,19,32,27,20,,,,,,0,,,51,17,33,33,27,37,33,33,,,,,,,,,47,24,27,28,45,29,25
106883,47,47,47,45,51,100,0,,0,0,0,,50,5,,,,,,,,,,,,,,,,,49,,,,38,
106908,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,,88,,38,
106980,36,33,38,37,24,38,58,58,,57,9,,,11,,,,,,,,,,,,,,,,,34,,21,,42,
106999,56,54,57,58,33,40,100,100,,,,100,43,11,,,,,,,,,,,,,,,,,53,,89,,58,
107044,71,65,75,72,49,65,83,83,,67,,90,63,15,55,69,71,65,75,72,49,65,83,83,,67,,90,63,15,58,58,69,69,77,77
107071,38,33,42,41,30,31,33,33,,100,0,100,35,18,29,37,39,32,45,41,31,36,50,50,,100,0,100,38,17,35,35,22,24,47,47
107080,69,61,77,75,47,48,79,79,,60,80,,58,,62,69,69,61,77,75,47,48,79,79,,60,80,,58,,61,61,70,70,76,76
107099,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,0,
107141,67,61,72,68,40,60,67,67,,33,71,79,61,20,60,66,67,61,72,68,40,60,67,67,,33,71,79,61,20,59,59,73,73,69,69
107220,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70,,87,,52,
107293,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,83,,25,
107318,50,40,57,50,46,100,,,,,,,,18,,,,,,,,,,,,,,,,,46,,,,59,
107327,21,26,16,21,17,29,,,,,,,40,19,,,,,,,,,,,,,,,,,18,,,,27,
107442,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,20,
107460,29,32,27,32,0,25,0,0,,100,22,,0,17,,,,,,,,,,,,,,,,,27,,8,,35,
107488,73,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,8,,,,97,
107512,70,63,76,74,42,71,100,100,,33,,70,77,,62,69,70,63,76,74,40,70,100,100,,33,,70,91,,63,64,59,58,79,79
107521,35,47,29,34,0,0,100,100,,,,,43,10,,,,,,,,,,,,,,,,,43,,0,,21,
107549,44,39,46,43,50,50,,,,,,,,,,,,,,,,,,,,,,,,,48,,100,,28,
107558,52,48,55,41,57,57,50,50,,33,50,78,60,24,41,48,52,48,55,41,57,57,50,50,,33,50,78,60,24,45,45,45,45,62,62
107585,47,47,47,46,29,55,75,100,0,,100,,47,6,,,,,,,,,,,,,,,,,47,,40,,47,
107600,32,22,38,,31,0,100,,100,,,80,50,,19,30,32,22,38,,31,0,100,,100,,,80,50,,31,31,38,38,39,39
107619,52,52,51,58,40,100,,,,,,,50,6,,,,,,,,,,,,,,,,,46,,,,73,
107637,18,19,17,30,9,17,100,100,,,,,,10,,,,,,,,,,,,,,,,,15,,0,,29,
107655,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,0,,0,
107664,33,31,34,39,20,43,33,33,,100,19,13,44,12,,,,,,,,,,,,,,,,,29,,33,,40,
107725,49,56,47,51,36,65,,,,,,,0,5,,,,,,,,,,,,,,,,,43,,,,64,
107743,60,54,65,61,0,64,50,50,,67,50,62,60,6,,,,,,,,,,,,,,,,,57,,50,,67,
107789,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,,59,,94,
107831,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,,,,0,
107840,7,9,5,0,8,0,,,,,,,,,,,,,,,,,,,,,,,,,8,,0,,,
107877,36,24,59,47,13,9,,,,0,,20,14,42,26,34,35,24,56,46,13,9,,,,0,,20,14,42,30,29,39,39,45,42
107974,25,30,21,27,21,38,,,,,,0,0,12,,,,,,,,,,,,,,,,,28,,0,,20,
107983,46,41,51,51,32,48,50,44,100,57,,50,88,30,30,39,41,36,46,45,28,39,40,33,100,43,,50,88,30,42,36,40,38,55,49
107992,61,64,57,65,57,70,,,,,,,60,1,,,,,,,,,,,,,,,,,52,,44,,81,
108065,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,,,,0,
108092,37,31,42,39,13,32,52,52,50,20,,50,31,9,3,25,36,29,40,38,13,29,55,57,0,21,,60,31,8,34,32,34,30,43,44
108232,40,33,46,38,31,34,38,42,0,33,30,56,42,19,8,26,37,31,42,31,22,32,32,35,0,33,27,56,33,19,29,24,35,27,49,48
108667,34,36,31,20,14,28,51,52,0,0,67,57,0,14,,,,,,,,,,,,,,,,,31,,,,35,
108807,27,26,29,37,25,25,38,39,0,0,27,100,43,3,,,,,,,,,,,,,,,,,26,,,,29,
108852,76,64,91,79,75,80,,,,,,100,0,,,,,,,,,,,,,,,,,,69,,100,,67,
108977,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,100,,100,
109040,72,80,71,63,43,75,92,92,,100,0,,69,0,,,,,,,,,,,,,,,,,71,,78,,86,
109208,33,33,32,36,21,25,40,42,9,33,44,33,30,9,,,,,,,,,,,,,,,,,31,,0,,34,
109350,31,29,32,33,14,30,47,47,,33,50,50,55,7,,,,,,,,,,,,,,,,,29,,18,,34,
109651,83,76,87,67,67,88,92,92,,,,78,63,,39,75,83,76,87,67,67,88,92,92,,,,78,63,,92,92,78,78,80,80
109721,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,28,
109730,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84,,,,,
109785,64,61,66,68,53,57,71,75,42,67,89,48,77,,49,63,64,61,66,68,53,57,71,75,42,67,89,48,77,,55,55,69,69,69,69
109819,23,22,23,32,8,21,31,32,0,17,0,42,29,8,0,0,0,0,,0,,0,,,,,,,,,21,0,,,25,0
109907,33,25,37,37,17,36,0,0,0,50,100,,31,11,,,,,,,,,,,,,,,,,31,,0,,40,
109934,60,69,59,36,64,58,100,100,,,,,89,5,,,,,,,,,,,,,,,,,61,,83,,50,
110060,18,15,27,50,20,7,18,20,0,,,40,,2,8,14,19,15,67,50,20,7,22,29,0,,,40,,3,0,0,0,0,24,27
110097,69,64,71,72,47,59,72,72,67,,77,72,72,,55,67,69,64,71,72,47,59,72,72,67,,77,72,72,,63,63,71,71,72,72
110194,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81,,90,,96,
110219,24,26,22,24,14,24,0,0,,50,32,,29,1,15,15,15,27,0,0,17,,0,0,,,20,,50,5,23,12,63,0,18,50
110246,32,35,30,34,28,29,35,36,0,23,42,43,30,9,,,,,,,,,,,,,,,,,35,,75,,29,
110334,38,36,40,45,0,31,58,65,0,0,40,80,41,11,,,,,,,,,,,,,,,,,37,,100,,39,
110361,60,57,61,71,41,51,67,69,57,33,52,46,56,30,43,57,60,57,61,71,41,51,67,69,57,33,52,46,56,30,53,53,63,63,65,65
110370,59,62,57,52,54,60,66,66,,,0,65,58,,39,55,59,62,57,52,54,60,66,66,,,0,65,58,,60,60,68,68,55,55
110404,93,94,93,96,67,90,92,92,,,,100,94,3,79,90,93,94,93,96,67,90,92,92,,,,100,94,3,93,93,100,100,93,93
110413,74,67,79,77,65,70,72,70,100,100,92,67,82,22,66,74,74,67,79,77,65,70,72,70,100,100,92,67,82,22,71,71,70,70,78,78
110422,85,82,88,86,80,80,86,86,71,88,85,79,88,1,61,82,85,82,88,86,80,80,86,86,71,88,85,79,88,1,80,80,84,84,87,87
110468,22,25,20,,0,0,50,50,,,,25,,44,22,22,22,25,20,,0,0,50,50,,,,25,,44,0,0,,,33,33
110486,49,39,56,47,40,49,62,62,50,0,56,57,43,2,28,43,49,39,56,47,40,49,62,62,50,0,56,57,43,2,47,47,49,49,56,56
110495,58,53,61,62,43,57,66,65,71,0,63,51,54,2,26,51,58,53,61,62,43,57,66,65,71,0,63,51,54,2,59,59,53,53,57,57
110510,55,51,57,55,34,54,66,67,40,33,70,52,63,1,24,46,55,51,57,55,34,54,66,67,40,33,70,52,63,1,53,53,58,58,57,57
110529,67,64,70,73,53,61,77,77,25,0,72,65,71,2,29,58,67,64,70,73,53,61,77,77,25,0,72,65,71,2,62,62,69,69,71,71
110538,64,59,68,70,46,59,69,68,100,55,60,65,61,4,33,58,64,59,68,70,46,59,69,68,100,55,60,65,61,4,57,57,67,67,69,69
110547,47,41,50,56,35,48,61,61,67,0,54,39,34,3,18,39,47,41,50,56,35,48,61,61,67,0,54,39,34,3,46,46,52,52,49,49
110556,55,48,59,67,40,53,52,52,33,50,61,55,52,2,25,47,55,48,59,67,40,53,52,52,33,50,61,55,52,2,51,51,59,59,64,64
110565,69,63,73,75,57,65,78,78,100,50,67,58,76,2,36,61,69,63,73,75,57,65,78,78,100,50,67,58,76,2,67,67,72,72,72,72
110574,46,39,49,56,35,42,61,61,50,0,46,43,46,4,18,38,46,39,49,56,35,42,61,61,50,0,46,43,46,4,42,42,42,42,51,51
110583,70,64,74,76,59,67,76,76,77,33,63,66,66,2,38,64,70,64,74,76,59,67,76,76,77,33,63,66,66,2,66,66,70,70,75,75
110592,53,46,58,55,40,51,69,69,0,33,37,47,54,2,21,44,53,46,58,55,40,51,69,69,0,33,37,47,54,2,52,52,46,46,56,56
110608,56,48,63,74,47,52,66,66,67,60,59,49,57,6,25,49,56,48,63,74,47,52,66,66,67,60,59,49,57,6,53,53,65,65,62,62
110617,56,49,61,61,45,54,61,61,50,63,48,48,54,3,26,48,56,49,61,61,45,54,61,61,50,63,48,48,54,3,53,53,56,56,61,61
110635,93,92,94,92,88,87,96,96,90,33,96,92,92,,81,91,93,92,94,92,88,87,96,96,90,33,96,92,92,,88,88,91,91,94,94
110644,85,82,87,86,70,80,90,90,83,90,86,84,86,,69,83,85,82,87,86,70,80,90,90,83,90,86,84,86,,81,81,87,87,87,87
110653,86,83,88,83,78,80,91,91,75,75,89,87,89,8,73,85,86,83,88,83,78,80,91,91,75,75,89,87,89,8,84,84,85,85,88,88
110662,93,90,94,94,86,89,97,97,85,82,89,92,91,3,86,92,93,90,94,94,86,89,97,97,85,82,89,92,91,3,90,90,93,93,94,94
110671,77,74,78,75,75,73,83,83,75,33,65,63,75,13,65,74,77,74,78,75,75,73,83,83,75,33,65,63,75,13,76,76,78,78,77,77
110680,88,86,89,88,86,78,93,93,91,100,84,89,89,,75,86,88,86,89,88,86,78,93,93,91,100,84,89,89,,83,83,89,89,91,91
110705,85,83,87,88,85,78,88,89,64,75,89,84,91,,73,84,85,83,87,88,85,78,88,89,64,75,89,84,91,,82,82,83,83,88,88
110714,74,71,78,73,74,71,79,79,71,0,84,76,75,5,61,72,74,71,78,73,74,71,79,79,71,0,84,76,75,5,70,70,75,75,77,77
110875,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,,100,,100,
111054,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92,,100,,63,
111081,64,62,66,55,57,55,70,70,,,100,80,73,19,43,62,64,62,66,55,57,55,70,70,,,100,80,73,19,72,72,67,67,58,58
111188,67,71,51,75,33,58,68,68,,,67,,62,4,50,63,67,71,51,75,33,58,68,68,,,67,,62,4,67,67,62,62,69,69
111434,49,48,51,62,,41,62,58,100,,,67,50,12,,,,,,,,,,,,,,,,,51,,,,48,
111461,44,41,47,52,22,39,59,59,43,50,67,44,46,10,,,,,,,,,,,,,,,,,42,,50,,45,
111513,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78,,100,,77,
111638,63,78,53,85,38,55,62,62,,,,,,,,,,,,,,,,,,,,,,,58,,74,,78,
111708,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,90,,100,
111717,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71,,100,,100,
111726,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,,,,95,
111744,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,,100,,100,
111762,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,73,
111799,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,,,,72,
111887,29,27,31,30,31,26,51,52,30,50,19,40,35,10,,,,,,,,,,,,,,,,,29,,0,,29,
111896,26,20,41,38,15,24,33,43,20,0,,0,13,8,,,,,,,,,,,,,,,,,26,,100,,26,
111920,41,39,43,49,24,35,53,54,47,25,40,44,42,10,,,,,,,,,,,,,,,,,47,,,,39,
111939,32,28,35,45,18,29,38,37,40,0,38,33,28,9,,,,,,,,,,,,,,,,,33,,,,31,
111948,80,76,83,81,83,83,80,81,40,,79,69,79,,71,79,80,76,83,81,83,84,78,79,40,,79,69,79,,77,77,80,80,82,81
111966,50,33,54,,38,80,,,,,33,,,,44,50,50,33,54,,38,80,,,,,33,,,,54,54,,,33,33
112075,63,53,68,64,50,56,76,77,67,,100,42,70,,54,62,63,53,68,64,50,56,76,77,67,,100,42,70,,69,69,61,61,59,59
