id,url,title,publication,published_at,created_at
f81b9acf-6eec-490d-b07c-afac42059eb4,https://www.foxbusiness.com/media/brown-cut-48-jobs-scrap-55-openings-following-federal-pressure-students-expose-ivy-league-bloat,"Brown to cut 48 jobs, scrap 55 open positions following federal pressure, student's exposé of Ivy League bloat",Fox Business,2025-09-23,2025-09-25T19:11:09Z
4746b2cc-77f9-4182-98a3-8156d0144fdc,https://www.insidehighered.com/news/quick-takes/2025/09/15/penn-state-close-npr-pbs-affiliate-station-wpsu,"Penn State to Close NPR, PBS Affiliate Station WPSU",Inside Higher Ed,2025-09-15,2025-10-12T16:11:14Z
e93442e6-a45f-474f-88e0-cefb8b310aa0,https://lookouteugene-springfield.com/story/university-of-oregon/2025/09/08/uo-to-cut-60-employees-this-fall-including-some-faculty-members/,"UO to cut 60 employees this fall, including some faculty members",Lookout Eugene-Springfield,2025-09-08,2025-09-09T13:18:35Z
3b2294ca-b0dc-4d58-8f3b-c82a95a92851,https://www.kgun9.com/news/local-news/university-of-arizona-laying-of-43-after-federal-funding-for-snap-ed-eliminated,University of Arizona laying off 43 after federal funding for SNAP-Ed eliminated,KGUN 9,2025-09-04,2025-09-14T22:26:41Z
02e9fd9b-d250-4e25-bebd-e47605835099,https://www.emorywheel.com/article/2025/09/emory-ends-dei-programs,Emory ends DEI programs,The Emory Wheel,2025-09-03,2025-09-04T23:32:10Z
84636c2d-63ed-4c2a-8945-db5136bc0880,https://www.kuer.org/arts-culture-entertainment/2025-09-03/after-nearly-25-years-slcc-community-writing-center-will-close-due-to-budget-cuts,"After nearly 25 years, SLCC Community Writing Center will close due to budget cuts",KUER,2025-09-03,2025-09-04T23:12:23Z
8646f655-0a8e-48f1-94d8-37c3fbb146f6,https://www.vcstar.com/story/news/education/schoolwatch/2025/09/03/clus-satellite-campuses-in-oxnard-westlake-village-to-close/85957259007/,"CLUs satellite campuses in Oxnard, Westlake Village to close",VC Star,2025-09-03,2025-09-04T23:30:38Z
47885bb0-54a6-498a-8210-f2774c9fc0dc,https://www.middleburycampus.com/article/2025/08/middlebury-to-close-miis-by-june-2027,Middlebury to close MIIS by June 2027,The Middlebury Campus,2025-08-28,2025-08-29T15:28:44Z
f6073eb6-8243-4b7b-994b-eb6481d4eb47,https://www.ohio.edu/news/2025/08/ohio-university-will-suspend-future-entry-11-academic-programs-comply-advance-ohio,Ohio University will suspend future entry into 11 academic programs to comply with Advance Ohio Higher Education Act standards,Ohio University,2025-08-26,2025-08-28T14:05:19Z
2666c18d-790b-443e-9c9e-fc8530fff08b,https://www.instagram.com/p/DNqcDOotzmf/,Wisconsin Law Students & Alum: Save the Public Defender Project!,Instagram,2025-08-22,2025-08-26T20:11:02Z
85ec92e7-f743-436f-853d-c0db5ac3b08e,https://www.theartnewspaper.com/2025/08/22/new-york-school-of-visual-arts-lays-off-30-employees,New Yorks School of Visual Arts lays off 30 employees,The Art Newspaper,2025-08-22,2025-08-24T19:38:10Z
962d82e3-e3f3-4822-b089-e0c1e9c65da4,https://drwebdomain.blog/2025/08/21/matc-cuts-four-positions-under-trumps-federal-dei-guidelines/,MATC cuts four positions under Trump's federal DEI guidelines,DrWeb Domain Blog,2025-08-21,2025-08-24T19:45:49Z
d3bbcbb5-8762-40a3-9fe6-d1abc81c6921,https://www.houstonchronicle.com/health/article/uthealth-houston-layoffs-freeze-20826193.php,UTHealth Houston lays off dozens during hiring freeze,Houston Chronicle,2025-08-21,2025-08-22T01:08:39Z
16430583-87b0-41d3-ba60-9c368ed71caf,https://vtdigger.org/2025/08/19/bennington-college-announces-layoffs-of-15-staff-members/,Bennington College announces layoffs of 15 staff members,VTDigger,2025-08-19,2025-09-01T01:43:35Z
37458911-e5dd-41d5-9484-d83538980228,https://wcyb.com/news/local/milligan-to-no-longer-accept-students-into-multiple-programs-including-journalism,Milligan to no longer accept students into multiple programs including journalism,WCYB,2025-08-19,2025-08-20T02:07:26Z
e1dc7301-f6ff-4575-bd00-9d5945659bf1,https://www.uscannenbergmedia.com/2025/08/19/rossier-school-of-education-lays-off-19-including-lone-career-services-specialist/,"Rossier School of Education lays off 19, including lone career services specialist",USC Annenberg Media,2025-08-19,2025-08-24T20:02:39Z
3ab9ce22-7078-45d3-9778-e622ad53c30f,https://chicagomaroon.com/48307/news/uchicago-to-cut-some-ph-d-masters-admissions-for-2026-27/,"UChicago to Cut Some Ph.D., Master's Admissions for 2026–27",Chicago Maroon,2025-08-14,2025-08-16T23:50:23Z
21bdccfe-ba7d-47a0-9600-e1afc53a521b,https://hartfordbusiness.com/article/uconn-closes-7-academic-programs-after-low-enrollment-review/,UConn closes 7 academic programs after low-enrollment review,Hartford Business Journal,2025-08-12,2025-08-12T17:43:31Z
6d8915d8-34d7-462e-9a11-67b8d7263824,https://littlevillagemag.com/iowa-youth-writing-project-and-iowa-summer-writing-festival-ending/,"UI announces end to Iowa Summer Writing Festival, Iowa Youth Writing Project",Little Village Magazine,2025-08-12,2025-08-13T17:16:31Z
c441d55b-e468-41af-ae83-483013192d18,https://thesuffolkjournal.com/47902/news/suffolk-university-layoffs/,Suffolk lays off 35 staff members amid financial tensions,The Suffolk Journal,2025-08-11,2025-08-15T16:35:04Z
df6ffe6d-2bc6-427b-b31c-80854319bc43,https://www.uscannenbergmedia.com/2025/08/11/annenberg-lays-off-13-employees-to-make-65-million-budget-cut/,Annenberg lays off 13 employees to make $6.5 million budget cut,USC Annenberg Media,2025-08-11,2025-08-12T13:33:25Z
