unitid,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12
166638,83,80,84,14,18,12,14,17,12,0,1,0
166656,85,80,87,13,15,12,13,15,12,0,0,0
166674,77,65,81,18,23,17,18,23,17,0,0,0
166683,5,4,7,86,92,86,86,92,86,0,0,0
166692,95,95,95,38,38,38,38,38,38,0,0,0
166850,74,74,74,11,12,9,11,12,9,0,0,0
166939,38,,38,30,,30,30,,30,0,,0
167057,43,48,37,26,25,27,26,25,27,0,0,0
167260,88,87,89,18,19,16,18,19,16,0,0,0
167288,92,90,93,13,18,11,13,18,11,0,0,0
167358,6,5,6,50,50,50,50,50,50,0,0,0
167394,88,90,95,16,24,17,16,24,17,0,0,0
167598,89,83,91,10,9,10,10,9,10,0,0,0
167729,96,95,96,17,22,16,17,21,15,0,1,0
167783,66,,66,11,,11,11,,11,0,,0
167792,97,96,98,59,58,59,59,58,59,0,0,0
167835,20,,20,33,,33,33,,33,0,,0
167871,49,64,42,85,81,88,38,11,58,47,70,31
167899,70,69,71,19,20,18,19,20,18,0,0,0
167987,92,90,93,15,17,14,15,17,14,0,0,0
167996,73,68,76,11,12,11,11,12,11,0,0,0
168005,85,82,86,14,13,15,14,13,15,0,0,0
168148,10,10,10,50,51,50,50,51,50,0,0,0
168218,14,,14,50,,50,50,,50,0,,0
168227,85,84,88,18,19,16,18,19,16,0,0,0
168254,83,83,84,13,14,13,13,14,13,0,0,0
168263,81,77,84,14,18,12,14,17,11,0,0,0
168281,71,66,75,16,16,15,16,16,15,0,0,0
168342,10,10,10,47,49,47,47,49,47,0,0,0
168421,58,54,69,20,21,17,20,21,17,0,0,0
168430,90,89,90,21,23,20,21,23,20,0,0,0
168528,68,64,75,23,25,21,23,25,21,0,0,0
168546,83,81,84,8,9,7,8,9,7,0,0,0
168591,66,58,72,13,15,12,13,15,12,0,0,0
168740,87,83,91,24,26,23,23,24,22,2,2,1
168786,71,64,76,18,22,16,18,22,16,0,0,0
168847,88,83,89,47,44,48,32,31,32,15,13,16
169080,71,67,75,22,24,20,22,24,20,0,0,0
169248,91,89,92,12,13,12,12,13,12,0,0,0
169327,50,50,53,31,35,26,29,33,24,2,2,2
169363,72,70,75,17,17,17,16,16,16,1,0,1
169442,93,87,95,25,26,25,25,26,24,0,0,0
169479,97,97,97,16,18,14,13,16,11,3,2,3
169576,50,,50,50,,50,50,,50,0,,0
169655,100,100,100,52,53,41,52,53,41,0,0,0
169716,80,77,82,12,13,11,11,13,11,1,1,0
169798,81,78,83,11,12,11,11,11,11,0,0,0
169910,81,80,81,21,25,18,20,25,18,0,1,0
169983,79,81,75,15,16,11,15,16,11,0,0,0
170000,99,99,100,31,38,25,24,31,17,7,6,8
170037,73,67,78,21,21,20,18,20,17,3,2,3
170082,95,94,95,21,21,21,21,21,21,0,0,0
170286,21,20,22,62,65,59,61,64,59,1,1,0
170301,76,70,80,21,22,21,21,22,21,0,0,0
170532,76,72,80,13,13,13,13,13,13,0,0,0
170639,68,61,73,15,19,13,15,19,12,1,0,1
170675,80,80,80,18,18,19,18,17,19,0,1,0
170806,93,91,94,17,20,15,17,20,15,0,0,0
170967,65,66,65,44,75,31,44,74,31,0,1,0
170976,18,16,20,47,49,46,47,48,46,0,0,0
171100,84,83,85,19,20,19,19,20,18,0,0,0
171128,88,87,89,13,16,10,13,15,10,0,0,0
171137,59,54,63,16,18,14,16,18,14,0,0,0
171146,69,64,73,9,9,9,8,8,8,1,1,1
171456,70,71,69,32,37,29,32,37,29,0,0,0
171492,84,84,85,20,21,17,18,20,16,1,2,1
171571,70,68,71,26,28,25,25,28,25,1,1,0
171599,97,96,98,24,25,24,24,25,24,0,0,0
171881,34,33,36,56,60,48,56,60,48,0,0,0
172033,100,100,100,50,100,33,25,100,0,25,0,33
172051,73,69,76,17,17,18,17,16,18,0,0,0
172264,67,66,67,24,24,26,24,24,25,0,0,1
172334,37,30,45,18,21,15,17,21,15,0,0,0
172644,82,81,83,24,23,22,23,22,22,1,1,1
172699,85,83,86,15,16,13,14,16,13,0,0,0
173045,77,70,82,21,24,18,21,24,18,0,0,0
173124,71,92,91,24,27,22,23,27,21,1,1,1
173142,51,48,53,42,46,39,42,46,39,0,0,0
173160,91,90,92,29,30,28,29,29,28,0,0,0
173258,22,21,24,37,39,36,37,39,36,0,0,0
173300,63,60,66,16,17,14,16,17,14,0,0,0
173328,75,69,79,18,21,17,18,21,17,0,1,0
173452,83,83,82,83,84,82,83,84,82,0,0,0
173647,62,57,68,18,18,18,18,18,18,0,0,0
173665,90,90,90,14,14,14,14,14,14,0,0,0
173902,28,25,30,23,27,20,23,27,20,0,0,0
173920,91,89,93,29,29,30,29,28,29,0,0,0
173957,39,40,38,94,100,92,94,100,92,0,0,0
174020,96,97,96,30,42,23,22,30,17,8,12,6
174066,77,76,78,22,22,22,22,21,22,0,0,0
174075,58,52,64,20,14,20,19,12,20,1,1,1
174127,48,48,52,39,49,36,39,49,36,0,0,0
174154,94,89,94,69,71,69,57,65,57,11,6,12
174233,82,80,83,23,25,22,23,25,22,0,0,0
174251,70,68,73,11,13,10,11,12,10,0,0,0
174358,53,46,59,25,18,30,25,18,29,0,0,0
174437,91,90,91,39,41,38,37,40,34,2,1,3
174491,92,90,94,33,30,36,33,30,35,1,0,1
174747,91,,91,22,,22,22,,22,0,,0
174783,95,94,95,19,18,19,18,18,18,1,1,1
174792,90,90,,25,25,,25,25,,0,0,
174817,89,88,90,23,26,21,23,26,21,0,0,0
174844,52,47,57,27,27,26,27,27,26,0,0,0
174862,63,58,73,31,29,34,29,27,31,2,2,3
174899,94,91,95,23,26,22,23,26,22,0,0,0
174914,85,89,93,22,24,21,22,24,21,0,0,0
175005,94,100,94,24,38,23,23,0,23,1,38,1
175078,69,63,74,20,20,21,19,19,19,1,1,1
175227,98,99,99,66,78,70,61,73,65,4,5,5
175272,69,62,72,28,28,28,27,27,27,0,0,0
175342,25,23,25,27,33,25,25,31,24,2,2,2
175421,53,55,52,22,24,21,22,23,20,0,0,0
175430,100,100,100,57,62,52,57,61,52,1,1,0
175616,100,100,100,18,26,12,17,25,12,1,1,1
175856,91,90,91,8,10,7,7,9,6,0,1,0
175980,49,54,45,15,16,15,15,16,15,0,0,0
176017,98,98,98,19,21,18,19,20,18,0,0,0
176035,100,100,100,29,39,26,28,39,26,0,0,0
176044,51,49,53,19,27,14,16,21,12,3,6,2
176053,49,50,48,42,41,42,41,41,42,0,0,0
176080,76,77,76,24,25,23,23,24,23,0,0,0
176318,35,37,33,17,25,12,16,24,11,1,1,1
176372,99,99,100,20,21,19,19,20,19,0,0,0
176406,53,55,53,12,16,11,12,16,11,0,0,0
176451,100,100,,67,67,,33,33,,33,33,
