UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12 
174154,94,93,95,69,69,69,47,46,47,22,23,22
174233,81,79,82,26,29,24,25,28,23,0,0,0
174251,78,75,80,13,14,12,13,14,12,0,0,0
174358,57,47,63,29,26,30,28,26,30,0,1,0
174437,91,89,92,35,35,34,34,35,34,1,0,1
174491,93,92,93,32,31,33,32,31,32,0,0,0
174747,88,.,88,22,.,22,22,.,22,0,.,0
174783,95,95,95,17,16,18,16,16,17,1,0,1
174792,86,86,.,28,28,.,28,28,.,0,0,.
174817,97,96,97,21,21,20,21,21,20,0,0,0
174844,56,52,60,28,30,26,28,30,26,0,0,0
174862,67,58,88,24,21,30,22,19,27,2,1,3
174899,97,94,98,23,25,22,23,25,22,0,0,0
174914,77,75,79,22,23,20,21,23,20,0,0,0
175005,93,82,93,25,44,25,23,22,23,2,22,2
175078,92,90,92,23,22,23,22,22,22,1,0,1
175227,98,99,93,72,73,66,67,68,61,5,5,6
175272,74,67,77,30,31,29,29,30,29,0,1,0
175342,30,27,31,25,32,22,23,29,21,2,2,2
175421,43,45,41,24,28,21,23,28,20,0,0,0
175430,96,97,95,51,53,49,51,53,49,0,0,0
175616,99,97,99,24,26,22,23,26,21,1,0,1
175856,89,88,89,10,12,9,10,11,9,1,1,1
175980,68,65,70,13,18,8,13,18,8,0,0,0
176017,97,97,97,21,22,19,20,22,19,0,0,0
176035,99,96,100,28,37,26,27,37,24,1,0,1
176044,65,64,65,14,18,12,13,16,11,1,2,1
176053,40,42,39,39,42,37,39,41,37,1,1,0
176080,75,76,75,24,26,22,24,26,22,0,0,0
176318,79,79,79,9,11,9,8,10,7,2,1,2
176372,99,98,99,18,18,18,18,18,18,0,0,0
176406,49,48,58,10,14,8,10,14,8,0,0,0
176451,100,100,.,75,75,.,0,0,.,75,75,.
176479,54,58,51,64,74,58,64,74,58,0,0,1
176628,68,60,84,10,7,16,10,7,16,0,0,0
176770,33,0,50,100,.,100,100,.,100,0,.,0
176789,63,58,68,89,93,86,75,80,71,14,13,14
176947,98,97,99,26,24,27,26,24,27,0,0,0
176965,71,72,71,29,32,26,28,32,26,1,0,1
176983,100,100,100,91,90,100,71,78,17,20,12,83
177038,87,75,86,100,100,100,100,100,100,0,0,0
177083,100,100,.,100,100,.,100,100,.,0,0,.
177117,73,.,73,19,.,19,19,.,19,0,.,0
177144,97,97,97,22,19,29,22,19,29,0,0,0
177214,63,65,63,27,33,23,27,33,23,0,0,0
177339,68,66,69,35,38,32,35,38,32,0,0,0
177418,94,94,95,22,26,18,22,26,17,0,0,0
177542,67,70,70,46,51,41,43,49,38,3,1,4
177746,58,54,60,32,30,33,32,30,33,0,0,0
177931,100,100,100,100,100,100,100,100,100,0,0,0
177968,74,71,77,28,28,27,26,27,25,1,1,2
177986,82,88,79,83,86,82,44,43,45,39,43,36
178059,88,85,90,24,21,25,19,17,20,5,4,5
178183,59,80,54,52,58,50,52,58,50,0,0,0
178208,94,95,94,62,69,45,37,40,31,24,29,14
178244,71,70,72,42,43,42,41,42,40,1,1,2
178341,99,99,100,31,33,31,29,31,28,3,2,3
178369,61,62,61,34,34,34,34,34,34,0,0,0
178396,79,77,81,31,33,30,31,32,30,0,0,0
178402,69,64,73,32,34,31,32,34,31,1,1,1
178411,81,82,80,22,25,16,22,25,15,0,0,0
178420,51,49,52,22,23,21,21,22,20,1,2,1
178615,45,44,46,32,28,35,32,28,35,0,0,0
