opeid6,institution_name_first_seen,institution_name_last_seen,state_last_seen,first_seen_year,last_seen_year,first_missing_year,ever_opeflag_values,ever_opeflag_1to5,ever_opeflag_6,ever_broad_sectors,ever_levels,sample_type_last_seen,exit_group,last_seen_acts,last_seen_newids,coverage_note
008426,CENTRAL BEAUTY SCHOOL INC,CENTRAL BEAUTY SCHOOL INC,ME,1996,1996,1997,,no,no,For-profit,2-year,For-profit 2-year,other_exit,,,1996-1997 files do not expose the same closure-status fields as later directory files.
008431,CASCO BAY COLLEGE,CASCO BAY COLLEGE,ME,1996,1998,1999,1,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
008435,INTERBORO INSTITUTE,Interboro Institute,NY,1996,2007,2008,1; 7,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,M,,
008437,CLINTON-ESSEX-WARREN-WASHINGTON BOCES PRAC NURS,Clinton Essex Warren Washington BOCES,NY,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008441,THE CHUBB INSTITUTE-KEYSTONE SCHOOL,Morrison University,NV,1996,2014,2015,1; 5,yes,no,For-profit,2-year; 4-year,For-profit 4-year,apparent_main_campus_closure,D,,
008443,ITT TECHNICAL INSTITUTE,ITT Technical Institute-Seattle,WA,1996,2010,2011,1,yes,no,For-profit,4-year,For-profit 4-year,other_exit,A,,
008466,SOUTHWESTERN COMMUNITY COLLEGE,Southwestern Community College,NC,1996,2024,,1,yes,no,Public,2-year,Public 2-year,,A,,
008478,MOLER BARBER COLLEGE,MOLER BARBER COLLEGE,CA,1996,1999,2000,1,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
008483,FLIGHT SAFETY INTERNATIONAL,Flight Safety International,FL,1996,2005,2006,1; 5,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
008491,NEBRASKA COLLEGE OF BUSINESS,NEBRASKA COLLEGE OF BUSINESS,NE,1996,2002,2003,1,yes,no,For-profit,2-year,For-profit 2-year,other_exit,A,,
008492,ALEGENT HEALTH SCHOOL OF RADIOLIGIC TECHNOLOGY,CHI Health School of Radiologic Technology,NE,1996,2024,,1,yes,no,Nonprofit,2-year; 4-year,Nonprofit 4-year,,A,,
008493,CONTINENTAL ACADEMIE OF HAIR DESIGN,Continental Academie of Hair Design-Manchester,NH,1996,2012,2013,1; 5,yes,no,For-profit,2-year,For-profit 2-year,apparent_main_campus_closure,D,,
008494,GENERAL TECHNICAL INSTITUTE-WELDING,Hohokus School of Trade and Technical Sciences,NJ,1996,2024,,1,yes,no,For-profit,2-year,For-profit 2-year,,A,,
008495,JAMESTOWN BUSINESS COLLEGE,Jamestown Business College,NY,1996,2024,,1,yes,no,For-profit,2-year; 4-year,For-profit 4-year,,M,,
008498,MIMS CLASSIC BEAUTY COLLEGE,William Edge Institute,TX,1996,2024,,1,yes,no,For-profit,2-year,For-profit 2-year,,A,,
008501,WEBSTER COLLEGE,Rasmussen College-Ocala,FL,1996,2008,2009,1; 5,yes,no,For-profit,2-year; 4-year,For-profit 4-year,other_exit,A; N,,
008503,MOUNTAIN VIEW COLLEGE,Mountain View College,TX,1996,2020,2021,1; 5,yes,no,Public,2-year,Public 2-year,likely_combination_or_successor,C,224615,
