unitid,institution_name,state,city,first_seen_year,last_seen_year,first_missing_year,academic_year,reappeared_after_gap,act_code,closedat,newid,degree_granting,sector,broad_sector,institutional_level,tracker_category,highest_degree_offered,instcat,opeid8,headcount_year,student_headcount,exit_group,closure_proxy_note,source_group,source_file,source_note
261375,Tulsa Technology Center-Lemley Campus,OK,Tulsa,2004,2016,2017,2016-17,yes,C,-2,488934,no,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,At least 2 but less than 4 years,Non-degree granting,-2,00531100,2015,1650,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2016.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
482264,Tulsa Technology Center-Owasso Campus,OK,Owasso,2013,2016,2017,2016-17,no,C,-2,488934,no,"Public, less than 2 years",Public,Less than 2 years,Less than 2 years,Non-degree granting,-2,00531105,2015,422,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2016.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
207607,Tulsa Technology Center-Peoria Campus,OK,Tulsa,2004,2016,2017,2016-17,yes,C,-2,488934,no,"Public, less than 2 years",Public,Less than 2 years,Less than 2 years,Non-degree granting,-2,00531104,2015,688,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2016.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
261384,Tulsa Technology Center-Riverside Campus,OK,Tulsa,2004,2016,2017,2016-17,yes,C,-2,488934,no,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,At least 2 but less than 4 years,Non-degree granting,-2,00531102,2015,802,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2016.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
482273,Tulsa Technology Center-Sand Springs Campus,OK,Sand Springs,2013,2016,2017,2016-17,no,C,-2,488934,no,"Public, less than 2 years",Public,Less than 2 years,Less than 2 years,Non-degree granting,-2,00531106,2015,220,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2016.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
446932,Union Graduate College,NY,Schenectady,2005,2016,2017,2016-17,yes,G,-2,190044,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,03881300,2015,603,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2016.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
489052,University of Oklahoma - Douglass Learning Center,OK,Lawton,2016,2016,2017,2016-17,no,G,-2,207500,no,Sector unknown,,,,,-2,00318465,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2016.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
489061,University of Oklahoma - Ft. Benning GA - AP,GA,Ft Benning,2016,2016,2017,2016-17,no,G,-2,207500,no,Sector unknown,,,,,-2,00318466,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2016.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
489894,Vista College - Ft. Smith,AR,Ft. Smith,2016,2016,2017,2016-17,no,G,-2,365204,no,Sector unknown,,,,,-2,02572013,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2016.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
402828,Widener University-Commonwealth Law School,PA,Harrisburg,2004,2016,2017,2016-17,yes,C,-2,216852,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00331302,2015,393,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2016.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
244190,Widener University-Delaware Law School,DE,Wilmington,2004,2016,2017,2016-17,yes,C,-2,216852,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",Doctor's - other,-2,00331301,2015,897,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2016.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
489265,Winebrenner Theological Seminary -,PA,Scotland,2016,2016,2017,2016-17,no,G,-2,206516,no,Sector unknown,,,,,-2,00406001,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2016.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491172,Academy Di Capelli -,CT,East Hartford,2017,2017,2018,2017-18,no,G,-2,449463,no,Sector unknown,,,,,-2,04104301,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490665,Aesthetics Institute of Cosmetology - Winchester,VA,Winchester,2017,2017,2018,2017-18,no,G,-2,161651,no,Sector unknown,,,,,-2,03097203,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491321,Arizona State University - ASU Colleges at Lake Havasu City,AZ,Lake Havasu City,2017,2017,2018,2017-18,no,G,-2,483124,no,Sector unknown,,,,,-2,00108161,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491330,Arizona State University at The Gila Valley,AZ,Thatcher,2017,2017,2018,2017-18,no,G,-2,483124,no,Sector unknown,,,,,-2,00108162,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491312,Arizona State University at Tucson,AZ,Tucson,2017,2017,2018,2017-18,no,G,-2,483124,no,Sector unknown,,,,,-2,00108131,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491349,Arizona State University at Yuma,AZ,Yuma,2017,2017,2018,2017-18,no,G,-2,483124,no,Sector unknown,,,,,-2,00108163,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491154,Bard College - Holyoke Microcollege,MA,Holyoke,2017,2017,2018,2017-18,no,G,-2,189088,no,Sector unknown,,,,,-2,00267109,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491039,Broadview University - Globe University - Appleton,WI,Grand Chute,2017,2017,2018,2017-18,no,G,-2,230056,no,Sector unknown,,,,,-2,01116610,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490984,Broadview University - Globe University - Eau Claire,WI,Eau Claire,2017,2017,2018,2017-18,no,G,-2,230056,no,Sector unknown,,,,,-2,01116605,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491002,Broadview University - Globe University - La Crosse - Teach-Out,WI,Onalaska,2017,2017,2018,2017-18,no,G,-2,230056,no,Sector unknown,,,,,-2,01116607,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491011,Broadview University - Globe University - Madison,WI,Madison,2017,2017,2018,2017-18,no,G,-2,230056,no,Sector unknown,,,,,-2,01116608,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490993,Broadview University - Globe University - Sioux Falls - Teach-Out,SD,Sioux Falls,2017,2017,2018,2017-18,no,G,-2,230056,no,Sector unknown,,,,,-2,01116606,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491020,Broadview University - Globe University - Wausau,WI,Rothschild,2017,2017,2018,2017-18,no,G,-2,230056,no,Sector unknown,,,,,-2,01116609,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490780,Cecil College - Elkton Station,MD,Elkton,2017,2017,2018,2017-18,no,G,-2,162104,no,Sector unknown,,,,,-2,00830801,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
434812,Centura College-North Charleston,SC,Charlston,2004,2017,2018,2017-18,yes,C,-2,444972,no,"Private for-profit, less than 2 years",Private for-profit,Less than 2 years,Less than 2 years,Non-degree granting,-2,03304301,2016,155,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
138691,Darton State College,GA,Albany,2004,2017,2018,2017-18,yes,C,-2,138716,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00154300,2016,7221,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490586,Davenport University - Macomb CC,MI,Clinton Township,2017,2017,2018,2017-18,no,G,-2,169479,no,Sector unknown,,,,,-2,00224950,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490595,Davenport University - Schoolcraft College,MI,Livonia,2017,2017,2018,2017-18,no,G,-2,169479,no,Sector unknown,,,,,-2,00224951,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490577,Davenport University - Wayne CCCD,MI,Belleville,2017,2017,2018,2017-18,no,G,-2,169479,no,Sector unknown,,,,,-2,00224949,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490939,Designer Barber & Stylist School -,AR,Springdale,2017,2017,2018,2017-18,no,G,-2,480921,no,Sector unknown,,,,,-2,04220001,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491419,Health Career Institute- Lauderdale Lakes,FL,Lauderdale Lakes,2017,2017,2018,2017-18,no,G,-2,490054,no,Sector unknown,,,,,-2,04182601,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491127,Little Priest Tribal College - Ho Chunk Centre,IA,Sioux City,2017,2017,2018,2017-18,no,G,-2,434016,no,Sector unknown,,,,,-2,03323301,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
213640,Lutheran Theological Seminary at Philadelphia,PA,Philadelphia,2004,2017,2018,2017-18,yes,C,-2,213631,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",Doctor's - other,-2,00329200,2016,239,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490683,Maynard A. Traviss Career Center - Central Florida Aerospace Academy,FL,Lakeland,2017,2017,2018,2017-18,no,G,-2,135522,no,Sector unknown,,,,,-2,00560801,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491428,National University College - Mayaguez Campus,PR,Mayaguez,2017,2017,2018,2017-18,no,G,-2,242972,no,Sector unknown,,,,,-2,02260605,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491206,Olympian Academy of Cosmetology - International Academy of Hair Design,AZ,"Phoenix,",2017,2017,2018,2017-18,no,G,-2,187505,no,Sector unknown,,,,,-2,01300520,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
152248,Purdue University-Calumet Campus,IN,Hammond,2004,2017,2018,2017-18,yes,C,-2,490805,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00182700,2016,11498,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
152266,Purdue University-North Central Campus,IN,Westville,2004,2017,2018,2017-18,yes,C,-2,490805,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00182600,2016,7430,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491367,Relay Graduate School of Education - Dallas-Fort Worth,TX,Dallas,2017,2017,2018,2017-18,no,G,-2,475033,no,Sector unknown,,,,,-2,04208612,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491358,Relay Graduate School of Education - San Antonio,TX,San Antonio,2017,2017,2018,2017-18,no,G,-2,475033,no,Sector unknown,,,,,-2,04208611,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491376,"Relay Graduate School of Education - Washington, D.C",DC,Washington,2017,2017,2018,2017-18,no,G,-2,475033,no,Sector unknown,,,,,-2,04208613,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490887,Rocky Vista University - Southern Utah,UT,Ivins,2017,2017,2018,2017-18,no,G,-2,480790,no,Sector unknown,,,,,-2,04218901,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
166984,School of the Museum of Fine Arts at Tufts University,MA,Boston,2004,2017,2018,2017-18,yes,C,-2,168148,yes,"Private not-for-profit, 4-year or above",Private not-for-profit,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00466700,2016,542,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
381529,Seattle Vocational Institute,WA,Seattle,2004,2017,2018,2017-18,yes,C,-2,236513,no,"Public, less than 2 years",Public,Less than 2 years,Less than 2 years,Non-degree granting,-2,00378703,2016,410,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490920,Sharp Edgez Barber Institute - Buffalo,NY,Buffalo,2017,2017,2018,2017-18,no,G,-2,481331,no,Sector unknown,,,,,-2,04213501,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490762,University of Notre Dame -,IL,Chicago,2017,2017,2018,2017-18,no,G,-2,152080,no,Sector unknown,,,,,-2,00184001,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
491385,Wright Institute (The) -,CA,Berkeley,2017,2017,2018,2017-18,no,G,-2,126012,no,Sector unknown,,,,,-2,00884601,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
490708,York County Community College - Sanford Instructional Facility,ME,Sanford,2017,2017,2018,2017-18,no,G,-2,420440,no,Sector unknown,,,,,-2,03122901,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2017.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
493105,ABC Adult School - Cabrillo Lane,CA,Cerritos,2018,2018,2019,2018-19,no,G,-2,491464,no,Sector unknown,,,,,-2,04227001,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
101949,Alabama Southern Community College,AL,Monroeville,2004,2018,2019,2018-19,yes,C,-2,101161,yes,"Public, at least 2 but less than 4 years",Public,At least 2 but less than 4 years,"Degree-granting, primarily subbaccalaureate",,-2,00106006,2017,1857,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
493309,Alliance Computing Solutions - NYC,NY,New York,2018,2018,2019,2018-19,no,G,-2,483850,no,Sector unknown,,,,,-2,04223301,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492698,American College of Barbering - Florence,KY,Florence,2018,2018,2019,2018-19,no,G,-2,486169,no,Sector unknown,,,,,-2,04204801,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492795,Arizona State University - Cochise,AZ,Sierra Vista,2018,2018,2019,2018-19,no,G,-2,483124,no,Sector unknown,,,,,-2,00108166,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492786,Arizona State University - Pinal,AZ,Coolidge,2018,2018,2019,2018-19,no,G,-2,483124,no,Sector unknown,,,,,-2,00108165,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
138789,Armstrong State University,GA,Savannah,2004,2018,2019,2018-19,yes,C,-2,139931,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,00154600,2017,8388,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
139010,Bainbridge State College,GA,Bainbridge,2004,2018,2019,2018-19,yes,C,-2,138558,yes,"Public, 4-year or above",Public,4-year or above,"Degree-granting, primarily baccalaureate or above",,-2,01107400,2017,3193,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492874,Bard College - BHSEC Newark,NJ,Newark,2018,2018,2019,2018-19,no,G,-2,189088,no,Sector unknown,,,,,-2,00267116,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492883,Bard College - Brooklyn Public Library,NY,Brooklyn,2018,2018,2019,2018-19,no,G,-2,189088,no,Sector unknown,,,,,-2,00267117,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492810,Bard College - Coxsackie Correctional Facility,NY,Coxsackie,2018,2018,2019,2018-19,no,G,-2,189088,no,Sector unknown,,,,,-2,00267110,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492829,Bard College - Eastern NY Correctional Facility,NY,Napanoch,2018,2018,2019,2018-19,no,G,-2,189088,no,Sector unknown,,,,,-2,00267111,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492838,Bard College - Fishkill Correctional Facility,NY,Beacon,2018,2018,2019,2018-19,no,G,-2,189088,no,Sector unknown,,,,,-2,00267112,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492847,Bard College - Green Haven Correctional Facility,NY,Stormville,2018,2018,2019,2018-19,no,G,-2,189088,no,Sector unknown,,,,,-2,00267113,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492892,Bard College - MAT Program CA,CA,Los Angeles,2018,2018,2019,2018-19,no,G,-2,189088,no,Sector unknown,,,,,-2,00267118,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492856,Bard College - Taconic Correctional Facility,NY,Bedford Hill,2018,2018,2019,2018-19,no,G,-2,189088,no,Sector unknown,,,,,-2,00267114,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492865,Bard College - Woodbourne Correctional Facility,NY,Woodbourne,2018,2018,2019,2018-19,no,G,-2,189088,no,Sector unknown,,,,,-2,00267115,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
208248,Beau Monde College of Hair Design,OR,Portland,2004,2018,2019,2018-19,yes,C,-2,485166,no,"Private for-profit, less than 2 years",Private for-profit,Less than 2 years,Less than 2 years,Non-degree granting,-2,02154402,2017,52,likely_combination_or_successor,IPEDS ACT=C suggests this UNITID combined with another institution.,ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492555,Bluefield College - Edward Via College of Osteopathic Medicine,VA,Blacksburg,2018,2018,2019,2018-19,no,G,-2,231554,no,Sector unknown,,,,,-2,00370307,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492430,Central California School of Continuing Education -,CA,Coalinga,2018,2018,2019,2018-19,no,G,-2,419183,no,Sector unknown,,,,,-2,03097702,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492388,Denver Seminary - West Texas,TX,Amarillo,2018,2018,2019,2018-19,no,G,-2,126979,no,Sector unknown,,,,,-2,00135202,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
492616,ECPI University - Culinary Institute of Virginia - Newport News,VA,Newport News,2018,2018,2019,2018-19,no,G,-2,248934,no,Sector unknown,,,,,-2,01019820,,,likely_combination_or_successor,"IPEDS NEWID points to a successor institution, so this looks more like a recode or combination than a clean closure.",ipeds_annual_directory,HD2018.zip,Annual IPEDS HD directory leaver analysis; approximate Kelchen-style IPEDS closure screen.
