UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM
204936,75097,80731,72083,65604,78805,68729,,421,184,184,0,0,21,8,13,44,15,10,69,2,76,19,0,44,13,0
204945,62142,73720,61182,60847,41188,,,597,246,246,0,0,29,0,29,81,45,38,42,0,116,33,0,66,17,0
204963,,,,,,,,4,3,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
204981,,,,,,,,54,15,15,0,0,8,1,7,7,3,3,0,1,17,5,0,10,2,0
204990,44806,52313,37099,37500,,,,20,4,4,0,0,1,0,1,3,2,0,1,0,9,0,0,9,0,0
205027,48157,56159,56069,44674,37763,,,55,24,24,0,0,2,2,0,9,3,3,1,0,13,3,0,6,4,0
205054,51598,,,,51598,,,45,22,22,0,0,0,0,0,7,5,1,1,0,9,6,0,3,0,0
205090,,,,,,,,15,9,9,0,0,2,1,1,2,1,0,0,0,1,0,0,1,0,0
205124,37970,37970,,,,,,21,5,5,0,0,1,0,1,1,4,0,0,0,10,10,0,0,0,0
205142,,,,,,,,12,8,8,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0
205179,53096,,,,53096,,,117,83,83,0,0,2,2,0,13,3,1,11,0,4,0,0,4,0,0
205203,57925,79279,62919,62531,36711,,,243,105,105,0,0,4,4,0,12,12,6,29,2,73,8,11,41,13,0
205391,55198,,,,55198,,,34,17,17,0,0,12,0,12,3,1,0,1,0,0,0,0,0,0,0
205443,66057,81332,63749,56070,43778,,,363,174,174,0,0,13,6,7,42,10,12,39,0,73,29,2,33,8,1
205470,74846,88477,69450,60408,50229,,57390,1310,561,561,0,0,223,10,213,63,57,107,103,0,196,38,3,122,33,0
205841,65254,79700,73065,65036,53443,,,497,280,280,0,0,31,2,29,20,45,26,26,0,69,39,0,29,1,0
205887,49756,,,,,,49756,75,26,26,0,0,5,1,4,18,2,1,0,0,23,0,10,13,0,0
205957,78783,97906,65863,62189,55920,,,377,162,162,0,0,40,4,36,32,19,2,41,0,81,13,5,50,12,1
205966,57890,81936,69791,58652,49682,,34111,122,61,61,0,0,6,2,4,19,6,5,7,1,17,0,0,16,1,0
