year,table_alias,table_name,output,resolved_var_name,resolved_var_title,matched_pattern
2018,F3,F1718_F3,tuition_fees_pfp,F3D01,,exact_code_override
2018,FLAGS,FLAGS2018,pell_accounting_method_fasb,,,
2018,FLAGS,FLAGS2018,pell_accounting_method_pfp,,,
2018,FLAGS,FLAGS2018,reporting_model,,,
2018,HD,HD2018,access_earnings,,,
2018,HD,HD2018,category,,,
2018,HD,HD2018,city,,,
2018,HD,HD2018,control,,,
2018,HD,HD2018,county,,,
2018,HD,HD2018,date_closed,,,
2018,HD,HD2018,degree_granting_status,,,
2018,HD,HD2018,grad_offering,,,
2018,HD,HD2018,grad_program_mix,,,
2018,HD,HD2018,hbcu,,,
2018,HD,HD2018,highest_degree,,,
2018,HD,HD2018,id_number_multi,,,
