snapshot_date,snapshot_label,hcm_level,opeid,unitid,institution_name,city,state,country,sector,institution_type_desc,reason_on_description,in_finance_tracker
2025-06-01,June 2025,HCM2,04179800,481094,Sotheby's Institute of Art - NY,New York,NY,United States,Private for-profit,Proprietary,Financial Responsibility,No
2025-06-01,June 2025,HCM2,01167000,197674,Yeshiva of Nitra Rabbinical College,Chester,NY,United States,Private not-for-profit,Private Non-Profit,Administrative Capability,Yes
2025-06-01,June 2025,HCM2,00953000,202888,Gerber Akron Beauty School,Akron,OH,United States,Private for-profit,Proprietary,Program Review,No
2025-06-01,June 2025,HCM2,00813200,204459,Toledo Public Schools Adult and Continuing Education,Toledo,OH,United States,Public,Public,Administrative Capability,No
2025-06-01,June 2025,HCM2,01026600,207157,Randall University,Moore,OK,United States,Private not-for-profit,Private Non-Profit,Severe Program Review Findings,Yes
2025-06-01,June 2025,HCM2,00331700,211608,Cheyney University of Pennsylvania,Cheyney,PA,United States,Public,Public,Administrative Capability,Yes
2025-06-01,June 2025,HCM2,02189100,,CEM College,San Juan,PR,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2025-06-01,June 2025,HCM2,03785300,,Cambridge Technical Institute,Caguas,PR,United States,Private for-profit,Proprietary,Administrative Capability,No
2025-06-01,June 2025,HCM2,03638300,,Rosslyn Training Academy of Cosmetology,Aguada,PR,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2025-06-01,June 2025,HCM2,04229000,484048,Barber Institute of Texas,Longview,TX,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2025-09-01,September 2025,HCM2,04240100,,American University of Antigua College of Medicine,Coolidge,,Antigua,Private for-profit,Foreign For-Profit,Program Review,No
2025-09-01,September 2025,HCM2,04183900,,CETYS Universidad,Mexicali,,Mexico,Private not-for-profit,Foreign Private Non-Profit,Administrative Capability,No
2025-09-01,September 2025,HCM2,03012700,,University of Buckingham,Buckingham,,England,Private not-for-profit,Foreign Private Non-Profit,Audit - Severe Findings,No
2025-09-01,September 2025,HCM2,04272400,490744,Northern Technical College,Pine Bluff,AR,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2025-09-01,September 2025,HCM2,04293000,488563,California College of Music,Pasadena,CA,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2025-09-01,September 2025,HCM2,03043900,119775,NewSchool of Architecture and Design,San Diego,CA,United States,Private for-profit,Proprietary,Administrative Capability,Yes
2025-09-01,September 2025,HCM2,03125800,416458,Premiere Career College,Irwindale,CA,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2025-09-01,September 2025,HCM2,02188900,134510,Hobe Sound Bible College,Hobe Sound,FL,United States,Private not-for-profit,Private Non-Profit,Administrative Capability,Yes
2025-09-01,September 2025,HCM2,04278000,493637,South Eastern Beauty Academy,Paintsville,KY,United States,Private for-profit,Proprietary,Payment Method Changed,No
2025-09-01,September 2025,HCM2,04282700,494685,Urshan University,Wentzville,MO,United States,Private not-for-profit,Private Non-Profit,Administrative Capability,Yes
2025-09-01,September 2025,HCM2,00296800,199582,Saint Augustine's University,Raleigh,NC,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2025-09-01,September 2025,HCM2,03279300,434432,Myotherapy Institute,Lincoln,NE,United States,Private for-profit,Proprietary,Administrative Capability,No
2025-09-01,September 2025,HCM2,04179800,481094,Sotheby's Institute of Art - NY,New York,NY,United States,Private for-profit,Proprietary,Financial Responsibility,No
2025-09-01,September 2025,HCM2,01167000,197674,Yeshiva of Nitra Rabbinical College,Chester,NY,United States,Private not-for-profit,Private Non-Profit,Administrative Capability,Yes
2025-09-01,September 2025,HCM2,00953000,202888,Gerber Akron Beauty School,Akron,OH,United States,Private for-profit,Proprietary,Program Review,No
2025-09-01,September 2025,HCM2,00813200,204459,Toledo Public Schools Adult and Continuing Education,Toledo,OH,United States,Public,Public,Administrative Capability,No
2025-09-01,September 2025,HCM2,01026600,207157,Randall University,Moore,OK,United States,Private not-for-profit,Private Non-Profit,Severe Program Review Findings,Yes
2025-09-01,September 2025,HCM2,02189100,,CEM College,San Juan,PR,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2025-12-01,December 2025,HCM2,04240100,,American University of Antigua College of Medicine,Coolidge,,Antigua,Private for-profit,Foreign For-Profit,Program Review,No
2025-12-01,December 2025,HCM2,04183900,,CETYS Universidad,Mexicali,,Mexico,Private not-for-profit,Foreign Private Non-Profit,Administrative Capability,No
2025-12-01,December 2025,HCM2,03012700,,University of Buckingham,Buckingham,,England,Private not-for-profit,Foreign Private Non-Profit,Audit - Severe Findings,No
2025-12-01,December 2025,HCM2,04272400,490744,Northern Technical College,Pine Bluff,AR,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2025-12-01,December 2025,HCM2,04293000,488563,California College of Music,Pasadena,CA,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
2025-12-01,December 2025,HCM2,03043900,119775,NewSchool of Architecture and Design,San Diego,CA,United States,Private for-profit,Proprietary,Administrative Capability,Yes
2025-12-01,December 2025,HCM2,03125800,416458,Premiere Career College,Irwindale,CA,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2025-12-01,December 2025,HCM2,02188900,134510,Hobe Sound Bible College,Hobe Sound,FL,United States,Private not-for-profit,Private Non-Profit,Administrative Capability,Yes
2025-12-01,December 2025,HCM2,04278000,493637,South Eastern Beauty Academy,Paintsville,KY,United States,Private for-profit,Proprietary,Payment Method Changed,No
2025-12-01,December 2025,HCM2,04282700,494685,Urshan University,Wentzville,MO,United States,Private not-for-profit,Private Non-Profit,Administrative Capability,Yes
2025-12-01,December 2025,HCM2,00296800,199582,Saint Augustine's University,Raleigh,NC,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2025-12-01,December 2025,HCM2,03279300,434432,Myotherapy Institute,Lincoln,NE,United States,Private for-profit,Proprietary,Administrative Capability,No
2025-12-01,December 2025,HCM2,04179800,481094,Sotheby's Institute of Art - NY,New York,NY,United States,Private for-profit,Proprietary,Financial Responsibility,No
2025-12-01,December 2025,HCM2,01167000,197674,Yeshiva of Nitra Rabbinical College,Chester,NY,United States,Private not-for-profit,Private Non-Profit,Administrative Capability,Yes
2025-12-01,December 2025,HCM2,00953000,202888,Gerber Akron Beauty School,Akron,OH,United States,Private for-profit,Proprietary,Program Review,No
2025-12-01,December 2025,HCM2,00813200,204459,Toledo Public Schools Adult and Continuing Education,Toledo,OH,United States,Public,Public,Administrative Capability,No
2025-12-01,December 2025,HCM2,01026600,207157,Randall University,Moore,OK,United States,Private not-for-profit,Private Non-Profit,Severe Program Review Findings,Yes
2025-12-01,December 2025,HCM2,02189100,,CEM College,San Juan,PR,United States,Private for-profit,Proprietary,Severe Program Review Findings,No
