snapshot_date,snapshot_label,hcm_level,opeid,unitid,institution_name,city,state,country,sector,institution_type_desc,reason_on_description,in_finance_tracker
2024-12-01,December 2024,HCM1,00944400,,University of Lancaster,Lancaster,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,00669200,,University of Leeds,Leeds,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,03084300,,University of Limerick,Castletroy,,Ireland,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,02210000,,University of London - London School of Hygiene & Tropical Medicine,London,,England,Private not-for-profit,Foreign Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00669600,,University of London - School of Advanced Study,London,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,00669400,,University of London - School of Oriental & African Studies,London,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,02120000,,"University of London, The Courtauld Institute of Art",London,,England,Private not-for-profit,Foreign Private Non-Profit,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,02156800,,University of Otago,Dunedin,,New Zealand,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,00986000,,University of Surrey,Guildford,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,02149700,,University of Winchester (The),Winchester,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,03085100,,University of Wolverhampton,Wolverhampton,,England,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04230700,,University of the Highlands and Islands,Inverness,,Scotland,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,01121400,,University of the Witwatersrand,Johannesburg,,South Africa,Private not-for-profit,Foreign Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,00837600,,Vrije Universiteit Amsterdam,Amsterdam,,The Netherlands,Private not-for-profit,Foreign Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03160300,102711,Alaska Vocational Technical Center,Seward,AK,United States,Public,Public,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00100200,100654,Alabama Agricultural & Mechanical University,Normal,AL,United States,Public,Public,Compliance Audit Late or Missing,Yes
2024-12-01,December 2024,HCM1,00100500,100724,Alabama State University,Montgomery,AL,United States,Public,Public,Audit - Severe Findings,Yes
2024-12-01,December 2024,HCM1,02341000,371052,Fortis College,Mobile,AL,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03361400,455460,Fortis College,Dothan,AL,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00573400,102313,H. Councill Trenholm State Community College,Montgomery,AL,United States,Public,Public,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,00569200,101994,Reid State Technical College,Evergreen,AL,United States,Public,Public,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,00104600,102298,Talladega College,Talladega,AL,United States,Private not-for-profit,Private Non-Profit,Compliance Audit Late or Missing,Yes
2024-12-01,December 2024,HCM1,00108700,106306,Arkansas Baptist College,Little Rock,AR,United States,Private not-for-profit,Private Non-Profit,Compliance Audit Late or Missing,Yes
2024-12-01,December 2024,HCM1,00109300,106713,Central Baptist College,Conway,AR,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,00109500,106810,Crowley's Ridge College,Paragould,AR,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,00108800,106342,Lyon College,Batesville,AR,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,04247600,485591,New Beginnings Beauty Academy,Pine Bluff,AR,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00711300,105899,Arizona Christian University,Glendale,AZ,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,04080300,454829,Aspen University,Phoenix,AZ,United States,Private for-profit,Proprietary,Program Review,Yes
2024-12-01,December 2024,HCM1,00728300,104346,Central Arizona College,Coolidge,AZ,United States,Public,Public,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04177500,461713,Pure Aesthetics Natural Skincare School,Tucson,AZ,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,01168900,105659,Refrigeration School (The),Phoenix,AZ,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03532400,444361,ATA College,El Cajon,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04132400,454722,Academy of Esthetics and Cosmetology,San Fernando,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03327400,384306,"Acupuncture and Integrative Medicine College, Berkeley",Berkeley,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04206800,479974,Advance Beauty Techs Academy,Corona,CA,United States,Private for-profit,Proprietary,Financial Statement Late or Missing,No
2024-12-01,December 2024,HCM1,04208900,480019,Advanced Career Institute,Visalia,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04227100,490081,America Evangelical University,Gardena,CA,United States,Private not-for-profit,Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,03962300,447795,American Institute of Massage Therapy,Santa Ana,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03067400,417105,Baldwin Park Adult School,Baldwin Park,CA,United States,Public,Public,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04223700,483878,Bay Area Medical Academy,San Francisco,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03266300,110060,Bethesda University,Anaheim,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,02128200,125082,Bridges Beauty College,Victorville,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04294500,498748,CalCopa Massage School,Huntington Beach,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00998900,433420,California Aeronautical University,Bakersfield,CA,United States,Private for-profit,Proprietary,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,04237800,486497,California Barber & Beauty College,San Diego,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04237600,486488,California Jazz Conservatory,Berkeley,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,02332800,111717,Center for Employment Training,San Jose,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04180000,461829,Cinta Aveda Institute,San Francisco,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,02110200,112570,Columbia College Hollywood,Los Angeles,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,00119600,113698,Dominican University of California,San Rafael,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,04175400,461607,Elite Cosmetology School,Palm Desert,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03403300,124487,Epic Bible College,Sacramento,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,01111200,114354,Fashion Institute of Design & Merchandising,Los Angeles,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04159600,461254,Galaxy Medical College,North Hollywood,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04274800,111045,Haven University,Garden Grove,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,00125200,120537,Hope International University,Fullerton,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,04265500,491659,ICOHS College,San Diego,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,02128300,115931,Institute for Business & Technology,Santa Clara,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04001300,447731,Los Angeles College of Aesthetics,Los Angeles,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03868400,446385,Los Angeles College of Music,Pasadena,CA,United States,Private for-profit,Proprietary,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,03124500,400558,Los Angeles Pacific College,Los Angeles,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,02497300,112288,Milan Institute,Visalia,CA,United States,Private for-profit,Proprietary,Outstanding Liability and/or Offset Owed,No
2024-12-01,December 2024,HCM1,03098700,442657,Milan Institute,Palm Desert,CA,United States,Private for-profit,Proprietary,Outstanding Liability and/or Offset Owed,No
2024-12-01,December 2024,HCM1,02161800,119270,Musicians Institute,Hollywood,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03590400,443207,NTMA Machinist Career College,Santa Fe Springs,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04118800,461148,New York Film Academy,Burbank,CA,United States,Private for-profit,Proprietary,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,03813300,444130,Northcentral University,La Jolla,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00117900,120184,Notre Dame de Namur University,Belmont,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,03163300,120838,Pacific States University,Los Angeles,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,04272100,491853,Princess Institute of Beauty,Reedley,CA,United States,Private for-profit,Proprietary,Adverse Action Taken by Accreditor/State Agency,No
2024-12-01,December 2024,HCM1,04153900,455770,Providence Christian College,Pasadena,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,02267600,110778,Sofia University,Palo Alto,CA,United States,Private for-profit,Proprietary,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,02597300,123633,South Baylo University,Anaheim,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,02596400,413680,Spartan College of Aeronautics and Technology,Inglewood,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00408000,123916,Starr King School for the Ministry,Oakland,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03759300,444529,Stellar Career College,Modesto,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04158800,486123,Theatre of Arts,Hollywood,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00188100,154022,University of Arizona Global Campus (The),San Diego,CA,United States,Private for-profit,Proprietary,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,03995300,447801,University of East-West Medicine,Sunnyvale,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03171300,367954,University of St. Augustine for Health Sciences,San Marcos,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04114500,449445,Valley College of Medical Careers,West Hills,CA,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00128100,122728,William Jessup University,Rocklin,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,03868300,401223,World Mission University,Los Angeles,CA,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,04093300,449454,Academy of Natural Therapy,Greeley,CO,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04185000,461953,Colorado Academy of Veterinary Technology,Colorado Springs,CO,United States,Private for-profit,Proprietary,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04148300,454856,Denver College of Nursing,Denver,CO,United States,Private for-profit,Proprietary,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,03006300,372329,IBMC College,Fort Collins,CO,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00135400,127273,Iliff School of Theology,Denver,CO,United States,Private not-for-profit,Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,02117500,127653,Naropa University,Boulder,CO,United States,Private not-for-profit,Private Non-Profit,Compliance Audit Late or Missing,Yes
2024-12-01,December 2024,HCM1,04218900,480790,Rocky Vista University,Parker,CO,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,00729700,126605,Spartan College of Aeronautics and Technology,Broomfield,CO,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03409600,439473,Bennett Career Institute,Washington,DC,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03104300,420370,Career Technical Institute,Washington,DC,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03218300,384412,University of the Potomac,Washington,DC,United States,Private for-profit,Proprietary,Audit - Severe Findings,Yes
2024-12-01,December 2024,HCM1,00146400,131973,Wesley Theological Seminary,Washington,DC,United States,Private not-for-profit,Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,00143300,131098,Wesley College,Dover,DE,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04133500,451079,Academy for Five Element Acupuncture,Gainesville,FL,United States,Private not-for-profit,Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04156400,457411,Aviation Institute of Maintenance,Casselberry,FL,United States,Private for-profit,Proprietary,Other - CIO Problems (Eligibility),No
2024-12-01,December 2024,HCM1,04217800,481483,Boca Beauty Academy,Boca Raton,FL,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04296600,498340,Chancellor Institute,Ft. Lauderdale,FL,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03888300,449481,Dragon Rises College of Oriental Medicine,Gainesville,FL,United States,Private not-for-profit,Private Non-Profit,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04292300,496681,"Florida Academy of Nursing, The",Miramar,FL,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03627600,441423,Florida Education Institute,Miami,FL,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03856500,457350,Florida School of Traditional Midwifery,Gainesville,FL,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03434300,439792,Fortis College,Orange Park,FL,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04251700,488332,Hope College of Arts and Sciences,Pompano Beach,FL,United States,Private for-profit,Proprietary,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04242000,485485,Latin Beauty Academy,Greenacres,FL,United States,Private for-profit,Proprietary,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04285500,495183,Mariano Moreno Culinary Institute,Miami,FL,United States,Private for-profit,Proprietary,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04220200,483470,More Tech Institute,Hialeah,FL,United States,Private for-profit,Proprietary,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,04106300,449490,Palm Beach Academy of Health & Beauty,West Palm Beach,FL,United States,Private for-profit,Proprietary,Financial Responsibility,No
2024-12-01,December 2024,HCM1,04258500,493488,Premiere International College,Fort Myers,FL,United States,Private for-profit,Proprietary,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,02511700,136765,Ridge Technical College,Winter Haven,FL,United States,Public,Public,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,00807500,137272,St. John Vianney College Seminary,Miami,FL,United States,Private not-for-profit,Private Non-Profit,Compliance Audit Late or Missing,Yes
2024-12-01,December 2024,HCM1,02508900,137777,Talmudic College of Florida,Miami Beach,FL,United States,Private not-for-profit,Private Non-Profit,Compliance Audit Late or Missing,Yes
2024-12-01,December 2024,HCM1,00560800,135522,Traviss Technical College,Lakeland,FL,United States,Public,Public,Compliance Audit Late or Missing,No
2024-12-01,December 2024,HCM1,03028200,137962,Trinity College of Florida,Trinity,FL,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,Yes
2024-12-01,December 2024,HCM1,03549300,441371,Ultimate Medical Academy,Clearwater,FL,United States,Private not-for-profit,Private Non-Profit,Financial Responsibility,No
2024-12-01,December 2024,HCM1,03173300,138929,Atlanta Law Center,Atlanta,GA,United States,Private not-for-profit,Private Non-Profit,Other - CIO Problems (Eligibility),No
2024-12-01,December 2024,HCM1,03523300,440059,Aviation Institute Of Maintenance,Duluth,GA,United States,Private for-profit,Proprietary,Other - CIO Problems (Eligibility),No
