UNITID,XCDACTUA,CDACTUA,XCNACTUA,CNACTUA,XCDACTGA,CDACTGA,XEFTEUG,EFTEUG,XEFTEGD,EFTEGD,XFTEUG,FTEUG,XFTEGD,FTEGD,XFTEDPP,FTEDPP,ACTTYPE
484473,R,123947,A,,A,,G,4132,A,,G,4132,A,,A,,2
484604,A,,R,330305,A,,G,367,A,,G,367,A,,A,,1
484613,R,1616063,A,,R,355688,G,53869,G,14820,G,53869,G,14820,A,,2
484631,R,7407,A,,R,2784,G,247,G,116,G,247,G,116,A,,2
484710,R,571,A,,R,27,G,19,G,1,G,19,G,1,A,,2
484756,R,1001,A,,R,42,G,33,G,2,G,33,G,2,A,,2
484844,R,17903,A,,R,588,G,597,G,25,G,597,G,25,A,,2
484862,R,64,A,,R,365,G,2,G,15,G,2,G,15,R,160,2
484871,R,3480,A,,A,,G,116,A,,G,116,A,,A,,2
484899,A,,R,225724,A,,G,251,A,,G,251,A,,A,,1
484905,R,72415,A,,R,5504,G,2414,G,229,G,2414,G,229,R,420,2
484923,A,,R,35446,A,,G,39,A,,G,39,A,,A,,1
484932,R,35214,A,,A,,G,1174,A,,G,1174,A,,A,,2
484950,A,,R,94737,A,,G,105,A,,G,105,A,,A,,1
484996,A,,R,125612,A,,G,140,A,,G,140,A,,A,,1
485014,A,,R,76404,A,,G,85,A,,G,85,A,,A,,1
485032,A,,R,166490,A,,G,185,A,,G,185,A,,A,,1
485111,R,283390,A,,A,,G,6298,A,,G,6298,A,,A,,2
485166,A,,R,49603,A,,G,55,A,,G,55,A,,A,,1
485236,A,,R,48977,A,,G,54,A,,G,54,A,,A,,1
485272,R,28580,A,,A,,G,953,A,,G,953,A,,A,,2
485342,A,,R,236000,A,,G,262,A,,G,262,A,,A,,1
485360,R,884,A,,A,,G,29,A,,G,29,A,,A,,2
485379,A,,R,218795,A,,G,243,A,,G,243,A,,A,,1
485388,A,,R,298452,A,,G,332,A,,G,332,A,,A,,1
485397,A,,R,122208,A,,G,136,A,,G,136,A,,A,,1
485403,A,,A,,R,2460,A,,G,103,A,,G,103,A,,-2
485412,A,,R,98977,A,,G,110,A,,G,110,A,,A,,1
485458,R,60906,A,,A,,G,2030,A,,G,2030,A,,A,,2
485476,A,,R,89114,A,,G,99,A,,G,99,A,,A,,1
485485,A,,R,195755,A,,G,218,A,,G,218,A,,A,,1
485494,A,,R,141300,A,,G,157,A,,G,157,A,,A,,1
485500,R,1406,R,53220,A,,G,106,A,,G,106,A,,A,,3
485519,R,19235,A,,A,,G,427,A,,G,427,A,,A,,2
485546,R,3542,A,,R,7167,G,118,G,299,G,118,G,299,A,,2
485564,R,1350,R,179335,A,,G,244,A,,G,244,A,,A,,3
485573,A,,R,213181,A,,G,237,A,,G,237,A,,A,,1
485591,A,,R,33000,A,,G,37,A,,G,37,A,,A,,1
485607,A,,R,60698,A,,G,67,A,,G,67,A,,A,,1
485698,R,4442,A,,A,,G,148,A,,G,148,A,,A,,2
485704,A,,R,7200,A,,G,8,A,,G,8,A,,A,,1
485768,R,15540,A,,R,13200,G,518,G,550,G,518,G,550,A,,2
485801,A,,R,78300,A,,G,87,A,,G,87,A,,A,,1
485856,R,1062,A,,A,,G,35,A,,R,34,A,,A,,2
485874,A,,R,162642,A,,G,181,A,,G,181,A,,A,,1
485926,A,,R,178000,A,,G,198,A,,G,198,A,,A,,1
485953,R,2790,A,,A,,G,93,A,,G,93,A,,A,,2
485962,A,,R,33080,A,,G,37,A,,G,37,A,,A,,1
485999,R,4170,A,,A,,G,139,A,,G,139,A,,A,,2
486017,R,660,A,,A,,G,22,A,,G,22,A,,A,,2
486026,R,3918,A,,A,,G,131,A,,G,131,A,,A,,2
486053,R,3129,A,,R,2688,G,104,G,112,G,104,G,112,A,,2
486080,A,,A,,R,216,A,,G,9,A,,G,9,A,,-2
486123,R,1800,A,,A,,G,60,A,,G,60,A,,A,,2
486141,R,616,A,,A,,G,21,A,,R,11,A,,A,,2
486150,A,,R,89695,A,,G,100,A,,G,100,A,,A,,1
486169,A,,R,49317,A,,G,55,A,,G,55,A,,A,,1
486196,R,5700,A,,A,,G,190,A,,G,190,A,,A,,2
486202,A,,R,26993,A,,G,30,A,,G,30,A,,A,,1
486239,R,4320,A,,R,3163,G,144,G,132,G,144,G,132,A,,2
486248,A,,R,173050,A,,G,192,A,,G,192,A,,A,,1
486257,R,8509,A,,A,,G,284,A,,G,284,A,,A,,2
486284,R,7393,A,,R,767,G,246,G,32,G,246,G,32,A,,2
486345,A,,R,117752,A,,G,131,A,,G,131,A,,A,,1
486354,R,1840,A,,R,300,G,61,G,13,G,61,G,13,A,,2
486372,R,7038,A,,A,,G,235,A,,G,235,A,,A,,2
486381,A,,R,215488,A,,G,239,A,,R,272,A,,A,,1
486390,A,,R,32675,A,,G,36,A,,G,36,A,,A,,1
486406,A,,R,13822,A,,G,15,A,,G,15,A,,A,,1
486415,R,14580,A,,A,,G,486,A,,G,486,A,,A,,2
486424,R,720,R,96000,A,,G,131,A,,G,131,A,,A,,3
486433,A,,A,,R,2351,A,,G,98,A,,G,98,A,,-2
486442,A,,R,77456,A,,G,86,A,,G,86,A,,A,,1
486488,R,592,A,,A,,G,20,A,,G,20,A,,A,,2
486497,A,,R,65420,A,,G,73,A,,G,73,A,,A,,1
486503,A,,R,44251,A,,G,49,A,,G,49,A,,A,,1
486512,A,,R,386000,A,,G,429,A,,G,429,A,,A,,1
486530,A,,R,142266,A,,G,158,A,,G,158,A,,A,,1
486558,R,12275,A,,A,,G,409,A,,G,409,A,,A,,2
486567,A,,R,258195,A,,G,287,A,,G,287,A,,A,,1
486576,R,14220,A,,A,,G,474,A,,G,474,A,,A,,2
486619,A,,R,106975,A,,G,119,A,,G,119,A,,A,,1
486691,A,,R,84000,A,,G,93,A,,G,93,A,,A,,1
486707,R,5190,A,,A,,G,173,A,,G,173,A,,A,,2
486716,R,3870,A,,A,,G,129,A,,G,129,A,,A,,2
486752,R,2700,A,,A,,G,90,A,,G,90,A,,A,,2
486770,A,,R,102129,A,,G,113,A,,G,113,A,,A,,1
486798,R,55995,A,,A,,G,1867,A,,G,1867,A,,A,,2
486813,R,24071,R,10360,A,,G,814,A,,G,814,A,,A,,3
486822,R,27929,R,60060,A,,G,998,A,,G,998,A,,A,,3
486840,R,1017068,A,,R,76235,G,33902,G,3176,G,33902,G,3176,A,,2
486859,A,,R,27056,A,,G,30,A,,G,30,A,,A,,1
486877,A,,R,13000,A,,G,14,A,,G,14,A,,A,,1
486886,A,,R,17693,A,,G,20,A,,G,20,A,,A,,1
486901,R,22323,A,,R,9870,G,744,G,411,G,744,G,411,Z,0,2
486938,R,17809,A,,A,,G,594,A,,R,495,A,,A,,2
486947,R,19584,A,,A,,G,653,A,,R,544,A,,A,,2
486956,R,38776,A,,A,,G,1293,A,,R,1077,A,,A,,2
486983,A,,R,42797,A,,G,48,A,,G,48,A,,A,,1
487010,R,11725,A,,R,32782,G,391,G,1366,R,334,R,1144,R,1671,2
487047,A,,R,126316,A,,G,140,A,,G,140,A,,A,,1
487065,A,,R,68175,A,,G,76,A,,G,76,A,,A,,1
487083,A,,R,40989,A,,G,46,A,,G,46,A,,A,,1
487092,R,34307,A,,A,,G,1144,A,,G,1144,A,,A,,2
487153,A,,A,,A,,A,,A,,A,,A,,R,42,-2
487162,R,92005,A,,A,,G,3067,A,,G,3067,A,,A,,2
487232,A,,R,157930,A,,G,175,A,,G,175,A,,A,,1
487302,R,21540,A,,A,,G,718,A,,G,718,A,,A,,2
487311,R,24335,R,28881,A,,G,573,A,,G,573,A,,A,,3
487320,R,247776,A,,A,,G,8259,A,,G,8259,A,,A,,2
487348,A,,R,116378,A,,G,129,A,,G,129,A,,A,,1
487375,R,36044,A,,A,,G,1201,A,,G,1201,A,,A,,2
487384,R,16272,A,,A,,G,542,A,,G,542,A,,A,,2
487393,R,21480,A,,A,,G,716,A,,G,716,A,,A,,2
487409,R,21456,A,,A,,G,715,A,,G,715,A,,A,,2
487418,R,22824,A,,A,,G,761,A,,G,761,A,,A,,2
487427,R,21624,A,,A,,G,721,A,,G,721,A,,A,,2
487436,R,23736,A,,A,,G,791,A,,G,791,A,,A,,2
487445,R,14784,A,,A,,G,493,A,,G,493,A,,A,,2
487454,R,14040,A,,A,,G,468,A,,G,468,A,,A,,2
487472,R,26016,A,,A,,G,867,A,,G,867,A,,A,,2
487481,R,55296,A,,A,,G,1843,A,,G,1843,A,,A,,2
487490,R,35616,A,,A,,G,1187,A,,G,1187,A,,A,,2
487506,A,,R,84388,A,,G,94,A,,G,94,A,,A,,1
487524,R,66434,A,,R,9532,G,2214,G,397,G,2214,G,397,R,228,2
487533,A,,R,129682,A,,G,144,A,,G,144,A,,A,,1
