UNITID,SALTOTL,SALPROF,SALASSC,SALASST,SALINST,SALLECT,SALNRNK,SFTETOTL,SFTEPSTC,SFTEINST,SFTERSRC,SFTEPBSV,SFTELCAI,SFTELCA,SFTEOTIS,SFTEMNGM,SFTEBFO,SFTECES,SFTECLAM,SFTEHLTH,SFTEOTHR,SFTESRVC,SFTESALE,SFTEOFAS,SFTENRCM,SFTEPTMM       
146728,58625,60049,.,58125,.,52500,.,44,11,11,0,0,8,1,7,9,7,1,0,0,8,1,0,5,2,0
146755,60735,64904,68647,61037,47837,.,.,23,12,12,0,0,3,1,2,2,2,1,0,0,3,0,0,3,0,0
146807,.,.,.,.,.,.,.,12,4,4,0,0,0,0,0,1,2,0,0,0,5,0,0,5,0,0
146816,42707,.,45852,41134,.,.,.,27,11,11,0,0,7,0,7,5,0,1,0,0,3,0,0,3,0,0
146977,69869,77486,65561,61657,57386,.,.,49,19,19,0,0,6,3,3,10,1,1,1,0,11,2,0,9,0,0
147004,101604,.,.,.,.,.,101604,356,134,134,0,0,44,4,40,60,12,18,12,1,75,15,2,52,6,0
147013,63011,72739,62978,58074,54997,51475,41626,262,103,103,0,0,32,0,32,15,5,11,63,3,30,17,0,11,0,2
147031,91329,100086,82572,.,.,.,.,19,4,4,0,0,2,2,0,7,0,0,4,0,2,0,0,2,0,0
147129,45446,61558,52276,49436,41164,.,.,109,44,44,0,0,25,1,24,11,3,1,2,0,23,5,1,17,0,0
147244,56596,70476,56113,56037,49303,36583,.,351,162,162,0,0,16,4,12,23,17,13,53,5,62,22,0,38,0,2
147341,62301,69278,62094,58316,.,51068,.,213,70,70,0,0,14,4,10,15,15,5,36,3,55,21,0,27,7,0
147369,79266,86748,82633,59572,64993,.,.,668,124,124,0,0,7,7,0,163,69,36,119,1,149,36,15,83,15,0
147378,74693,84630,73676,65841,59280,.,.,748,316,316,0,0,96,11,85,34,24,26,42,1,209,47,3,143,14,2
147396,61668,.,.,.,.,.,61668,17,7,7,0,0,1,0,1,2,3,0,0,0,4,1,2,1,0,0
147411,78012,.,.,.,78012,.,.,254,99,99,0,0,21,6,15,29,2,11,16,0,76,19,2,54,1,0
147536,57450,65172,60487,55214,52500,54744,.,840,349,349,0,0,90,0,90,47,45,30,209,0,70,21,0,46,2,1
147590,48638,55697,49482,48582,44616,.,26250,148,69,62,2,5,11,5,6,26,4,2,5,0,31,10,3,18,0,0
147642,.,.,.,.,.,.,.,7,5,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
