UNITID,DVADM01,DVADM02,DVADM03,DVADM04,DVADM05,DVADM06,DVADM07,DVADM08,DVADM09,DVADM10,DVADM11,DVADM12 
155317,92,89,96,29,30,28,29,29,28,1,1,1
155335,72,74,70,30,33,28,30,32,28,0,1,0
155399,96,95,96,30,32,29,30,32,28,0,1,0
155414,68,67,68,22,24,19,21,24,19,0,0,0
155423,44,50,34,83,78,96,58,57,60,25,20,37
155496,48,46,50,75,73,77,68,67,69,7,7,8
155511,85,83,89,36,35,40,36,35,40,0,0,0
155520,65,65,64,29,35,23,29,35,23,0,0,0
155627,67,77,73,17,16,18,15,15,17,1,2,1
155681,94,91,95,39,49,33,39,48,32,1,1,0
155812,81,81,81,17,12,26,16,12,26,0,0,0
155900,69,70,68,22,23,20,22,23,20,0,0,0
155937,47,48,46,17,14,36,17,14,36,0,0,0
155973,54,51,67,25,22,32,25,22,32,0,0,0
156125,91,92,90,27,30,26,26,28,25,1,1,1
156189,36,38,35,27,32,23,27,32,23,0,0,0
156213,77,70,82,30,34,28,30,34,27,1,0,1
156286,86,86,85,16,17,16,16,17,16,0,0,0
156295,33,32,33,59,58,59,59,58,59,0,0,0
156356,53,47,58,12,15,11,12,15,11,0,0,0
156408,68,59,78,22,23,21,22,23,21,0,0,0
156541,85,82,87,33,37,30,33,37,30,0,0,0
156620,98,98,99,35,38,33,33,36,31,2,2,2
156745,75,71,77,23,29,20,23,29,20,0,0,0
157030,48,47,50,52,56,45,48,50,45,4,6,0
157058,65,63,66,19,22,17,16,18,14,3,4,3
157076,67,64,74,22,22,23,22,22,23,0,0,0
157085,94,92,95,23,24,22,23,24,22,1,1,0
157100,58,55,68,31,30,33,31,30,33,0,0,0
157289,75,75,75,23,25,22,21,22,20,2,2,2
157377,78,78,77,30,28,32,30,28,31,1,1,0
157386,90,89,90,19,22,18,19,22,18,0,0,0
157401,85,83,86,18,21,16,18,20,16,0,0,0
157447,80,82,79,32,36,29,31,35,28,1,1,1
157748,80,82,78,68,71,63,55,55,56,13,16,8
157757,90,93,88,17,17,16,17,17,16,0,0,0
157809,96,96,97,15,17,13,15,17,13,0,0,0
157818,92,90,93,19,23,17,19,23,17,0,0,0
157863,56,53,59,34,45,26,34,45,26,0,0,0
157951,98,97,99,40,41,39,39,40,38,1,1,0
158477,63,59,66,24,28,22,24,28,22,0,0,0
158802,55,48,58,10,10,10,10,10,9,0,0,0
159009,72,73,72,31,42,27,29,40,25,2,2,2
159382,58,89,52,22,34,18,20,31,16,2,3,2
159391,71,69,72,27,30,26,27,30,26,0,0,0
159416,91,90,91,38,46,34,37,45,33,1,1,1
159568,76,70,84,36,43,29,36,43,29,0,0,0
159647,66,69,63,37,43,31,37,43,31,0,0,0
159656,78,76,79,16,18,15,16,18,15,0,0,0
159717,69,71,67,57,62,54,56,60,52,1,1,1
159939,81,81,80,25,32,21,24,31,20,1,2,1
159966,97,96,98,45,46,45,45,46,45,0,1,0
159993,70,68,71,33,34,33,32,33,32,1,1,1
160038,96,96,96,36,37,36,35,36,34,2,1,2
160065,75,71,76,6,5,7,5,5,6,1,0,1
160074,55,60,54,36,40,36,31,37,31,5,3,5
160612,99,99,99,40,44,38,28,33,25,12,12,12
160621,59,69,55,32,37,30,31,35,29,1,2,1
160630,79,79,79,11,12,10,9,11,8,2,2,2
