UNITID,FTE12MN,UNDUP,UNDUPUG,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON 
137120,828,1919,1919,641,0,951,327,0,1003,608,0,393,2,916,33,0,558,325,0,1,9,25,0,61,2,0,1,36,0,1,9,25,0,61,2,0,1,36,.,.,.,.,.,.,.,.,.,.,0,0,100,0,0,100,.,.,.
137209,11006,22789,22789,2768,1622,13683,4716,0,8303,1780,535,4589,1399,14486,988,1087,9094,3317,0,4,16,27,0,45,4,2,2,58,0,4,16,27,0,45,4,2,2,58,.,.,.,.,.,.,.,.,.,.,71,13,16,71,13,16,.,.,.
137245,1347,2565,2565,1125,0,1068,372,0,2565,1125,0,1068,372,0,0,0,0,0,0,2,52,26,0,15,2,0,2,48,0,2,52,26,0,15,2,0,2,48,.,.,.,.,.,.,.,.,.,.,12,5,83,12,5,83,.,.,.
137272,70,84,62,12,0,47,3,22,62,12,0,47,3,0,0,0,0,0,0,2,5,30,0,48,0,0,15,0,0,3,6,29,0,45,0,0,16,0,0,0,0,32,0,55,0,0,14,0,12,0,88,0,0,100,45,0,55
137281,4416,8889,8889,973,288,4310,3318,0,2773,564,88,1478,643,6116,409,200,2832,2675,0,2,10,12,0,67,5,3,0,64,0,2,10,12,0,67,5,3,0,64,.,.,.,.,.,.,.,.,.,.,74,7,19,74,7,19,.,.,.
137315,1967,3809,3809,647,25,2189,948,0,1479,329,8,889,253,2330,318,17,1300,695,0,2,10,37,0,43,2,3,1,65,0,2,10,37,0,43,2,3,1,65,.,.,.,.,.,.,.,.,.,.,42,27,31,42,27,31,.,.,.
137351,44444,59918,45412,6095,6093,30344,2880,14506,31946,5847,4236,21323,540,13466,248,1857,9021,2340,0,7,9,20,0,48,4,4,9,58,0,7,9,22,0,48,4,4,6,57,0,6,8,14,0,49,2,4,16,61,39,56,5,41,57,2,36,53,12
137476,3739,6906,4237,541,495,869,2332,2669,1475,520,300,647,8,2762,21,195,222,2324,0,1,21,49,0,13,2,8,5,58,0,1,18,54,0,13,2,7,5,54,0,1,26,42,0,15,2,8,5,65,24,19,57,11,26,63,44,9,47
137546,4688,4736,3276,906,137,2193,40,1460,3184,903,133,2143,5,92,3,4,50,35,0,2,9,18,0,59,5,2,5,57,0,2,10,19,0,55,6,2,6,57,1,3,7,15,0,68,3,2,2,58,13,84,2,6,93,1,30,65,5
137564,6614,10958,9351,1281,504,4442,3124,1607,5430,1214,438,3703,75,3921,67,66,739,3049,0,2,13,21,0,55,3,2,3,59,1,2,12,22,0,55,4,2,2,59,0,2,16,14,0,55,2,2,9,63,36,26,38,30,28,42,71,14,16
