unitid,institution_name,year,enrollment_headcount_total,enrollment_headcount_undergrad,enrollment_headcount_graduate,pct_international_all,pct_international_undergraduate,pct_international_graduate,staff_headcount_total,staff_headcount_instructional,revenue_total,expenses_total,loss_amount,net_tuition_per_fte,state_funding,federal_grants_contracts_pell_adjusted,endowment_value,discount_rate,liquidity,leverage,cut_records,cut_types,latest_cut_announcement_date,financial_warning_count
196130,SUNY Buffalo State,2020,9955,8622,1333,0.01496735308890005,0.01449779633495708,0.01800450112528132,1576,702,210365807,236731823,-26366016,,100662323,4004396,54159907,0.46998986094020817,0.06084979890661618,0.8930621049901826,2,department_closure,2025-05-25,5
196130,SUNY Buffalo State,2021,9509,8164,1345,0.0117783152802608,0.01077902988731014,0.01784386617100371,1535,672,222721693,240189856,-17468163,4702.201212789416,103037434,4178814,77072635,0.4419325748557176,0.06430282782578892,0.9291322274726448,2,department_closure,2025-05-25,5
196130,SUNY Buffalo State University,2022,8231,6904,1327,0.00996233750455594,0.00955967555040556,0.01205727204220045,1461,622,224754905,229005533,-4250628,4250.503570269393,104634841,1266841,78027775,0.4963882344109875,0.07643406907875869,0.8745969222102468,2,department_closure,2025-05-25,5
196130,SUNY Buffalo State University,2023,7473,6171,1302,0.0097684999330924591,0.00842651110030789,0.01612903225806451,1388,567,218467652,225940974,-7473322,4664.179565451607,127452904,2954458,82449469,0.4553971966815035,0.04263467771050516,0.9170348429897216,2,department_closure,2025-05-25,5
196130,SUNY Buffalo State University,2024,8083,6899,1184,0.01620685389088209,0.01507464849978257,0.02280405405405405,1319,558,227747698,238274929,-10527231,4263.277680754453,134820637,4884264,96391605,0.5199231799304973,0.00556501850291387,0.9260087140452352,2,department_closure,2025-05-25,5
199582,Saint Augustine's University,2014,1316,1316,,0.02051671732522796,0.02051671732522796,,301,139,35686904,35686904,0,10881.152582159624,0,6026120,18575636,0.221272886465941,0.3962896490859724,0.4697451032782715,1,staff_layoff,2024-11-25,1
199582,Saint Augustine's University,2015,1075,1075,,0.01674418604651163,0.01674418604651163,,257,94,26080487,26080487,0,10911.100492610838,0,5194686,18021788,0.2039951425512297,0.36107245684208705,0.5039723771852745,1,staff_layoff,2024-11-25,1
199582,Saint Augustine's University,2016,905,905,,0.01325966850828729,0.01325966850828729,,242,91,26087974,26087974,0,13414.389168765743,0,5597808,17283710,0.1840514024193727,0.32095264457974304,0.5418101717093723,1,staff_layoff,2024-11-25,1
199582,Saint Augustine's University,2017,1032,1032,,0.01356589147286821,0.01356589147286821,,268,101,28584420,28584420,0,11710.499452354874,0,4117609,15731770,0.2581454785303411,0.31120798942599315,0.5494537738427188,1,staff_layoff,2024-11-25,1
199582,Saint Augustine's University,2018,1040,1040,,0.02019230769230769,0.02019230769230769,,238,108,30449609,30449609,0,14048.068057080132,0,285366,18384953,0.23576116015724305,0.3194165215536186,0.5415827660865604,1,staff_layoff,2024-11-25,1
199582,Saint Augustine's University,2019,841,841,,0.04399524375743163,0.04399524375743163,,263,122,32744580,32744580,0,14193.553219448097,0,2164297,20555159,0.28393202040761395,0.35773759787471754,0.5163286593295544,1,staff_layoff,2024-11-25,1
199582,Saint Augustine's University,2020,1108,1108,,0.02888086642599278,0.02888086642599278,,295,123,27323102,27323102,0,,0,4108630,20117082,0.26945804837146303,0.3813905902207146,0.4931404530617816,1,staff_layoff,2024-11-25,1
199582,Saint Augustine's University,2021,1180,1180,,0.02033898305084745,0.02033898305084745,,292,115,32895036,32895036,0,982.2105263157896,0,10449424,26662176,0.783886796928778,0.3885027945438493,0.38634559973291377,1,staff_layoff,2024-11-25,1
199582,Saint Augustine's University,2022,1334,1300,34,0.03073463268365817,0.03076923076923077,0.02941176470588235,293,136,32510428,32510428,0,1000.0794520547944,0,14015500,26662176,0.7933820648435295,0.3885027914884984,0.3863456011564262,1,staff_layoff,2024-11-25,1
199582,Saint Augustine's University,2023,1251,1221,30,0.03277378097521982,0.03357903357903358,0,285,119,24600883,24600883,0,-2108.7474645030425,295563,14821002,791258,0,0.2066033050304998,0.748438422693238,1,staff_layoff,2024-11-25,1
199582,Saint Augustine's University,2024,975,960,15,0.05743589743589743,0.05833333333333333,0,224,98,23146843,23146843,0,7623.891076115486,0,6676520,13607529,0,0.34346471832039355,0.5547116724416108,1,staff_layoff,2024-11-25,1
174783,Saint Cloud State University,2014,19624,17266,2358,0.05855075417855687,0.04830302328275223,0.133587786259542,1547,719,193332000,,,5055.103215724977,58772000,0,18365000,0.31639473713478583,0.04216757640715122,0.4229768402908223,1,department_closure,2024-05-13,5
174783,Saint Cloud State University,2015,19186,16759,2427,0.06515167309496508,0.05262843845098156,0.15162752369180058,1442,677,194938000,,,5108.519793459553,61193000,0,18645000,0.32151878478929263,-0.1036774816418478,0.5556361721424183,1,department_closure,2024-05-13,5
174783,Saint Cloud State University,2016,18857,16344,2513,0.07620512276608156,0.05934899657366618,0.18583366494230005,1362,662,198173000,197690000,483000,5319.268271636897,63939000,0,18999000,0.3165212377900724,-0.08609978112291869,0.4906535218480786,1,department_closure,2024-05-13,5
174783,Saint Cloud State University,2017,18441,15955,2486,0.08904072447264248,0.07214039486054528,0.19750603378921963,1350,650,198933000,220807000,-21874000,5582.324670701317,62979000,0,19812000,0.3047926226419277,-0.1365681832288499,0.8932034014027683,1,department_closure,2024-05-13,5
174783,Saint Cloud State University,2018,17453,14944,2509,0.09322179567982582,0.07922912205567452,0.17656436827421285,1319,609,200595000,212631000,-12036000,5668.389478541762,66161000,0,30369000,0.31341598381272845,-0.15707880631832952,0.7085903484708692,1,department_closure,2024-05-13,5
174783,Saint Cloud State University,2019,16326,13967,2359,0.09414430969006492,0.08061860098804324,0.17422636710470538,1321,612,196430000,175466000,20964000,5708.996267923787,63932000,0,31305000,0.32649348843676135,-0.07324889503777073,0.4353214491227641,1,department_closure,2024-05-13,5
174783,Saint Cloud State University,2020,15326,13024,2302,0.08997781547696725,0.07555282555282555,0.17158992180712423,1240,572,193704000,202102000,-8398000,,63523000,0,33900000,0.2999169405221913,-0.0852663250886789,0.4273249573027515,1,department_closure,2024-05-13,5
174783,Saint Cloud State University,2021,14119,11882,2237,0.08619590622565337,0.06909611176569601,0.17702279839070184,1236,570,176189000,187788000,-11599000,6096.444227959084,61265000,0,44122000,0.31957922205006933,-0.0989786546416314,0.423509588492428,1,department_closure,2024-05-13,5
174783,Saint Cloud State University,2022,13144,10692,2452,0.10445830797321971,0.07893752338196783,0.21574225122349103,1132,524,188861000,176060000,12801000,6920.984981734542,60478000,0,40550000,0.3062589001152777,-0.02848400881717521,0.35534824552104316,1,department_closure,2024-05-13,5
174783,Saint Cloud State University,2023,12711,10199,2512,0.11368106364566125,0.0790273556231003,0.25437898089171973,1116,499,161822000,176792000,-14970000,7068.17855604995,57960000,0,42366000,0.30546387972130545,-0.06803029159433416,0.4413876099663706,1,department_closure,2024-05-13,5
174783,Saint Cloud State University,2024,12618,9922,2696,0.12276113488666984,0.08566821205402136,0.25927299703264095,1022,463,180474000,185315000,-4841000,7229.692685038234,73315000,0,47158000,0.31142472379486613,-0.05623225129975097,0.43735418760103106,1,department_closure,2024-05-13,5
179159,Saint Louis University,2014,20106,14692,5414,0.05570476474684174,0.05166076776476994,0.06667898042113041,4971,2027,834279097,834279097,0,22330.671821456817,0,37329979,1076959263,0.3050002025580516,0.5689832921977104,0.22317977758450505,1,staff_layoff,2024-10-21,2
179159,Saint Louis University,2015,19604,14349,5255,0.05560089777596409,0.04989894766185797,0.07117031398667935,5045,2069,713162088,713162088,0,22901.673478614703,0,33687932,1093348321,0.3104925948373542,0.5703127571585421,0.21856029096416135,1,staff_layoff,2024-10-21,2
179159,Saint Louis University,2016,19692,14458,5234,0.05073126142595978,0.04080785724166552,0.07814291173098968,4944,1881,677818071,677818071,0,23159.402630852728,0,32612205,1053035494,0.31414508521843426,0.5239402500240802,0.27669839810329977,1,staff_layoff,2024-10-21,2
179159,Saint Louis University,2017,19729,14373,5356,0.04967307009985301,0.03854449314687261,0.07953696788648244,5317,1681,896543431,896543431,0,23332.72733118971,0,34347404,1149590385,0.33089659606450733,0.5145987692724612,0.2860890672463134,1,staff_layoff,2024-10-21,2
