cut_id,program_name,cut_type,announcement_date,institution_name_collegecuts,institution_city,institution_state_abbr,institution_state_full,institution_control,institution_unitid,matched_unitid,match_method,source_url,source_publication
3bfe7a23-d5d9-47ba-9441-2021c23700a2,Institution closure,institution_closure,2024-04-25,University of Saint Katherine,San Marcos,CA,California,Private non-profit,,,unmatched,https://www.insidehighered.com/news/quick-takes/2024/04/29/university-saint-katherine-announces-closure,Inside Higher Ed
a5f1ca39-6257-454a-83c3-608a556d8540,China Scholarship Council Partnership,program_suspension,2025-07-10,"University of Tennessee, Knoxville",Knoxville,TN,Tennessee,Public,,,unmatched,https://www.wbir.com/video/news/local/downtown-ut/ut-ends-agreement-with-china-scholarship-council-after-receiving-letter-from-trump-administration/51-a6f49111-9d1d-46ac-af88-2c552de3b924,WBIR
786bd5e3-f1ed-417e-b486-c726e9e1a99b,Institution-wide staff reduction,staff_layoff,2025-08-21,University of Texas HSCH,Houston,TX,Texas,Public,,,unmatched,https://www.houstonchronicle.com/health/article/uthealth-houston-layoffs-freeze-20826193.php,Houston Chronicle
44c7b211-adf7-4d65-8db7-ef0bdced7625,"Diversity, Equity, and Inclusion (DEI) offices and Division of Campus and Community Engagement",staff_layoff,2024-04-02,University of Texas at Austin,Austin,TX,Texas,Public,,,unmatched,https://www.texastribune.org/2024/04/02/university-texas-austin-firings-dei-ban/,The Texas Tribune
aa550c6d-940b-47dc-99df-abc88e5ccf0b,Track & Field and Cross-Country,department_closure,2025-07-30,University of Texas at Dallas,Richardson,TX,Texas,Public,,,unmatched,https://www.dallasnews.com/sports/other-schools/2025/07/30/ut-dallas-cuts-track-and-cross-country-programs-citing-budget-and-facility-constraints/,The Dallas Morning News
f8719ed6-0645-472f-a8f2-f5f74512ee50,Office of Campus Resources and Support,staff_layoff,2024-04-09,University of Texas at Dallas,Richardson,TX,Texas,Public,,,unmatched,https://www.keranews.org/education/2024-04-09/ut-dallas-to-eliminate-20-jobs-because-of-dei-ban,KERA News
91cc2dc7-a197-4e45-bb9c-57de383064e4,Public Defender Project,program_suspension,2025-08-22,University of Wisconsin Law School,Madison,WI,Wisconsin,Public,,,unmatched,https://www.instagram.com/p/DNqcDOotzmf/,Instagram
3b5bee2b-671c-419f-be48-8011e656243e,Campus closure,campus_closure,2025-10-17,University of Wisconsin-Platteville Baraboo Sauk County,Baraboo,WI,Wisconsin,Public,,,unmatched,https://www.wpr.org/news/uw-platteville-baraboo-sauk-county-campus-closing,Wisconsin Public Radio
be65990e-7dbe-4a2d-88c1-33d56d72c664,Institution closure,institution_closure,2024-05-31,University of the Arts,Philadelphia,PA,Pennsylvania,Private non-profit,215105,215105,collegecuts_institutions.unitid,https://www.insidehighered.com/news/business/financial-health/2024/06/02/university-arts-announces-sudden-closure,Inside Higher Ed
2079c6a1-1716-407e-9840-ee96c0cc0f83,Strategic Reinvestment: multiple degrees & certificates,department_closure,2025-04-29,Utah State University,Logan,UT,Utah,Public,230728,230728,collegecuts_institutions.unitid,https://www.usu.edu/president/reinvestment/programs.cfm,Utah State University
5ddba585-9806-4417-b9b6-9908efcd8605,Master’s in Nursing Education,program_suspension,2025-06-10,Utah Valley University,Orem,UT,Utah,Public,230737,230737,collegecuts_institutions.unitid,https://www.sltrib.com/news/education/2025/06/10/utah-university-budget-cuts-what/,The Salt Lake Tribune
5cd1747c-d48e-4a23-91e0-7c94f99ccb5a,17 low-enrollment majors (multiple),department_closure,2025-04-22,Weber State University,Ogden,UT,Utah,Public,230782,230782,collegecuts_institutions.unitid,https://www.kuer.org/education/2025-04-22/weber-state-is-latest-school-cutting-majors-in-response-to-utahs-higher-ed-mandate,KUER 90.1
4b8c20c3-cabf-45da-a2c3-4164dcb4bb1d,Institution closure,institution_closure,2024-04-29,Wells College,Aurora,NY,New York,Private non-profit,,,unmatched,https://www.insidehighered.com/news/business/financial-health/2024/04/30/wells-college-announces-closure,Inside Higher Ed
c81ed45f-a114-4ff9-8ea5-6bcd2fdc86b6,Staff Layoffs,staff_layoff,2025-12-26,Western Wyoming Community College,Rock Springs,WY,Wyoming,Public,,,unmatched,https://www.wyomingnews.com/rocketminer/western-president-kirk-young-explains-where-rifs-occurred-reasoning-behind-decisions/article_dad6fbe4-fb28-42fe-8ebc-a79a8b7faea3.html,Rocket Miner
93e87640-48dc-4869-af39-3af51235d1e8,Institution-wide staff reductions and graduate program restructuring at the College of Environmental Science and Forestry,staff_layoff,2025-09-18,,,,,,,,unmatched,https://uupinfo.org/communications/releases/250904.php,United University Professions
