matched_unitid,institution_name_collegecuts,institution_state_full,in_financial_tracker,match_method,institution_control,institution_city,institution_url,tracker_institution_name,tracker_control_label,cut_records,cut_types,latest_cut_announcement_date,first_cut_announcement_date,total_students_affected_known,total_faculty_affected_known,staff_layoff_records,program_suspension_records,department_closure_records,campus_closure_records,institution_closure_records,teach_out_records,financial_warning_count,tracker_enrollment_pct_change_5yr,tracker_enrollment_decline_last_3_of_5,tracker_revenue_pct_change_5yr,tracker_revenue_decreased_5yr,tracker_revenue_10pct_drop_last_3_of_5,tracker_ended_2024_at_loss,tracker_losses_last_3_of_5,tracker_loss_years_last_10,tracker_net_tuition_per_fte_change_5yr,tracker_staff_total_headcount_pct_change_5yr,tracker_pct_international_all,tracker_international_enrollment_pct_change_5yr,tracker_federal_grants_contracts_pell_adjusted_pct_core_revenue,tracker_state_funding_pct_core_revenue,tracker_tuition_dependence_pct,tracker_endowment_value,tracker_endowment_pct_change_5yr,tracker_discount_pct_change_5yr,tracker_liquidity_percentile_private_nfp,tracker_leverage_percentile_private_nfp
200800,University of Akron,Ohio,TRUE,collegecuts_institutions.unitid,Public,Akron,https://www.uakron.edu,University of Akron Main Campus,Public,1,department_closure,2025-06-15,2025-06-15,,,0,0,1,0,0,0,5,-28.5277516462841,Yes,-34.89687543634395,Yes,No,Yes,Yes,4,-18.108693209086617,-18.284504059301092,0.04139519578808819,-41.10486891385768,0.03749687629180633,0.08552332997886926,32.01691833535669,351635016,21.518019085627657,,,
232609,University of Lynchburg,Virginia,TRUE,collegecuts_institutions.unitid,Private non-profit,Lynchburg,https://www.lynchburg.edu,University of Lynchburg,Private not-for-profit,1,program_suspension,2024-05-31,2024-05-31,,40,0,1,0,0,0,0,5,-7.736554501006615,Yes,-21.9188844095586,Yes,No,Yes,Yes,5,-12.660435841939409,-25.26178010471204,0.07761845386533665,336.84210526315786,0.01510549023369252,0,55.48630139587342,140631750,1.466823030898185,,,
152600,Valparaiso University,Indiana,TRUE,collegecuts_institutions.unitid,Private non-profit,Valparaiso,https://www.valpo.edu/,Valparaiso University,Private not-for-profit,1,program_suspension,2024-03-04,2024-03-04,,,0,1,0,0,0,0,5,-25.96908442330559,Yes,-34.0638703687186,Yes,No,Yes,Yes,7,-20.350137350991243,-18.201997780244177,0.13716672020558943,33.021806853582554,0.05653966263829392,0,44.43036505387785,311933000,-1.8592130245381144,,,
238193,Alverno College,Wisconsin,TRUE,collegecuts_institutions.unitid,Private non-profit,Milwaukee,https://www.alverno.edu,Alverno College,Private not-for-profit,1,department_closure,2024-06-17,2024-06-17,,37,0,0,1,0,0,0,4,5.042436345481778,Yes,-32.14921916742573,Yes,No,Yes,Yes,7,-47.303702466980674,-31.27853881278539,0.01948669201520912,41.37931034482759,0.04860244325096254,0,61.1892482570927,36216702,-6.765037032589204,,,
110413,California Lutheran University,California,TRUE,normalized_name_state_fallback,Private non-profit,Thousand Oaks,callutheran.edu,California Lutheran University,Private not-for-profit,1,program_suspension,2025-09-03,2025-09-03,,,0,1,0,0,0,0,4,-23.71234207968902,Yes,-21.326061162404184,Yes,No,Yes,No,2,-9.670014317432894,-11.422413793103448,0.09579617834394905,-28.6527514231499,0.04900876983108159,0,59.33416719381231,144984195,10.268797135232242,,,
203845,Marietta College,Ohio,TRUE,collegecuts_institutions.unitid,Private non-profit,Marietta,https://www.marietta.edu,Marietta College,Private not-for-profit,1,staff_layoff,2024-02-13,2024-02-13,,22,1,0,0,0,0,0,4,-1.7673048600883652,No,-14.566843563746634,Yes,No,Yes,Yes,5,-34.848769265754996,-22.327790973871732,0.01874062968515742,-83.55263157894737,0.02146379236496312,0,30.782529669426616,91722343,-15.503060858013905,,,
176053,Mississippi College,Mississippi,TRUE,collegecuts_institutions.unitid,Private non-profit,Clinton,https://www.mc.edu,Mississippi College,Private not-for-profit,1,program_suspension,2024-11-18,2024-11-18,,,0,1,0,0,0,0,4,-18.25972313777192,Yes,-8.04569490141565,Yes,No,No,Yes,3,-26.15494779058699,5.67741935483871,0.03931451612903226,-18.410041841004183,0.02774956973636862,0,40.53350916049568,114430381,5.864087919952024,,,
231095,Sterling College,Vermont,TRUE,normalized_name_state_fallback,Private non-profit,Craftsbury Common,https://www.sterlingcollege.edu,Sterling College,Private not-for-profit,1,institution_closure,2025-11-12,2025-11-12,,,0,0,0,0,1,0,4,-54.22222222222223,Yes,-24.194481217894808,Yes,Yes,No,No,2,-24.749343615583168,-12.5,0.04854368932038835,-16.666666666666664,0,0,12.37402853850228,1155851,-9.446899883572325,,,
483036,Texas A&M University,Texas,TRUE,collegecuts_institutions.unitid,Public,College Station,www.tamu.edu,Texas A&M University-Central Texas,Public,1,program_suspension,2024-11-12,2024-11-12,,,0,1,0,0,0,0,4,-5.3528708133971294,Yes,-29.50285089669374,Yes,No,No,Yes,6,-14.348834878283505,13.066666666666665,0.00473933649289099,150,0.00296877090024021,0.0605119148444477,21.578996757958983,3865590,199.57320212957464,,,
149505,Trinity Christian College,Illinois,TRUE,normalized_name_state_fallback,Private non-profit,Palos Heights,https://www.trnty.edu,Trinity Christian College,Private not-for-profit,1,institution_closure,2025-11-06,2025-11-06,,,0,0,0,0,1,0,4,-37.199725463280714,Yes,-6.461392343780497,Yes,No,No,Yes,6,-19.538254394234524,-16.05351170568562,0.07759562841530054,65.11627906976744,0.01013752010270973,0,36.62155115645467,11047055,-27.88670751522797,,,
148584,University of St. Francis,Illinois,TRUE,normalized_name_state_fallback,Private non-profit,Joliet,https://www.stfrancis.edu,University of St Francis,Private not-for-profit,1,program_suspension,2025-11-07,2025-11-07,,36,0,1,0,0,0,0,4,-22.75306061510899,Yes,-24.371125355628575,Yes,No,Yes,No,2,-19.99678979892806,-23.4375,0.0102435253189022,-48.54368932038835,0.03212066017144407,0,70.45275956027707,31326661,17.034762962747724,,,
240453,University of Wisconsin,Wisconsin,TRUE,collegecuts_institutions.unitid,Public,Waukesha,https://uwm.edu/generalstudies/,University of Wisconsin-Milwaukee,Public,1,campus_closure,2024-03-11,2024-03-11,,100,0,0,0,1,0,0,4,-16.570481140197046,Yes,-9.35384541451088,Yes,No,Yes,No,6,-17.560288356544035,-9.209475645461804,0.06840938622640068,5.729474305965741,0.02946972644710963,0.01841026534688858,27.90169085332497,260363469,19.596458643513117,,,
166027,Harvard University,Massachusetts,TRUE,normalized_name_state_fallback,Private non-profit,Cambridge,https://www.harvard.edu,Harvard University,Private not-for-profit,2,staff_layoff,2025-11-14,2025-10-09,38,40,2,0,0,0,0,0,3,-10.548503108104889,Yes,-0.07297201215334967,Yes,No,No,No,2,-14.997625080754617,8.65621156211562,0.26894403322860644,-2.5094102885821834,0.07595803976184899,0,12.21312675367744,53235205000,6.003149274815278,,,
183044,University of New Hampshire,New Hampshire,TRUE,collegecuts_institutions.unitid,Public,Durham,https://www.unh.edu,University of New Hampshire-Main Campus,Public,2,department_closure; staff_layoff,2025-08-08,2024-01-16,,36,1,0,1,0,0,0,3,-11.977448569543574,Yes,-2.803012824138789,Yes,No,No,No,0,-22.32108836438205,-4.174323969545812,0.03331970564186427,-44.620611551528874,0.10167627754070738,0.11597992949067036,24.64545801784468,525445726,5.160098119443242,,,
131159,American University,District of Columbia,TRUE,collegecuts_institutions.unitid,Private non-profit,Washington,https://www.american.edu,American University,Private not-for-profit,1,staff_layoff,2025-05-01,2025-05-01,,123,1,0,0,0,0,0,3,-5.5413893898874305,Yes,-3.1053482623892976,Yes,No,No,No,2,-6.897549093811117,-6.137281292059219,0.10080326573610746,-28.088304368248,0.04491001289717435,0,55.29896927904719,1032022000,19.30031897048571,,,
150136,Ball State University,Indiana,TRUE,collegecuts_institutions.unitid,Public,Muncie,https://www.bsu.edu,Ball State University,Public,1,program_suspension,2025-07-05,2025-07-05,,,0,1,0,0,0,0,3,-6.1946902654867255,Yes,-14.337227240849964,Yes,No,No,No,0,-16.830478514033814,-6.972327726532828,0.0147643624672138,-25.902335456475583,0.01188948517623436,0.04666313651102995,27.80294993493337,260813964,-0.23805807446060456,,,
202134,Cleveland State University,Ohio,TRUE,normalized_name_state_fallback,Public,Cleveland,https://www.csuohio.edu,Cleveland State University,Public,1,program_suspension,2024-05-01,2024-05-01,,,0,1,0,0,0,0,3,-12.06470928094963,Yes,-8.398222019150905,Yes,No,No,No,4,2.665691585576712,4.91869918699187,0.1644367459084936,97.34767025089606,0.04024396792092061,0.06041989272253644,41.00616907696031,117821388,1192.8944956560176,,,
144740,DePaul University,Illinois,TRUE,normalized_name_state_fallback,Private non-profit,Chicago,https://www.depaul.edu/,DePaul University,Private not-for-profit,1,staff_layoff,2025-12-15,2025-12-15,,114,1,0,0,0,0,0,3,-8.562553796639346,Yes,-5.2740136193508205,Yes,No,No,No,1,-21.34681555051969,-5.553956834532374,0.11509024679736422,75.96996245306633,0.02613024346319169,0,63.93551995412128,1025211000,19.97215669302306,,,
