UNITID,GRRTTOT,GRRTM,GRRTW,GRRTAN,GRRTAP,GRRTAS,GRRTNH,GRRTBK,GRRTHS,GRRTWH,GRRT2M,GRRTUN,GRRTNR,TRRTTOT,GBA4RTT,GBA5RTT,GBA6RTT,GBA6RTM,GBA6RTW,GBA6RTAN,GBA6RTAP,GBA6RTAS,GBA6RTNH,GBA6RTBK,GBA6RTHS,GBA6RTWH,GBA6RT2M,GBA6RTUN,GBA6RTNR,GBATRRT,PGGRRTT,PGBA6RT,SSGRRTT,SSBA6RT,NRGRRTT,NRBA6RT,BAGR100,BAGR150,BAGR200,L4GR100,L4GR150,L4GR200        
101569,23,24,22,33,0,0,.,20,50,33,25,17,0,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,.,.,.,33,.,.,.,.,14,25,29
101587,38,36,40,0,0,.,0,35,20,41,64,42,25,36,29,29,35,34,37,0,0,.,0,33,20,37,60,44,25,36,37,34,44,40,38,34,32,42,49,.,.,.
101602,34,34,33,0,.,.,.,36,23,32,47,.,.,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,.,.,.,43,.,.,.,.,25,41,60
101648,27,23,37,33,13,17,0,25,10,29,33,.,.,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,.,29,.,28,.,.,.,.,33,35,35
101675,26,24,30,.,0,0,.,27,40,50,0,50,.,.,15,24,26,24,30,.,0,0,.,27,40,50,0,50,.,.,25,25,42,42,36,36,14,24,25,.,.,.
101693,46,38,51,0,0,0,.,48,33,97,13,11,33,.,42,46,46,38,51,0,0,0,.,48,33,97,13,11,33,.,53,53,41,41,.,.,32,48,50,.,.,.
101709,55,44,60,0,50,50,.,56,64,55,50,40,56,23,40,51,55,44,60,0,50,50,.,56,64,55,50,40,56,23,47,47,51,51,61,61,35,54,55,.,.,.
101736,27,31,24,14,0,0,.,14,35,29,23,8,25,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,21,.,39,.,39,.,.,.,.,15,26,33
101879,52,44,58,70,67,67,.,31,45,56,51,64,50,24,30,48,52,44,58,70,67,67,.,31,45,56,51,64,50,24,39,39,50,50,64,64,27,50,53,.,.,.
101897,45,43,46,70,80,100,50,40,52,43,28,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,41,.,26,.,57,.,.,.,.,36,50,56
101912,47,42,50,.,100,.,100,48,36,0,42,0,54,.,34,42,46,41,50,.,100,.,100,47,38,0,36,0,54,.,35,35,55,55,67,66,27,50,51,.,.,.
101994,44,48,37,.,.,.,.,38,0,56,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,.,.,.,50,.,.,.,.,19,27,31
102030,22,28,17,40,14,14,.,23,8,20,10,0,0,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,.,.,.,48,.,.,.,.,21,28,29
102049,78,75,79,.,56,56,.,70,69,78,89,92,64,.,69,77,78,75,79,.,56,56,.,70,69,78,89,92,64,.,68,68,77,77,80,80,66,77,79,.,.,.
102067,23,26,20,40,25,25,.,12,18,29,31,16,17,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,27,.,.,.,17,.,.,.,.,16,27,32
102076,40,38,41,67,83,83,.,33,41,41,32,23,100,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,43,.,30,.,35,.,.,.,.,27,46,49
102094,48,40,54,53,58,58,.,45,38,53,48,52,14,30,32,44,47,40,53,53,58,58,.,45,37,53,48,52,14,30,45,44,49,49,50,49,26,45,47,.,.,.
102234,62,60,62,.,44,43,50,52,77,66,39,55,43,30,55,59,62,60,62,.,44,43,50,52,77,66,39,55,43,30,45,45,61,61,74,74,46,57,58,.,.,.
102270,25,8,37,.,0,0,.,22,.,71,.,.,.,18,7,25,25,8,37,.,0,0,.,22,.,71,.,.,.,18,22,22,100,100,0,0,10,21,21,.,.,.
102298,35,25,45,.,0,.,0,32,58,0,29,67,56,.,33,37,37,27,46,.,0,.,0,33,64,0,29,67,56,.,34,34,42,42,36,42,12,26,27,.,.,.
102313,20,23,17,0,0,0,.,18,36,25,0,.,.,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,20,.,.,.,20,.,.,.,.,9,23,30
102368,46,43,48,17,46,55,0,37,30,54,34,53,37,26,24,39,45,42,47,17,46,55,0,36,30,53,33,49,37,26,38,37,45,45,53,53,27,50,52,.,.,.
102377,67,59,71,.,50,50,.,74,80,50,.,22,.,.,33,63,67,59,71,.,50,50,.,74,80,50,.,22,.,.,97,97,92,92,46,46,28,52,52,.,.,.
102429,36,35,37,0,33,33,.,23,28,38,33,13,.,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,.,.,.,45,.,.,.,.,23,37,40
102553,30,27,33,8,33,34,25,22,30,34,20,29,58,19,14,25,31,29,32,7,34,35,20,24,32,34,23,41,59,19,23,25,27,26,34,34,13,31,36,.,.,.
102580,50,50,50,.,.,.,.,.,100,33,.,.,.,50,50,100,100,100,100,.,.,.,.,.,100,100,.,.,.,.,50,100,.,.,.,.,.,.,.,.,.,.
102614,39,38,39,22,50,57,33,27,30,48,33,29,67,20,25,38,41,39,43,11,43,60,0,17,31,51,40,28,71,21,27,25,30,30,44,47,22,43,47,.,.,.
102632,25,26,24,9,20,25,0,.,40,31,11,21,.,23,14,23,26,30,23,17,20,25,0,.,0,28,25,31,.,29,12,11,30,33,32,30,7,14,18,.,.,.
102669,36,31,39,75,50,100,0,0,67,32,20,0,.,25,3,3,3,8,0,0,0,0,0,0,33,0,0,0,.,25,15,8,0,0,92,0,50,56,56,.,.,.
102711,86,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,.,100,.,76,.,.,.,.,91,95,95
102845,55,51,56,41,41,67,40,55,59,61,49,51,.,0,40,40,40,36,100,.,0,.,0,.,.,75,.,0,.,.,54,27,70,50,47,100,.,.,.,.,.,.
103501,70,61,72,72,73,73,71,54,63,77,69,83,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81,.,69,.,47,.,.,.,.,74,74,74
103741,57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,.,100,.,50,.,.,.,.,0,61,61
103893,53,43,54,50,60,60,.,32,57,51,33,62,80,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,.,75,.,50,.,.,.,.,52,64,67
103909,45,48,45,38,50,100,33,26,52,41,60,67,100,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,.,78,.,42,.,.,.,.,39,56,62
103927,53,43,55,0,33,50,0,44,56,54,.,.,100,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,56,.,100,.,39,.,.,.,.,59,69,73
103954,57,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,57,.,.,.,.,.,.,.,.,54,54,54
103963,53,53,58,53,67,67,67,38,49,63,55,63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,51,.,67,.,58,.,.,.,.,41,49,49
104090,57,46,60,64,75,67,100,31,65,54,100,.,.,1,63,63,63,50,67,.,.,.,.,100,0,80,.,.,.,.,61,100,57,100,29,0,26,26,29,.,.,.
104151,67,64,70,46,76,78,44,49,61,70,61,100,75,19,53,64,67,64,70,46,76,78,44,49,61,70,61,100,75,19,60,60,62,62,72,72,51,66,68,.,.,.
104160,21,15,25,0,0,.,0,0,21,23,25,9,30,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,.,33,.,25,.,.,.,.,11,23,25
104179,68,65,71,45,75,76,50,56,63,70,69,80,71,18,54,66,68,65,71,45,75,76,50,56,63,70,69,80,71,18,60,60,64,64,72,72,49,65,66,.,.,.
104346,18,15,21,21,20,17,25,15,14,18,22,10,44,15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,18,.,0,.,18,.,.,.,.,10,19,21
104391,74,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,.,100,.,25,.,.,.,.,14,56,60
104425,25,23,28,0,0,0,0,17,25,26,40,0,28,17,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,.,0,.,48,.,.,.,.,30,30,37
104443,36,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,39,.,0,.,33,.,.,.,.,4,52,52
104568,65,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,45,.,89,.,78,.,.,.,.,58,63,63
104577,49,56,40,42,33,60,0,46,56,48,54,29,57,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,14,.,.,.,62,.,.,.,.,36,42,44
104586,71,69,75,67,74,73,100,33,61,76,66,53,74,.,48,67,71,69,75,67,74,73,100,33,61,76,66,53,74,.,64,64,68,68,76,76,38,59,60,.,.,.
104708,12,10,14,11,17,16,50,9,11,14,5,13,21,18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,.,10,.,13,.,.,.,.,6,14,19
104717,45,41,48,26,55,62,36,41,43,47,46,39,.,.,37,43,45,41,48,26,55,62,36,41,43,47,46,39,.,.,40,40,43,43,53,53,39,47,48,.,.,.
105145,19,23,15,8,80,75,100,32,18,14,0,13,.,24,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,22,.,0,.,15,.,.,.,.,24,28,32
105154,13,13,13,9,15,16,11,9,10,15,6,38,19,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,.,8,.,13,.,.,.,.,8,15,19
105206,26,37,14,0,.,.,.,33,24,28,13,100,.,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,.,0,.,23,.,.,.,.,19,23,25
105215,58,57,63,50,80,67,100,50,58,58,64,42,100,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,58,.,58,.,57,.,.,.,.,44,74,75
105297,18,26,11,18,.,.,.,.,.,0,.,.,.,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,17,.,.,.,21,.,.,.,.,.,.,.
105330,59,53,63,33,67,72,39,42,55,63,55,61,50,.,47,57,59,53,63,33,67,72,39,42,55,63,55,61,50,.,52,52,54,54,66,66,42,57,58,.,.,.
105349,8,19,0,11,0,0,0,0,0,6,0,0,.,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,9,.,.,.,0,.,.,.,.,16,22,28
105428,12,11,14,9,0,0,.,9,13,16,10,7,0,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,13,.,18,.,11,.,.,.,.,7,13,17
105525,18,15,21,4,17,19,9,17,18,21,10,24,.,14,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,.,15,.,23,.,.,.,.,7,17,22
105534,69,63,70,63,93,92,100,55,70,73,61,42,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,70,.,73,.,65,.,.,.,.,.,.,.
105543,43,38,44,29,.,.,.,33,54,32,27,100,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,.,63,.,27,.,.,.,.,21,66,70
105589,55,45,64,50,.,.,.,100,50,57,50,33,100,21,49,53,55,45,64,50,.,.,.,100,50,57,50,33,100,21,50,50,83,83,52,52,32,49,49,.,.,.
105659,61,61,62,60,86,100,60,44,64,62,58,55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,.,63,.,67,.,.,.,.,56,67,69
105668,10,7,12,0,0,0,.,0,12,15,0,.,.,22,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,.,0,.,7,.,.,.,.,4,9,12
105677,95,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,67,.,100,.,100,.,.,.,.,100,100,100
105747,22,19,27,14,27,27,.,11,15,25,35,25,42,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,.,35,.,20,.,.,.,.,8,17,22
105792,17,12,21,13,33,20,100,6,18,33,0,11,0,20,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,.,20,.,19,.,.,.,.,10,16,20
105899,45,38,58,0,.,.,.,45,35,55,25,0,50,.,43,44,46,38,58,0,.,.,.,45,36,55,25,0,50,.,27,28,44,44,64,64,38,44,44,.,.,.
106041,50,51,36,43,48,38,55,35,45,53,42,55,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,.,62,.,50,.,.,.,.,22,58,61
106148,39,38,40,8,50,67,33,11,38,41,34,44,75,13,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,31,.,33,.,48,.,.,.,.,25,33,37
106245,42,38,44,33,74,74,.,31,46,42,45,67,75,25,24,35,38,36,40,33,74,74,.,29,42,38,39,67,75,25,36,33,26,21,55,51,26,40,43,.,.,.
106306,8,9,7,.,0,0,.,8,20,13,.,.,.,.,0,0,0,0,0,.,0,0,.,0,0,0,.,.,.,.,9,0,8,0,0,0,0,0,0,.,.,.
106315,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,.,0,100,100
106324,48,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,82,.,100,.,9,.,.,.,.,29,68,68
106342,38,30,51,33,60,60,.,8,54,40,.,31,0,44,31,36,38,30,51,33,60,60,.,8,54,40,.,31,0,44,39,39,36,36,39,39,37,43,43,.,.,.
106351,0,.,.,.,.,.,.,.,.,.,.,.,.,100,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,.,.,.,.,.,33,33,50
106360,63,.,.,.,.,.,.,.,.,.,.,.,.,21,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,.,100,.,50,.,.,.,.,3,47,47
106397,69,66,72,56,72,74,20,62,63,71,63,72,77,.,53,67,69,66,72,56,72,74,20,62,63,71,63,72,77,.,54,54,65,65,74,74,50,68,70,.,.,.
106412,41,36,44,0,50,50,.,41,33,45,36,.,83,25,27,37,41,36,44,0,50,50,.,40,33,45,36,.,83,25,38,37,28,28,62,61,24,39,42,.,.,.
106449,38,42,36,33,33,33,.,13,36,41,21,50,.,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,37,.,42,.,40,.,.,.,.,29,39,43
106458,53,45,59,43,64,64,.,43,50,57,31,44,29,29,38,49,51,44,57,43,64,64,.,41,48,56,24,44,29,29,45,43,51,49,61,60,37,51,54,.,.,.
106467,49,45,53,44,50,52,0,17,54,52,49,.,33,20,32,41,44,38,49,27,47,47,.,15,50,48,37,.,28,22,41,37,54,44,59,52,27,41,43,.,.,.
106485,39,37,40,.,50,50,.,24,41,47,29,.,100,14,18,25,26,19,33,.,0,0,.,12,29,33,27,.,100,16,32,20,41,25,56,41,17,26,28,.,.,.
106494,50,.,.,.,.,.,.,.,.,.,.,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,.,.,.,0,.,.,.,.,4,21,21
106546,75,100,67,.,.,.,.,.,.,75,.,.,.,25,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,100,.,100,.,.,.,.,33,33,33
106625,34,40,29,0,33,50,0,50,43,33,29,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,28,.,24,.,51,.,.,.,.,26,31,32
106704,50,47,52,56,77,77,.,41,49,54,45,0,31,23,36,47,50,46,52,56,77,77,.,41,49,53,45,0,31,23,42,41,49,48,59,58,31,45,47,.,.,.
106713,39,32,49,100,67,100,50,5,43,45,.,.,.,43,18,19,19,20,19,100,50,100,0,14,33,17,.,.,.,41,25,12,42,53,61,7,32,44,46,.,.,.
106795,46,53,41,100,0,0,.,10,64,43,45,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,.,.,.,44,.,.,.,.,31,46,47
106810,31,23,44,.,.,.,.,33,100,30,.,.,.,46,28,45,45,44,45,.,.,.,.,50,100,42,.,.,.,31,23,43,25,57,55,38,16,37,37,.,.,.
106883,41,53,32,.,50,50,.,37,80,43,25,25,0,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,24,.,.,.,98,.,.,.,.,21,41,44
106908,63,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,.,73,.,95,.,.,.,.,2,54,54
106980,26,25,26,40,40,40,.,18,41,24,.,30,50,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,.,0,.,32,.,.,.,.,14,26,33
106999,62,53,67,0,100,100,.,100,83,58,57,.,100,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,52,.,44,.,96,.,.,.,.,35,56,66
107044,69,65,73,67,88,88,.,42,69,70,66,.,82,21,53,68,69,65,73,67,88,88,.,42,69,70,66,.,82,21,57,57,66,66,77,77,50,72,72,.,.,.
107071,39,35,43,40,50,50,.,25,43,45,36,100,17,19,28,36,39,35,42,40,50,50,.,24,43,45,36,100,17,19,34,34,34,34,49,48,23,34,36,.,.,.
107080,69,64,73,100,70,70,.,81,63,67,65,62,100,.,67,69,69,64,73,100,70,70,.,81,63,67,65,62,100,.,65,65,58,58,76,76,59,65,66,.,.,.
107099,84,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,81,.,100,.,.,.,.,.,.,10,100,100
107141,71,67,74,67,50,50,.,50,68,73,46,80,80,18,64,70,71,67,74,67,50,50,.,50,68,73,46,80,80,18,62,62,69,69,77,77,56,64,67,.,.,.
107220,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,63,.,80,.,60,.,.,.,.,53,58,58
107293,53,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,53,.,.,.,.,.,.,.,.,0,48,52
107318,43,31,49,100,.,.,.,41,50,38,67,.,.,16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,44,.,.,.,39,.,.,.,.,24,34,34
107327,42,43,40,.,100,100,.,34,69,42,0,.,.,10,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,38,.,.,.,48,.,.,.,.,22,30,34
107442,46,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,46,.,.,.,.,.,.,.,.,11,78,78
107460,32,37,27,.,0,0,0,50,28,33,20,.,100,19,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,25,.,43,.,43,.,.,.,.,19,28,30
107488,70,.,.,.,.,.,.,.,.,.,.,.,.,1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,100,.,.,.,54,.,.,.,.,4,65,66
107512,65,59,70,50,0,0,.,31,64,69,100,.,86,.,62,65,65,58,72,50,0,0,.,31,62,70,100,.,86,.,53,53,65,64,74,75,54,60,61,.,.,.
107521,36,28,39,0,.,.,.,25,50,40,0,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,.,100,.,58,.,.,.,.,21,31,37
107549,47,58,41,50,.,.,.,.,60,46,.,.,.,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,47,.,0,.,55,.,.,.,.,28,37,50
107558,41,40,42,75,0,0,0,31,40,39,45,25,62,38,34,40,41,40,42,75,0,0,0,31,40,39,45,25,62,38,35,35,33,33,52,52,33,47,48,.,.,.
107585,36,32,38,0,33,33,.,12,47,35,45,40,100,7,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,30,.,36,.,44,.,.,.,.,25,36,43
107600,30,19,38,.,0,.,0,29,100,.,50,100,67,.,16,26,30,19,38,.,0,.,0,29,100,.,50,100,67,.,30,30,39,39,28,28,25,34,34,.,.,.
107619,46,51,41,100,100,100,.,37,100,53,50,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,.,.,.,68,.,.,.,.,31,39,48
107637,24,27,20,0,50,.,50,12,35,38,0,.,.,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,16,.,33,.,47,.,.,.,.,5,19,29
107655,8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0,.,.,.,33,.,.,.,.,20,90,90
107664,23,23,23,0,36,36,.,14,58,30,12,18,44,12,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,19,.,25,.,33,.,.,.,.,12,22,28
107725,42,52,36,50,100,.,100,23,65,44,50,.,.,6,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,42,.,.,.,42,.,.,.,.,33,43,50
107743,57,56,58,75,.,.,.,33,60,61,60,100,38,2,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,62,.,33,.,47,.,.,.,.,45,57,60
107789,64,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,60,.,63,.,78,.,.,.,.,9,67,67
107831,35,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,29,.,50,.,100,.,.,.,.,15,48,60
107840,11,7,13,.,.,.,.,12,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,.,.,.,0,.,.,.,.,12,12,18
107877,45,42,49,.,0,.,0,33,50,53,17,.,25,31,32,44,45,42,49,.,0,.,0,33,50,53,17,.,25,31,46,46,50,50,43,43,29,37,37,.,.,.
107974,28,31,26,.,100,100,.,18,45,34,18,.,20,11,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,26,.,25,.,33,.,.,.,.,17,27,35
107983,45,40,49,57,56,60,50,31,45,49,85,100,35,30,24,31,33,31,35,57,44,60,25,23,41,35,69,100,30,30,38,27,47,36,56,42,28,41,42,.,.,.
