institution_name_api,unitid,state_full,tracker_institution_name,match_source
Mississippi College,176053,Mississippi,Mississippi College,supabase
Fontbonne University,177418,Missouri,Fontbonne University,supabase
Lindenwood University,177968,Missouri,Lindenwood University,supabase
Saint Louis University,179159,Missouri,Saint Louis University,supabase
Southern New Hampshire University,183026,New Hampshire,Southern New Hampshire University,supabase
Jamestown Business College,192004,New York,Jamestown Business College,supabase
Monroe Community College,193326,New York,Monroe Community College,supabase
Roberts Wesleyan University,194958,New York,Roberts Wesleyan University,supabase
Wagner College,197197,New York,Wagner College,supabase
University of North Carolina at Greensboro,199148,North Carolina,University of North Carolina at Greensboro,supabase
Saint Augustine's University,199582,North Carolina,Saint Augustine's University,supabase
Eastern Gateway Community College,203331,Ohio,Eastern Gateway Community College,supabase
Marietta College,203845,Ohio,Marietta College,supabase
University of Toledo,206084,Ohio,University of Toledo,supabase
Washington State University,236939,District of Columbia,Washington State University,supabase
Columbia University,190150,New York,Columbia University,supabase
Union Institute & University,206279,Ohio,Union Institute & University,supabase
Wittenberg University,206525,Ohio,Wittenberg University,supabase
University of Oregon,209551,Oregon,University of Oregon,supabase
Portland Community College,209746,Oregon,Portland Community College,supabase
Portland State University,209807,Oregon,Portland State University,supabase
Albright College,210571,Pennsylvania,Albright College,supabase
Drexel University,212054,Pennsylvania,Drexel University,supabase
Elizabethtown College,212197,Pennsylvania,Elizabethtown College,supabase
Keystone College,213303,Pennsylvania,Keystone College,supabase
Mercyhurst University,213987,Pennsylvania,Mercyhurst University,supabase
University of the Arts,215105,Pennsylvania,University of the Arts,supabase
Temple University,216339,Pennsylvania,Temple University,supabase
Limestone University,218238,South Carolina,Limestone University,supabase
Tennessee State University,221838,Tennessee,Tennessee State University,supabase
Utah State University,230728,Utah,Utah State University,supabase
Utah Valley University,230737,Utah,Utah Valley University,supabase
Weber State University,230782,Utah,Weber State University,supabase
Averett University,231420,Virginia,Averett University,supabase
University of Lynchburg,232609,Virginia,University of Lynchburg,supabase
Western Washington University,237011,Washington,Western Washington University,supabase
Whitman College,237057,Washington,Whitman College,supabase
Alverno College,238193,Wisconsin,Alverno College,supabase
Marquette University,239105,Wisconsin,Marquette University,supabase
Northland College,239512,Wisconsin,Northland College,supabase
University of Wisconsin-Green Bay,240277,Wisconsin,University of Wisconsin-Green Bay,supabase
Stanford University,243744,California,Stanford University,supabase
University of Antelope Valley,442930,California,University of Antelope Valley,supabase
Kennesaw State University,486840,Georgia,Kennesaw State University,supabase
Bacone College,206817,Oklahoma,Bacone College,manual_alias
Wells College,197230,New York,Wells College,manual_alias
Pittsburgh Technical College,215415,Pennsylvania,Pittsburgh Technical College,manual_alias
Magdalen College of the Liberal Arts,182917,New Hampshire,Magdalen College of the Liberal Arts,manual_alias
Goddard College,230889,Vermont,Goddard College,manual_alias
Birmingham-Southern College,100937,Alabama,Birmingham-Southern College,manual_alias
University of Oklahoma,207500,Oklahoma,University of Oklahoma,manual_alias
Indiana University,151351,Indiana,Indiana University,manual_alias
Sullivan University,157793,Kentucky,Sullivan University,manual_alias
University of Saint Katherine,488785,California,University of Saint Katherine,manual_alias
Oak Point University,149763,Illinois,Oak Point University,manual_alias
Johnson University Florida,132879,Florida,Johnson University Florida,manual_alias
Delaware College of Art and Design,432524,Delaware,Delaware College of Art and Design,manual_alias
