cut_id,program_name,cut_type,announcement_date,institution_name_collegecuts,institution_city,institution_state_abbr,institution_state_full,institution_control,institution_unitid,matched_unitid,match_method,source_url,source_publication
discovered-1a66052b43d91a4e,Poseidon Ocean Systems raises USD 21 million; Environmental Defense Fund announces layoffs - SeafoodSource,staff_layoff,2024-04-02,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMikwJBVV95cUxQSElYdFFFcVNLcUtQQTNuWUtSM2FQdTk4RWZGNXdWa2lGTTFsb1pGc1hLYUh0X3R3ODFkZFVUTncxclpxdi13YVhfa3VuclhMNHJQa3pCb3dsbHNScEwzcTlJVy1IeU53SUFYM0t0ZE5jc0ttdk5NS1NNeTE2b2ZOMENsdmRVdXp3ZllwNWo0ZTVzUkNwS1FYeTNMdWlrNUhFMmRINXp1c1hfeHRtRmpQTHl1M2c0ZzBia3FZTTNaTHlWRDFpSnBZOFNrLVVIY25iaTBIVzJTZXZ6d2ExQ3dsYzlFdmR1Z1FKUWpHM0Z2SnZjT2ZYVWJSSVBjalpEMFAwUUVTSEVsVVAxc24wX1p3cnFqaw?oc=5&hl=en-US&gl=US&ceid=US%3Aen,SeafoodSource
discovered-381c5048849938d1,"UT community upset after DCCE closure, staff layoffs - The Daily Texan",staff_layoff,2024-04-03,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMikwFBVV95cUxNTy1NeFFDdGlaME13djZQaTlVSXBocl9seVM0YlRBd0hCZUg2S0J6eTNFdmVpc01UZ040XzhiQ2V4R3M1eF8xR244U2JINDRldDJaRHR6YWNmX2JuY0xhMy05WXcxRGRCRzJNRk9NdXNwZ2FPdFJmbDBUbG1CS2NQVmozZU5ubEdhT0E4QXdJdVE3enM?oc=5&hl=en-US&gl=US&ceid=US%3Aen,The Daily Texan
discovered-472741b5727c799e,Are students being protected from course cuts and closures? - Wonkhe,campus_closure,2024-04-03,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMijAFBVV95cUxQSGlRWVZzNnhiN2xybnFMUXF0UHhWMndxUWVQa0xPalBwY0R1Uktpck5kUVBQNi1WZmpzNkNjV3Z1dXd2R2hTZzBpVTRaU1RJUmt5dkJtYlF5NkRzeFV3NUpFaVY5dVlxeGNyQnRkTWo0YUhObEpsdk9Ya1Z4eVFCdlpaekhHRkdDUHdKNw?oc=5&hl=en-US&gl=US&ceid=US%3Aen,Wonkhe
discovered-71f05a483b531084,Teach-Out Institution - Ohio Wesleyan University,campus_closure,2024-04-04,Ohio Wesleyan University,,,OH,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMibkFVX3lxTFBxczdDcWl4ZFNLWEdHcHdxTlBxU2lzdGdzNGRVLVlpWDU0N0l6bnNNV1k2MFVkUjZ1MldzcW5uSm12cG9PeXpvRVRsNnU2S0FrTGhRbUxtUmIyUlcyQURQRDFqZm02YUhqbGR0al9B?oc=5&hl=en-US&gl=US&ceid=US%3Aen,Ohio Wesleyan University
discovered-3762581602450264,"Amid layoffs and budget problems, UW Oshkosh faculty vote no confidence in Chancellor Andrew Leavitt - Milwaukee Journal Sentinel",staff_layoff,2024-04-05,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMi0gFBVV95cUxObmZVejBmbWp6c1JZdldlbzc0U1pvSk5Ic2pCNGp2UDlpZHAxMkwzN0dUN0JjOVJQdEZBY0M2WlRubXVYV1B1emh6Z0VTbENWSlVvOGFMUFRWWGxRREh3cTFaU3daSW5nT2cyTUJiWWJOQUxUTkcwcHJaN3pUSW8zeTVrZWpGbzQtMmQ4dWdsTXJjb0VseHZqWjV1TmprZE90eGctSXExNUo4MGhMZmpfNFhPTUg1cUdGSVhRUHpHTU9aMGJ5N2NxbUM5aDNzdzQ0MlE?oc=5&hl=en-US&gl=US&ceid=US%3Aen,Milwaukee Journal Sentinel
discovered-e956d183568bb8c8,"UW-Oshkosh faculty vote no confidence in chancellor amid layoffs, budget challenges - WPR",staff_layoff,2024-04-05,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMikgFBVV95cUxOdldIMmhQVW9uaTBNSmdJd0VpV0Z3eS00NXFZWkVQejVESTl0NmF6VmxfaG81dERJYUphXzNlRHVidjAwczBISzhzaDRpTGk1aml5SXFBM1RuRHJxN21RQ0hHanRHdTBwZ1QzX1h0cTl1SEJMejVaSHEtN3JZZ3EwZDRvOUhUUXJEM1NEOGc4T3FMUQ?oc=5&hl=en-US&gl=US&ceid=US%3Aen,WPR
discovered-b27776914780b2e6,CVS pharmacy in Campustown closing in May - The Ames Tribune,campus_closure,2024-04-08,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMiywFBVV95cUxNaE9FU1A0SmlXMm5VUm00V254U25zWTVxeWxKRGEzMmVpRWk4bUxnZmhOREd3bGtkMTZKdVFsaGZydm9wOXQ1RV81M3liX3B2YVVQNnJvUkswWGpxZkdfbVJpdi1pRWJRU09oZXVRemZHcGJaLTZSVmpVcmM2eEhrdEJvNWU1bURCQnh6Ym5yZVVld2U1eHVxOThDZnVUSEwtblpYX2oxYnZzcUpCWGtld2tYQ3NRN3I4bDNIMjJ6UElhTlU2bl92cENzNA?oc=5&hl=en-US&gl=US&ceid=US%3Aen,The Ames Tribune
discovered-ba75b4b1d5e9a00c,"Students stage #NOTOURTEXAS demonstration following DCCE dissolution, staff layoffs - The Daily Texan",staff_layoff,2024-04-08,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMiuwFBVV95cUxPZkgwYUh5RzU0OGtDbUVVbmkzcDZfTkdEZkdSc291SlJFbGtNSG8xbFJIcGdMTXdVVzR3SklOWlZxMDlPRjJWZ0JISzliSzhkQnhCWXFOWDE1ci1ZMVBoSGZ3WEN1S1VrV3kyOHJiZzBrd3RMeURSZE1rOHNqM0d3UUJkYVItclY1djV6QXYzZlFVeDF1dG95S0g5bGktd2VhLVFMR2w0Nnl0Sy1UenBUdXptZWVLQlBxLUk0?oc=5&hl=en-US&gl=US&ceid=US%3Aen,The Daily Texan
discovered-dc50f9b40f0e82b4,"Intel reports fresh round of layoffs focused on sales, marketing - OregonLive.com",staff_layoff,2024-04-08,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMiugFBVV95cUxQcEZZOGJlOE5BOWR3THl1dVFnSm5TdExrS2NVT2tqYUpiZE1rTkVCTGtFLXE5bE0wYzNndUptbnhTYS13dmpCby1CdWxYOVR2elRUc2pKel9oUDAxM1M3T0NYdmJpSVFaTTktMktkZjBPSUlnVVZLUHVEVVZEcVU0VVZhdE9sMmhMa3VMZXRJWkdoNzJveTV2b3BSeXhPU3E3V2g5c2Z0aFoyOFdUcmt3UEROZmo4N28wN0E?oc=5&hl=en-US&gl=US&ceid=US%3Aen,OregonLive.com
discovered-7c9a380183446775,100 Striking Doctors Laid Off by Kenyan Hospital - VOA Africa,staff_layoff,2024-04-09,,,,,,,,discovered_unmatched,https://news.google.com/rss/articles/CBMijgFBVV95cUxPWGlGVWs5SmlqaXoxSUR1WjVsRzVHamRJcWpJaE1qdWNrNk0zLTQyS3dNOE1aQUpnSDd2ejVuNm9wdGdKdjBIQlRGLWtaVE1OQ3ZzdDJ0Qm5tS0NFMWFtU3VQbkFrZGJ2M2xfUnJRVDRvblJ5RjFWcmRHS2VDN2lPa2RGTjJTbmVsbW10emtB0gGQAUFVX3lxTE1HN0xYZXJwUUhMNTY1UEdIU2F0T3pRWjQyOHl4VmpBWVBlcHZmZVpXQzJ1RUR6bWFVRmI0MTlyNmRMVWpGa2ZiWlhPU0JsS0RSZENCYTNzMDVUNHVJdDhDZ1pwM2V5NGtxSXByaGg2bHZqSzNaUzNueGZLWW53QWFIaEstMFZpNGlfN3RqdzNSRA?oc=5&hl=en-US&gl=US&ceid=US%3Aen,VOA Africa
