UNITID,FTE12MN,UNDUP,UNDUPUG,E12FT,E12PT,E12UG1ST,E12UGTRN,E12UGCNT,E12UGNDG,E12GRAD,E12UGFT,E12UG1SFT,E12UGTRFT,E12UGCNFT,E12UGNDFT,E12GRADFT,E12UGPT,E12UG1SPT,E12UGTRPT,E12UGCNPT,E12UGNDPT,E12GRADPT,PCTE12AN,PCTE12AS,PCTE12BK,PCTE12HS,PCTE12NH,PCTE12WH,PCTE122M,PCTE12UN,PCTE12NR,PCTE12W,PCTE12UGAN,PCTE12UGAS,PCTE12UGBK,PCTE12UGHS,PCTE12UGNH,PCTE12UGWH,PCTE12UG2M,PCTE12UGUN,PCTE12UGNR,PCTE12UGW,PCTE12GRADAN,PCTE12GRADAS,PCTE12GRADBK,PCTE12GRADHS,PCTE12GRADNH,PCTE12GRADWH,PCTE12GRAD2M,PCTE12GRADUN,PCTE12GRADNR,PCTE12GRADW,PCTE12DEEXC,PCTE12DESOM,PCTE12DENON,PCTE12UGDEEXC,PCTE12UGDESOM,PCTE12UGDENON,PCTE12GRADDEEXC,PCTE12GRADDESOM,PCTE12GRADDENON
234951,2688,4286,4286,2457,1829,619,557,2226,884,0,2457,455,332,1304,366,0,1829,164,225,922,518,0,0,7,13,15,2,44,10,8,1,62,0,7,13,15,2,44,10,8,1,62,,,,,,,,,,,9,37,54,9,37,54,,,
234979,4931,8250,8250,4176,4074,1658,600,3548,2444,0,4176,1130,229,1750,1067,0,4074,528,371,1798,1377,0,0,2,1,46,0,41,4,4,0,56,0,2,1,46,0,41,4,4,0,56,,,,,,,,,,,23,55,22,23,55,22,,,
235024,392,458,458,420,38,124,50,252,32,0,420,124,47,246,3,0,38,0,3,6,29,0,1,4,5,3,0,64,10,11,3,66,1,4,5,3,0,64,10,11,3,66,,,,,,,,,,,0,14,86,0,14,86,,,
235088,227,453,453,453,0,224,0,229,0,0,453,224,0,229,0,0,0,0,0,0,0,0,2,2,3,18,2,62,11,1,0,5,2,2,3,18,2,62,11,1,0,5,,,,,,,,,,,0,0,100,0,0,100,,,
235097,10287,17265,12307,10431,6834,1435,1102,5142,4628,4958,7015,1284,872,4394,465,3416,5292,151,230,748,4163,1542,2,3,4,13,1,59,7,10,1,60,2,3,4,14,1,57,7,12,1,57,1,5,6,11,0,66,5,5,1,68,27,36,36,7,46,47,77,12,11
235103,4319,9553,9553,3234,6319,1004,814,3196,4539,0,3234,576,266,1405,987,0,6319,428,548,1791,3552,0,1,16,9,13,0,39,8,7,7,54,1,16,9,13,0,39,8,7,7,54,,,,,,,,,,,25,46,29,25,46,29,,,
235149,5375,11575,11575,4851,6724,1738,696,4072,5069,0,4851,990,256,1674,1931,0,6724,748,440,2398,3138,0,1,9,4,16,0,52,7,9,2,57,1,9,4,16,0,52,7,9,2,57,,,,,,,,,,,22,37,40,22,37,40,,,
235167,2066,2638,2336,2225,413,321,487,1422,106,302,1985,307,453,1222,3,240,351,14,34,200,103,62,4,3,6,13,1,61,6,7,0,62,3,3,6,13,1,60,7,7,0,61,8,3,5,9,0,67,4,3,0,64,10,36,54,11,37,52,1,29,69
235237,6100,10153,10153,5591,4562,1635,987,4398,3133,0,5591,1115,416,1963,2097,0,4562,520,571,2435,1036,0,0,8,10,18,2,44,12,3,2,62,0,8,10,18,2,44,12,3,2,62,,,,,,,,,,,45,45,10,45,45,10,,,
235307,141,164,164,164,0,128,0,36,0,0,164,128,0,36,0,0,0,0,0,0,0,0,2,1,5,5,0,65,8,14,0,95,2,1,5,5,0,65,8,14,0,95,,,,,,,,,,,0,0,100,0,0,100,,,
