UNITID,F1CORREV,F1TUFEPC,F1STAPPC,F1LCAPPC,F1GVGCPC,F1PGGCPC,F1INVRPC,F1OTRVPC,F1TUFEFT,F1STAPFT,F1LCAPFT,F1GVGCFT,F1PGGCFT,F1INVRFT,F1OTRVFT,F1COREXP,F1INSTFT,F1RSRCFT,F1PBSVFT,F1ACSPFT,F1STSVFT,F1INSUFT,F1OTEXFT,F1INSTPC,F1RSRCPC,F1PBSVPC,F1ACSPPC,F1STSVPC,F1INSUPC,F1OTEXPC,F1SWINSP,F1SWRSRP,F1SWPBSP,F1SWACSP,F1SWSTSP,F1SWISPP,F1SWOTEP,F1SWCREP,F1ENDMFT,F1SAFBPC,F1SALRPC,F1EQUITR,F2CORREV,F2TUFEPC,F2GVGCPC,F2PGGCPC,F2INVRPC,F2OTRVPC,F2TUFEFT,F2GVGCFT,F2PGGCFT,F2INVRFT,F2OTRVFT,F2COREXP,F2INSTFT,F2RSRCFT,F2PBSVFT,F2ACSPFT,F2STSVFT,F2INSUFT,F2OTEXFT,F2INSTPC,F2RSRCPC,F2PBSVPC,F2ACSPPC,F2STSVPC,F2INSUPC,F2OTEXPC,F2SWINSP,F2SWRSRP,F2SWPBSP,F2SWACSP,F2SWSTSP,F2SWISPP,F2SWOTEP,F2SWCREP,F2ENDMFT,F2SAFBPC,F2SALRPC,F2EQUITR,F3CORREV,F3TUFEPC,F3GVGCPC,F3PGGCPC,F3INVRPC,F3SSEAPC,F3OTRVPC,F3TUFEFT,F3GVGCFT,F3PGGCFT,F3INVRFT,F3SSEAFT,F3OTRVFT,F3COREXP,F3INSTFT,F3RSRCFT,F3PBSVFT,F3ACSPFT,F3STSVFT,F3INSUFT,F3OTEXFT,F3INSTPC,F3RSRCPC,F3PBSVPC,F3ACSPPC,F3STSVPC,F3INSUPC,F3OTEXPC,F3SWINSP,F3SWRSRP,F3SWPBSP,F3SWACSP,F3SWSTSP,F3SWISPP,F3SWOTEP,F3SWCREP,F3SAFBPC,F3SALRPC,F3EQUITR
101435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20948422,55,0,14,22,9,14459,0,3595,5668,2366,20932955,7419,0,0,2444,10581,5624,0,28,0,0,9,41,22,0,59,,,54,45,42,,50,70732,51,42,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9742258,3,0,75,20,2,3720,0,86188,22651,2056,3572535,8836,909,1283,4200,6316,20485,0,21,2,3,10,15,49,0,72,74,54,58,65,41,,54,186239,61,53,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101462,35654180,4,20,0,22,1,1,53,1904,10350,0,11430,642,392,27792,16229678,8871,0,0,2355,3070,7001,2606,37,0,0,10,13,29,11,49,,,48,48,31,0,38,,50,38,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101471,50620148,0,47,0,13,0,1,39,0,20844,0,5878,0,519,17319,26295039,10739,0,0,1938,2279,1511,6680,46,0,0,8,10,7,29,57,,,89,79,67,0,46,,69,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101480,204470267,26,33,0,19,0,3,19,6358,8026,0,4499,0,613,4644,175413319,6997,79,820,1274,4948,3116,3476,34,0,4,6,24,15,17,62,43,26,51,34,38,15,42,2492,50,38,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101505,83875038,20,38,0,29,0,4,8,3321,6226,13,4721,53,714,1220,72647273,7216,0,0,331,1651,2648,2243,51,0,0,2,12,19,16,53,,,54,56,46,0,44,284,59,44,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101514,107743933,21,35,0,22,0,0,22,3712,6229,0,3916,37,81,3979,79889021,5674,0,0,1001,1344,2467,2827,43,0,0,8,10,19,21,61,,,60,55,45,0,45,1732,60,45,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101569,50450291,6,36,0,50,0,1,6,1336,8355,83,11460,115,249,1469,41842127,8961,0,1,1506,2094,3530,3039,47,0,0,8,11,18,16,46,,0,48,50,31,0,37,315,47,36,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101587,113463715,37,41,0,16,0,0,6,8053,8754,0,3369,0,2,1319,87981999,8131,44,628,1089,2311,1441,3027,49,0,4,7,14,9,18,40,0,0,24,34,47,15,32,80,50,32,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101602,31268744,6,63,1,29,1,0,1,1275,14378,282,6573,160,79,161,19601319,6435,0,0,930,1636,2423,2936,45,0,0,6,11,17,20,65,,,54,55,45,0,47,,60,46,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
