unitid,tracker_name,tracker_state,accreditors,action_types,action_labels,active_actions,has_active_warning,has_active_warning_or_notice,has_active_adverse_action,action_count,latest_action_date,latest_action_year,institution_name,year,control_label,sector,level,urbanization,category,state,city,enrollment_pct_change_5yr,revenue_pct_change_5yr,revenue_decreased_5yr,enrollment_decreased_5yr,revenue_10pct_drop_last_3_of_5,enrollment_decline_last_3_of_5,ended_2024_at_loss,losses_last_3_of_5,loss_years_last_10,net_tuition_per_fte_change_5yr,tuition_dependence_pct,state_funding_pct_core_revenue,federal_grants_contracts_pell_adjusted_pct_core_revenue,pct_international_all,staff_total_headcount_pct_change_5yr,discount_pct_change_5yr,endowment_pct_change_5yr,liquidity,leverage
112570,California College of ASU,California,WASC Senior College and University Commission,warning,Following a Special Visit – Continue a Warning,warning,TRUE,TRUE,FALSE,2,2025-06-01,2025,California College of ASU,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",California,Los Angeles,-71.32867132867133,-90.1717033841438,Yes,Yes,Yes,Yes,Yes,Yes,6,-10.604583277111326,97.42024388883338,0,0,0.00609756097560975,-38.853503184713375,,,-0.2771121552604699,1.2771121552604698
115083,Golden Gate University,California,WASC Senior College and University Commission,notice,Following a Special Visit – Continue Formal Notice of Concern; Reaffirm Accreditation for 6 Years/Continue the Notice of Concern,notice,FALSE,TRUE,FALSE,2,2025-06-01,2025,Golden Gate University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",California,San Francisco,73.49896480331263,-30.13007334559973,Yes,No,No,No,Yes,Yes,9,-83.51991617454662,74.62334332620775,0,0.00756436108005099,0.08131605864302761,-40.06677796327212,-37.10429744188837,-14.007709089966031,0.2720275674926317,0.34280074174877867
118693,Menlo College,California,WASC Senior College and University Commission,notice,Following a Special Visit – Continue a Formal Notice of Concern,notice,FALSE,TRUE,FALSE,1,2024-06-01,2024,Menlo College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, primarily baccalaureate or above",California,Atherton,4.823529411764706,17.500557698964318,No,No,No,No,No,No,4,-23.1536470741561,33.15883925976627,0,0.01710448205373407,0.244668911335578,13.526570048309178,10.131163239836791,-24.35571550165519,0.517557103427087,0.1220518982722804
119775,Newschool of Architecture and Design,California,WASC Senior College and University Commission,warning,"Following a Special Visit – Remove the Warning, Issue a Formal Notice of Concern",warning,TRUE,TRUE,FALSE,1,2024-02-01,2024,Newschool of Architecture and Design,2024,Private for-profit,"Private for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",California,San Diego,-48.037676609105176,-45.48605208850056,Yes,Yes,No,Yes,No,Yes,9,8.63391337372651,72.88844232407445,,,0.03323262839879154,-21.875,,,,0.6588054846554061
120184,Notre Dame de Namur University,California,WASC Senior College and University Commission,removed; warning,"Following a Special Visit – Remove Notice of Concern; Following a Special Visit – Remove the Warning, Issue a Formal Notice of Concern",warning,TRUE,TRUE,FALSE,2,2026-02-01,2026,Notre Dame de Namur University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, primarily baccalaureate or above",California,Belmont,-81.80262407301768,-80.3131958277773,Yes,Yes,Yes,Yes,Yes,Yes,6,-30.219308016664836,37.30927468307043,0,0.09910976719262396,0.05329153605015674,-49.65986394557823,-100,-22.8531990762414,-0.03125755183803618,0.6062440177913065
123554,Saint Mary's College of California,California,WASC Senior College and University Commission,notice,"Reaffirm Accreditation for 6 Years, Issue a Formal Notice of Concern",notice,FALSE,TRUE,FALSE,1,2024-02-01,2024,Saint Mary's College of California,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, primarily baccalaureate or above",California,Moraga,-29.427792915531334,-39.24295425275286,Yes,Yes,Yes,Yes,Yes,Yes,5,-28.9290873413224,61.02264360489821,0,0.02381773399014778,0.0324967824967825,-47.46247319513939,25.982015431481297,-19.594196514277545,0.128648836194395,0.3791048983652238
123572,Sonoma State University,California,WASC Senior College and University Commission,notice,Defer Action on Reaffirmation of Accreditation/Issue a Notice of Concern,notice,FALSE,TRUE,FALSE,1,2026-02-01,2026,Sonoma State University,2024,Public,"Public, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, primarily baccalaureate or above",California,Rohnert Park,-35.37644787644788,-17.379450147991648,Yes,Yes,No,Yes,No,No,4,-13.177342711741083,13.320905344245404,0.4794855335146124,0.04490188340377143,0.00716952949962658,-18.7593423019432,17.262725729990123,7.570722806585891,-0.829487871650517,1.38290457966001
125897,Woodbury University,California,WASC Senior College and University Commission,notice; removed,"Following a Special Visit – Remove Notice of Concern; Reaffirm Accreditation for 6 Years, Issue a Formal Notice of Concern",notice,FALSE,TRUE,FALSE,2,2025-06-01,2025,Woodbury University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",California,Burbank,-28.826151560178303,-23.105594489480755,Yes,Yes,No,Yes,Yes,Yes,8,-44.82127015289178,25.769415650503767,0,0.03304478898326624,0.0615866388308977,,44.68036376089959,-73.04018652515968,0.11751225418281216,0.6739500826601351
127653,Naropa University,Colorado,HLC,adverse_action,"Approved the institution’s Teach-Out Agreement with Goddard College, wherein Naropa University will serve as a teach-out receiving institution for Goddard University students. (Approved June 10, 2024)",adverse_action,FALSE,FALSE,TRUE,1,2024-06-01,2024,Naropa University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Midsize,"Degree-granting, primarily baccalaureate or above",Colorado,Boulder,14.43108233117484,19.286700979429465,No,No,No,No,Yes,Yes,8,-12.309811355725756,67.24258890922611,0,0.06050616334852097,0.02344381568310428,-6.7885117493472595,-18.504483422034134,-54.22491447706093,0.2639018892687132,0.5779294976089897
133979,Florida Memorial University,Florida,SACSCOC,probation,continued the accreditation of Florida Memorial University for Good Cause and placed the institution on Probation for twelve months,probation,TRUE,TRUE,FALSE,1,2025-12-07,2025,Florida Memorial University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Florida,Miami Gardens,11.76470588235294,4.648921139110166,No,No,No,No,Yes,No,3,-3.7884790254971934,50.350931969019754,0.18726678514457912,0.10029269919373648,0.11455108359133127,-3.3834586466165413,,47.930370218909864,0.6837213356831129,0.1659239768828691
134945,Jacksonville University,Florida,SACSCOC,removed,removed from Warning,,FALSE,FALSE,FALSE,1,2025-12-01,2025,Jacksonville University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",Florida,Jacksonville,20.469240716792907,-0.915540136118384,Yes,No,No,No,Yes,Yes,7,-17.49451410909136,58.1916760166167,0,0.00857251813526824,0.04309155037570925,8.962868117797695,17.395624811870945,15.254690834426112,0.081995266247832,0.7586455407560412
141565,University of Hawaii at Hilo,Hawaii,WASC Senior College and University Commission,notice; removed,Following a Special Visit – Continue a Formal Notice of Concern; Following a Special Visit – Remove Notice of Concern,notice,FALSE,TRUE,FALSE,2,2025-06-01,2025,University of Hawaii at Hilo,2024,Public,"Public, 4-year or above",Four or more years,Town: Remote,"Degree-granting, primarily baccalaureate or above",Hawaii,Hilo,-17.2985187044941,1.4494508632629193,No,Yes,No,Yes,No,No,6,-40.802082982967,10.44529060065056,0.3407185783930768,0.1330632701192349,0.04341226472374013,-5.980066445182724,14.66259172187624,8.638302933486784,0.08911124638697045,0.1478437379865759
149505,Trinity Christian College,Illinois,HLC,adverse_action,"Approved the institution’s provisional plan and teach-out agreements with the following institutions:Calvin University, Grand Rapids, MICarroll University, Waukesha, WIDominican University, River Forest, ILJudson University, Elgin, ILLewis University, Romeoville, ILNorth Park University, Chicago, ILOlivet Nazarene University, Bourbonnais, ILSaint Xavier University, Chicago, ILWheaton College, Wheaton, IL; Approved the institution’s teach-out agreement with the following institution (Approved February 5, 2026): Governors State University, University Park, IL; Approved the institution’s teach-out agreement with the following institution: Kuyper College, Grand Rapids, MI",adverse_action,FALSE,FALSE,TRUE,3,2026-02-01,2026,Trinity Christian College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Suburb: Large,"Degree-granting, primarily baccalaureate or above",Illinois,Palos Heights,-37.199725463280714,-6.461392343780497,Yes,Yes,No,Yes,No,Yes,6,-19.51440526952684,36.88774601064011,0,0.01013752010270973,0.07759562841530054,-16.05351170568562,23.22893731278247,-27.88670751522797,0.4855439624965202,0.309433382639607
151810,Martin University,Indiana,HLC,adverse_action,"Approved the institution’s provisional plan and teach-out agreement with the following institution: University of Indianapolis, Indianapolis, IN",adverse_action,FALSE,FALSE,TRUE,1,2025-12-01,2025,Martin University,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,City: Large,"Degree-granting, primarily baccalaureate or above",Indiana,Indianapolis,-27.669902912621357,35.864706340591454,No,Yes,No,Yes,No,No,2,-12.047724277772708,31.382353485525854,0,0,0.0134228187919463,7.894736842105263,,,0.42049497396421104,0.2480865741500252
152381,Saint Mary-of-the-Woods College,Indiana,HLC,notice,"On Notice; Placed on Notice.The institution was notified of this action on July 8, 2025. Information was posted for the public on July 9, 2025.",notice,FALSE,TRUE,FALSE,2,2025-06-01,2025,Saint Mary-of-the-Woods College,2024,Private not-for-profit,"Private not-for-profit, 4-year or above",Four or more years,Rural: Fringe,"Degree-granting, primarily baccalaureate or above",Indiana,Saint Mary of the Woods,15.806715806715808,19.280033644349732,No,No,No,No,Yes,Yes,7,-25.430593438969208,50.58211500459727,0,0.00577643244373757,0.01626591230551626,18.0327868852459,50.335025784820395,-28.151157168552444,-0.2674521423825273,0.8125592687076679
